hotel_name,url,locality,timestamp,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Ca'del Campo 511,http://www.tripadvisor.com/Hotel_Review-g187870-d285349-Reviews-Ca_del_Campo_511-Venice_Veneto.html,Venedig,,624 ,4.5,2019/04/13,2019/04/14, 185,roomsXXL.ch,13,Free Wifi
Arlecchino Hotel,http://www.tripadvisor.com/Hotel_Review-g187870-d202687-Reviews-Arlecchino_Hotel-Venice_Veneto.html,Venedig,,1281 ,4.5,2019/04/13,2019/04/14, 153,Agoda.com,13,"Free Wifi,Visit hotel website"
Hotel Moresco,http://www.tripadvisor.com/Hotel_Review-g187870-d3348175-Reviews-Hotel_Moresco-Venice_Veneto.html,Venedig,,2293 ,5,2019/04/13,2019/04/14, 175,Expedia.ch,11,"Free Wifi,Breakfast included,Visit hotel website"
Hotel Canal Grande,http://www.tripadvisor.com/Hotel_Review-g187870-d1547281-Reviews-Hotel_Canal_Grande-Venice_Veneto.html,Venedig,,2578 ,5,2019/04/13,2019/04/14, 319,ab-in-den-urlaub,15,"Free Wifi,Breakfast included,Visit hotel website"
Palazzo Veneziano,http://www.tripadvisor.com/Hotel_Review-g187870-d12263777-Reviews-Palazzo_Veneziano-Venice_Veneto.html,Venedig,,670 ,5,2019/04/13,2019/04/14, 149,Expedia.ch,9,"Free Wifi,Breakfast included,Visit hotel website"
Hotel Ai Cavalieri di Venezia,http://www.tripadvisor.com/Hotel_Review-g187870-d7623031-Reviews-Hotel_Ai_Cavalieri_di_Venezia-Venice_Veneto.html,Venedig,,999 ,5,2019/04/13,2019/04/14, 251,Hotels.com,16,"Free Wifi,Breakfast included"
Hotel Al Ponte Mocenigo,http://www.tripadvisor.com/Hotel_Review-g187870-d558796-Reviews-Hotel_Al_Ponte_Mocenigo-Venice_Veneto.html,Venedig,,2906 ,5,2019/04/13,2019/04/14, 175,Hotels.com,10,"Free Wifi,Breakfast included,Visit hotel website"
Hotel Bisanzio,http://www.tripadvisor.com/Hotel_Review-g187870-d202733-Reviews-Hotel_Bisanzio-Venice_Veneto.html,Venedig,,901 ,4.5,2019/04/13,2019/04/14, 194,roomsXXL.ch,18,"Free Wifi,Breakfast included"
Hotel Rialto,http://www.tripadvisor.com/Hotel_Review-g187870-d205795-Reviews-Hotel_Rialto-Venice_Veneto.html,Venedig,,2565 ,4,2019/04/13,2019/04/14, 109,Agoda.com,17,"Free Wifi,Breakfast included"
Rosa Salva Hotel,http://www.tripadvisor.com/Hotel_Review-g187870-d12579192-Reviews-Rosa_Salva_Hotel-Venice_Veneto.html,Venedig,,402 ,5,2019/04/13,2019/04/14, 138,Hotels.com,10,"Free Wifi,Breakfast included,Visit hotel website"
Hotel Savoia & Jolanda,http://www.tripadvisor.com/Hotel_Review-g187870-d229001-Reviews-Hotel_Savoia_Jolanda-Venice_Veneto.html,Venedig,,2365 ,4.5,2019/04/13,2019/04/14, 237,Hotels.com,17,"Free Wifi,Breakfast included,Visit hotel website"
Hotel Tiziano,http://www.tripadvisor.com/Hotel_Review-g187870-d506155-Reviews-Hotel_Tiziano-Venice_Veneto.html,Venedig,,657 ,4.5,2019/04/13,2019/04/14, 107,Expedia.ch,15,"Free Wifi,Breakfast included"
Ai Mori d'Oriente Hotel,http://www.tripadvisor.com/Hotel_Review-g187870-d555225-Reviews-Ai_Mori_d_Oriente_Hotel-Venice_Veneto.html,Venedig,,2948 ,4.5,2019/04/13,2019/04/14, 137,Agoda.com,16,"Free Wifi,Breakfast included,Visit hotel website"
Bellini,http://www.tripadvisor.com/Hotel_Review-g187870-d229053-Reviews-Bellini-Venice_Veneto.html,Venedig,,1832 ,4,2019/04/13,2019/04/14, 312,ab-in-den-urlaub,18,"Free Wifi,Breakfast included"
Hotel Montecarlo,http://www.tripadvisor.com/Hotel_Review-g187870-d202708-Reviews-Hotel_Montecarlo-Venice_Veneto.html,Venedig,,1593 ,4.5,2019/04/13,2019/04/14, 294,ab-in-den-urlaub,15,"Free Wifi,Breakfast included"
HOTEL OLIMPIA Venice,http://www.tripadvisor.com/Hotel_Review-g187870-d228969-Reviews-HOTEL_OLIMPIA_Venice-Venice_Veneto.html,Venedig,,2647 ,4.5,2019/04/13,2019/04/14, 164,Hotels.com,11,"Free Wifi,Room service"
Ca' Pisani Hotel,http://www.tripadvisor.com/Hotel_Review-g187870-d241742-Reviews-Ca_Pisani_Hotel-Venice_Veneto.html,Venedig,,2156 ,4.5,2019/04/13,2019/04/14, 308,ab-in-den-urlaub,15,"Free Wifi,Breakfast included,Visit hotel website"
