hotel_name,url,locality,timestamp,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Gulf Court Hotel Business Bay,http://www.tripadvisor.com/Hotel_Review-g295424-d14141555-Reviews-Gulf_Court_Hotel_Business_Bay-Dubai_Emirate_of_Dubai.html,Dubai,,110 ,,2019/04/13,2019/04/14, 117,Booking.com,9,"Visit hotel website,Free Wifi,Free parking"
Premier Inn Dubai International Airport Hotel,http://www.tripadvisor.com/Hotel_Review-g295424-d1631237-Reviews-Premier_Inn_Dubai_International_Airport_Hotel-Dubai_Emirate_of_Dubai.html,Dubai,,4948 ,,2019/04/13,2019/04/14, 59,Booking.com,14,"Free Wifi,Free parking"
Dubai International Hotel,http://www.tripadvisor.com/Hotel_Review-g295424-d623825-Reviews-Dubai_International_Hotel-Dubai_Emirate_of_Dubai.html,Dubai,,7413 ,,2019/04/13,2019/04/14, 191,Booking.com,10,"Visit hotel website,Free Wifi,Pool"
FIVE Palm Jumeirah Dubai,http://www.tripadvisor.com/Hotel_Review-g295424-d10263885-Reviews-FIVE_Palm_Jumeirah_Dubai-Dubai_Emirate_of_Dubai.html,Dubai,,4357 ,,2019/04/13,2019/04/14, 307,Official Hotel,15,"Visit hotel website,Free Wifi,Free parking"
Four Points By Sheraton Downtown Dubai,http://www.tripadvisor.com/Hotel_Review-g295424-d676864-Reviews-Four_Points_By_Sheraton_Downtown_Dubai-Dubai_Emirate_of_Dubai.html,Dubai,,1926 ,,2019/04/13,2019/04/14, 46,Booking.com,14,"Visit hotel website,Free Wifi,Free parking"
Citymax Hotel Bur Dubai,http://www.tripadvisor.com/Hotel_Review-g295424-d1546995-Reviews-Citymax_Hotel_Bur_Dubai-Dubai_Emirate_of_Dubai.html,Dubai,,3608 ,,2019/04/13,2019/04/14, 32,Booking.com,11,"Free Wifi,Free parking"
Le Meridien Dubai Hotel & Conference Centre,http://www.tripadvisor.com/Hotel_Review-g295424-d301562-Reviews-Le_Meridien_Dubai_Hotel_Conference_Centre-Dubai_Emirate_of_Dubai.html,Dubai,,4886 ,,2019/04/13,2019/04/14, 166,Booking.com,15,"Visit hotel website,Free Wifi,Free parking"
Bab Al Shams Desert Resort & Spa,http://www.tripadvisor.com/Hotel_Review-g295424-d526588-Reviews-Bab_Al_Shams_Desert_Resort_Spa-Dubai_Emirate_of_Dubai.html,Dubai,,2689 ,,2019/04/13,2019/04/14, 197,Agoda.com,15,"Free Wifi,Free parking"
"Shangri-La Hotel, Dubai",http://www.tripadvisor.com/Hotel_Review-g295424-d302098-Reviews-Shangri_La_Hotel_Dubai-Dubai_Emirate_of_Dubai.html,Dubai,,1660 ,,2019/04/13,2019/04/14, 245,Shangri-La.com,16,"Visit hotel website,Free Wifi,Free parking"
Millennium Airport Hotel Dubai,http://www.tripadvisor.com/Hotel_Review-g295424-d301681-Reviews-Millennium_Airport_Hotel_Dubai-Dubai_Emirate_of_Dubai.html,Dubai,,2198 ,,2019/04/13,2019/04/14, 123,Booking.com,14,"Free parking,Pool"
Ghaya Grand Hotel,http://www.tripadvisor.com/Hotel_Review-g295424-d7318848-Reviews-Ghaya_Grand_Hotel-Dubai_Emirate_of_Dubai.html,Dubai,,3077 ,,2019/04/13,2019/04/14, 70,Booking.com,12,"Visit hotel website,Free Wifi,Free parking"
Rove Downtown,http://www.tripadvisor.com/Hotel_Review-g295424-d9853524-Reviews-Rove_Downtown-Dubai_Emirate_of_Dubai.html,Dubai,,2697 ,,2019/04/13,2019/04/14, 97,Booking.com,15,"Free Wifi,Free parking"
Hyatt Regency Dubai,http://www.tripadvisor.com/Hotel_Review-g295424-d306684-Reviews-Hyatt_Regency_Dubai-Dubai_Emirate_of_Dubai.html,Dubai,,4098 ,,2019/04/13,2019/04/14, 110,Booking.com,15,"Free Wifi,Free parking"
"Dukes The Palm, a Royal Hideaway Hotel",http://www.tripadvisor.com/Hotel_Review-g295424-d12301346-Reviews-Dukes_The_Palm_a_Royal_Hideaway_Hotel-Dubai_Emirate_of_Dubai.html,Dubai,,1446 ,,2019/04/13,2019/04/14, 195,Agoda.com,12,"Free Wifi,Free parking"
Sofitel Dubai Jumeirah Beach,http://www.tripadvisor.com/Hotel_Review-g295424-d1397867-Reviews-Sofitel_Dubai_Jumeirah_Beach-Dubai_Emirate_of_Dubai.html,Dubai,,6979 ,,2019/04/13,2019/04/14, 232,Agoda.com,14,"Free Wifi,Free parking"
"The Oberoi, Dubai",http://www.tripadvisor.com/Hotel_Review-g295424-d4114901-Reviews-The_Oberoi_Dubai-Dubai_Emirate_of_Dubai.html,Dubai,,2403 ,,2019/04/13,2019/04/14, 246,Booking.com,10,"Visit hotel website,Free Wifi,Free parking"
Rose Rayhaan by Rotana,http://www.tripadvisor.com/Hotel_Review-g295424-d1657537-Reviews-Rose_Rayhaan_by_Rotana-Dubai_Emirate_of_Dubai.html,Dubai,,5390 ,,2019/04/13,2019/04/14, 109,Booking.com,13,"Free parking,Pool"
Roda Al Murooj,http://www.tripadvisor.com/Hotel_Review-g295424-d572764-Reviews-Roda_Al_Murooj-Dubai_Emirate_of_Dubai.html,Dubai,,4423 ,,2019/04/13,2019/04/14, 104,Trip.com,14,"Visit hotel website,Free Wifi,Free parking"
Taj Dubai,http://www.tripadvisor.com/Hotel_Review-g295424-d7309237-Reviews-Taj_Dubai-Dubai_Emirate_of_Dubai.html,Dubai,,2443 ,,2019/04/13,2019/04/14, 177,Booking.com,15,"Visit hotel website,Free Wifi,Free parking"
Arabian Park Hotel,http://www.tripadvisor.com/Hotel_Review-g295424-d614923-Reviews-Arabian_Park_Hotel-Dubai_Emirate_of_Dubai.html,Dubai,,2200 ,,2019/04/13,2019/04/14, 41,Booking.com,14,"Free Wifi,Free parking"
Grand Hyatt Dubai,http://www.tripadvisor.com/Hotel_Review-g295424-d306642-Reviews-Grand_Hyatt_Dubai-Dubai_Emirate_of_Dubai.html,Dubai,,4929 ,,2019/04/13,2019/04/14, 123,Agoda.com,13,"Free Wifi,Free parking"
JW Marriott Marquis Hotel Dubai,http://www.tripadvisor.com/Hotel_Review-g295424-d3447941-Reviews-JW_Marriott_Marquis_Hotel_Dubai-Dubai_Emirate_of_Dubai.html,Dubai,,9122 ,,2019/04/13,2019/04/14, 164,Agoda.com,13,"Visit hotel website,Free parking,Room service"
Anantara The Palm Dubai Resort,http://www.tripadvisor.com/Hotel_Review-g295424-d1630522-Reviews-Anantara_The_Palm_Dubai_Resort-Dubai_Emirate_of_Dubai.html,Dubai,,6506 ,,2019/04/13,2019/04/14, 328,Hotels.com,16,"Free Wifi,Free parking"
Al Bandar Rotana - Creek,http://www.tripadvisor.com/Hotel_Review-g295424-d12853782-Reviews-Al_Bandar_Rotana_Creek-Dubai_Emirate_of_Dubai.html,Dubai,,723 ,,2019/04/13,2019/04/14, 109,Booking.com,11,"Free Wifi,Free parking"
Emirates Grand Hotel,http://www.tripadvisor.com/Hotel_Review-g295424-d1804015-Reviews-Emirates_Grand_Hotel-Dubai_Emirate_of_Dubai.html,Dubai,,1799 ,,2019/04/13,2019/04/14, 123,Booking.com,11,"Free Wifi,Free parking"
Dusit  Thani Dubai,http://www.tripadvisor.com/Hotel_Review-g295424-d301379-Reviews-Dusit_Thani_Dubai-Dubai_Emirate_of_Dubai.html,Dubai,,2964 ,,2019/04/13,2019/04/14, 99,Trip.com,14,"Free Wifi,Free parking"
Wyndham Dubai Marina,http://www.tripadvisor.com/Hotel_Review-g295424-d9704275-Reviews-Wyndham_Dubai_Marina-Dubai_Emirate_of_Dubai.html,Dubai,,2115 ,,2019/04/13,2019/04/14, 95,Booking.com,15,"Visit hotel website,Free Wifi,Free parking"
"Grosvenor House, a Luxury Collection Hotel, Dubai",http://www.tripadvisor.com/Hotel_Review-g295424-d507352-Reviews-Grosvenor_House_a_Luxury_Collection_Hotel_Dubai-Dubai_Emirate_of_Dubai.html,Dubai,,5537 ,,2019/04/13,2019/04/14, 220,Booking.com,15,"Visit hotel website,Free Wifi,Free parking"
Park Regis Kris Kin Hotel,http://www.tripadvisor.com/Hotel_Review-g295424-d1936989-Reviews-Park_Regis_Kris_Kin_Hotel-Dubai_Emirate_of_Dubai.html,Dubai,,2128 ,,2019/04/13,2019/04/14, 58,Agoda.com,13,"Visit hotel website,Free Wifi,Free parking"
"Atlantis, The Palm",http://www.tripadvisor.com/Hotel_Review-g295424-d1022759-Reviews-Atlantis_The_Palm-Dubai_Emirate_of_Dubai.html,Dubai,,23818 ,,2019/04/13,2019/04/14, 401,Booking.com,12,"Visit hotel website,Free parking"
Nikki Beach Resort & Spa Dubai,http://www.tripadvisor.com/Hotel_Review-g295424-d8698388-Reviews-Nikki_Beach_Resort_Spa_Dubai-Dubai_Emirate_of_Dubai.html,Dubai,,920 ,,2019/04/13,2019/04/14, 383,Agoda.com,13,"Free Wifi,Free parking"
