hotel_name,url,locality,timestamp,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Buran Capsule Hotel,http://www.tripadvisor.com/Hotel_Review-g298484-d13796709-Reviews-Buran_Capsule_Hotel-Moscow_Central_Russia.html,Moscow,,20 ,5,2019/04/13,2019/04/14, 18,Agoda.com,6,"Free Wifi,Free parking,Visit hotel website"
Hotel Metropol Moscow,http://www.tripadvisor.com/Hotel_Review-g298484-d299869-Reviews-Hotel_Metropol_Moscow-Moscow_Central_Russia.html,Moscow,,3904 ,4.5,2019/04/13,2019/04/14, 181,Booking.com,11,"Free Wifi,Pool"
Vega Izmailovo Hotel & Convention Center,http://www.tripadvisor.com/Hotel_Review-g298484-d299974-Reviews-Vega_Izmailovo_Hotel_Convention_Center-Moscow_Central_Russia.html,Moscow,,2982 ,4.5,2019/04/13,2019/04/14, 42,Expedia.ch,12,"Free Wifi,Restaurant,Visit hotel website"
Moscow Marriott Grand Hotel,http://www.tripadvisor.com/Hotel_Review-g298484-d299812-Reviews-Moscow_Marriott_Grand_Hotel-Moscow_Central_Russia.html,Moscow,,1767 ,4.5,2019/04/13,2019/04/14, 80,Expedia.ch,12,"Free Wifi,Pool,Visit hotel website"
"Hotel National, a Luxury Collection Hotel, Moscow",http://www.tripadvisor.com/Hotel_Review-g298484-d299872-Reviews-Hotel_National_a_Luxury_Collection_Hotel_Moscow-Moscow_Central_Russia.html,Moscow,,1762 ,4.5,2019/04/13,2019/04/14, 109,Expedia.ch,13,"Free Wifi,Pool,Visit hotel website"
Mercure Arbat Moscow,http://www.tripadvisor.com/Hotel_Review-g298484-d2322616-Reviews-Mercure_Arbat_Moscow-Moscow_Central_Russia.html,Moscow,,1773 ,4.5,2019/04/13,2019/04/14, 77,Booking.com,12,"Free Wifi,Restaurant"
AZIMUT Hotel Olympic Moscow,http://www.tripadvisor.com/Hotel_Review-g298484-d299815-Reviews-AZIMUT_Hotel_Olympic_Moscow-Moscow_Central_Russia.html,Moscow,,3484 ,4.5,2019/04/13,2019/04/14, 50,Booking.com,13,"Free Wifi,Pool"
Ibis Moscow Centre Bakhrushina,http://www.tripadvisor.com/Hotel_Review-g298484-d4961665-Reviews-Ibis_Moscow_Centre_Bakhrushina-Moscow_Central_Russia.html,Moscow,,855 ,4.5,2019/04/13,2019/04/14, 41,ibis,13,"Free Wifi,Restaurant"
SunFlower Park Hotel,http://www.tripadvisor.com/Hotel_Review-g298484-d1138632-Reviews-SunFlower_Park_Hotel-Moscow_Central_Russia.html,Moscow,,916 ,4.5,2019/04/13,2019/04/14, 44,Booking.com,10,"Free Wifi,Free parking"
Novotel Moscow City,http://www.tripadvisor.com/Hotel_Review-g298484-d3588282-Reviews-Novotel_Moscow_City-Moscow_Central_Russia.html,Moscow,,1546 ,4.5,2019/04/13,2019/04/14, 69,Novotel,11,"Free Wifi,Restaurant"
AZIMUT Hotel Smolenskaya Moscow,http://www.tripadvisor.com/Hotel_Review-g298484-d11835847-Reviews-AZIMUT_Hotel_Smolenskaya_Moscow-Moscow_Central_Russia.html,Moscow,,1022 ,4.5,2019/04/13,2019/04/14, 55,Booking.com,12,"Free Wifi,Restaurant"
AZIMUT Hotel Tulskaya Moscow,http://www.tripadvisor.com/Hotel_Review-g298484-d2651149-Reviews-AZIMUT_Hotel_Tulskaya_Moscow-Moscow_Central_Russia.html,Moscow,,2005 ,4.5,2019/04/13,2019/04/14, 39,Booking.com,12,"Free Wifi,Free parking"
Novotel Moscow Kievskaya,http://www.tripadvisor.com/Hotel_Review-g298484-d10627843-Reviews-Novotel_Moscow_Kievskaya-Moscow_Central_Russia.html,Moscow,,316 ,4.5,2019/04/13,2019/04/14, 70,Booking.com,11,"Free Wifi,Pool"
Holiday Inn Moscow Lesnaya,http://www.tripadvisor.com/Hotel_Review-g298484-d565738-Reviews-Holiday_Inn_Moscow_Lesnaya-Moscow_Central_Russia.html,Moscow,,1290 ,4,2019/04/13,2019/04/14, 44,Expedia.ch,12,"Free Wifi,Restaurant,Visit hotel website"
Palmira Business Club,http://www.tripadvisor.com/Hotel_Review-g298484-d8356367-Reviews-Palmira_Business_Club-Moscow_Central_Russia.html,Moscow,,574 ,5,2019/04/13,2019/04/14, 69,Booking.com,9,"Free Wifi,Breakfast included"
Moscow Marriott Tverskaya Hotel,http://www.tripadvisor.com/Hotel_Review-g298484-d299814-Reviews-Moscow_Marriott_Tverskaya_Hotel-Moscow_Central_Russia.html,Moscow,,943 ,4,2019/04/13,2019/04/14, 109,Booking.com,13,"Free Wifi,Restaurant,Visit hotel website"
Ararat Park Hyatt Moscow,http://www.tripadvisor.com/Hotel_Review-g298484-d300404-Reviews-Ararat_Park_Hyatt_Moscow-Moscow_Central_Russia.html,Moscow,,1373 ,5,2019/04/13,2019/04/14, 311,Booking.com,13,"Free Wifi,Pool"
Mercure Moscow Baumanskaya,http://www.tripadvisor.com/Hotel_Review-g298484-d5539789-Reviews-Mercure_Moscow_Baumanskaya-Moscow_Central_Russia.html,Moscow,,768 ,4.5,2019/04/13,2019/04/14, 55,Mercure,11,"Free Wifi,Restaurant"
DoubleTree by Hilton Hotel Moscow - Marina,http://www.tripadvisor.com/Hotel_Review-g298484-d6002558-Reviews-DoubleTree_by_Hilton_Hotel_Moscow_Marina-Moscow_Central_Russia.html,Moscow,,980 ,4.5,2019/04/13,2019/04/14, 60,Booking.com,11,"Free Wifi,Pool,Visit hotel website"
Hotel Ibis Budget Moscow Panfilovskaya,http://www.tripadvisor.com/Hotel_Review-g298484-d12456089-Reviews-Hotel_Ibis_Budget_Moscow_Panfilovskaya-Moscow_Central_Russia.html,Moscow,,108 ,4.5,2019/04/13,2019/04/14, 31,Booking.com,10,"Free Wifi,Restaurant"
Ibis Moscow Kievskaya,http://www.tripadvisor.com/Hotel_Review-g298484-d11621551-Reviews-Ibis_Moscow_Kievskaya-Moscow_Central_Russia.html,Moscow,,338 ,4,2019/04/13,2019/04/14, 41,Booking.com,12,"Free Wifi,Restaurant"
Peter I,http://www.tripadvisor.com/Hotel_Review-g298484-d619941-Reviews-Peter_I-Moscow_Central_Russia.html,Moscow,,757 ,4,2019/04/13,2019/04/14, 153,Booking.com,11,"Free Wifi,Pool"
Ibis Moscow Dynamo Hotel,http://www.tripadvisor.com/Hotel_Review-g298484-d7356238-Reviews-Ibis_Moscow_Dynamo_Hotel-Moscow_Central_Russia.html,Moscow,,439 ,4,2019/04/13,2019/04/14, 40,Booking.com,11,"Free Wifi,Restaurant"
Moscow Marriott Royal Aurora Hotel,http://www.tripadvisor.com/Hotel_Review-g298484-d299813-Reviews-Moscow_Marriott_Royal_Aurora_Hotel-Moscow_Central_Russia.html,Moscow,,1154 ,4.5,2019/04/13,2019/04/14, 133,Expedia.ch,12,"Free Wifi,Pool,Visit hotel website"
SkyPoint Sheremetyevo Hotel,http://www.tripadvisor.com/Hotel_Review-g1439536-d3158838-Reviews-SkyPoint_Sheremetyevo_Hotel-Khimki_Moscow_Oblast_Central_Russia.html,Moscow,,1990 ,4.5,2019/04/13,2019/04/14, 47,Booking.com,10,"Free Wifi,Free parking"
Radisson Collection Hotel Moscow,http://www.tripadvisor.com/Hotel_Review-g298484-d299906-Reviews-Radisson_Collection_Hotel_Moscow-Moscow_Central_Russia.html,Moscow,,1623 ,4.5,2019/04/13,2019/04/14, 133,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
Renaissance Moscow Monarch Centre Hotel,http://www.tripadvisor.com/Hotel_Review-g298484-d1724362-Reviews-Renaissance_Moscow_Monarch_Centre_Hotel-Moscow_Central_Russia.html,Moscow,,752 ,4.5,2019/04/13,2019/04/14, 54,Booking.com,13,"Pool,Restaurant,Visit hotel website"
GoodMood Hostel,http://www.tripadvisor.com/Hotel_Review-g298484-d8787674-Reviews-GoodMood_Hostel-Moscow_Central_Russia.html,Moscow,,108 ,5,2019/04/13,2019/04/14, 36,Booking.com,7,Free Wifi
Golden Ring Hotel,http://www.tripadvisor.com/Hotel_Review-g298484-d299828-Reviews-Golden_Ring_Hotel-Moscow_Central_Russia.html,Moscow,,898 ,4,2019/04/13,2019/04/14, 84,Booking.com,11,"Free Wifi,Restaurant"
Hotel Baltschug Kempinski Moscow,http://www.tripadvisor.com/Hotel_Review-g298484-d302579-Reviews-Hotel_Baltschug_Kempinski_Moscow-Moscow_Central_Russia.html,Moscow,,1281 ,4.5,2019/04/13,2019/04/14, 194,Trip.com,12,"Free Wifi,Pool,Visit hotel website"
"The Ritz-Carlton, Moscow",http://www.tripadvisor.com/Hotel_Review-g298484-d595595-Reviews-The_Ritz_Carlton_Moscow-Moscow_Central_Russia.html,Moscow,,1897 ,4.5,2019/04/13,2019/04/14, 389,Booking.com,13,"Pool,Restaurant,Visit hotel website"
