hotel_name,url,locality,timestamp,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Hotel Teplice Plaza,http://www.tripadvisor.com/Hotel_Review-g676350-d2038420-Reviews-Hotel_Teplice_Plaza-Teplice_Usti_nad_Labem_Region_Bohemia.html,Teplice,,7 ,,2019/04/13,2019/04/14,0,Booking.com,5,"Free Wifi,Free parking"
Hotel Prince De Ligne,http://www.tripadvisor.com/Hotel_Review-g676350-d1480746-Reviews-Hotel_Prince_De_Ligne-Teplice_Usti_nad_Labem_Region_Bohemia.html,Teplice,,58 ,,2019/04/13,2019/04/14,0,Booking.com,9,"Free Wifi,Restaurant"
Hotel Giovanni Giacomo,http://www.tripadvisor.com/Hotel_Review-g676350-d1471277-Reviews-Hotel_Giovanni_Giacomo-Teplice_Usti_nad_Labem_Region_Bohemia.html,Teplice,,43 ,,2019/04/13,2019/04/14,0,Booking.com,10,"Free Wifi,Free parking"
Hotel Sportovni hala Teplice,http://www.tripadvisor.com/Hotel_Review-g676350-d7381765-Reviews-Hotel_Sportovni_hala_Teplice-Teplice_Usti_nad_Labem_Region_Bohemia.html,Teplice,,9 ,,2019/04/13,2019/04/14,0,Booking.com,0,"Free Wifi,Free parking"
Hotel Payer,http://www.tripadvisor.com/Hotel_Review-g676350-d1431733-Reviews-Hotel_Payer-Teplice_Usti_nad_Labem_Region_Bohemia.html,Teplice,,17 ,,2019/04/13,2019/04/14,0,Booking.com,9,"Free Wifi,Breakfast included"
Richmond Teplice Hotel,http://www.tripadvisor.com/Hotel_Review-g676350-d1791511-Reviews-Richmond_Teplice_Hotel-Teplice_Usti_nad_Labem_Region_Bohemia.html,Teplice,,8 ,,2019/04/13,2019/04/14,0,Booking.com,8,
Best Apartments Teplice,http://www.tripadvisor.com/Hotel_Review-g676350-d16782118-Reviews-Best_Apartments_Teplice-Teplice_Usti_nad_Labem_Region_Bohemia.html,Teplice,,0 ,,2019/04/13,2019/04/14, 43,Agoda.com,0,
Berghotel Friedrichshoehe,http://www.tripadvisor.com/Hotel_Review-g642120-d679471-Reviews-Berghotel_Friedrichshoehe-Altenberg_Saxony.html,Teplice,,17 ,,2019/04/13,2019/04/14, 79,Agoda.com,7,"Free Wifi,Free parking"
Hotel Nussknackerbaude,http://www.tripadvisor.com/Hotel_Review-g642134-d668544-Reviews-Hotel_Nussknackerbaude-Seiffen_Saxony.html,Teplice,,13 ,,2019/04/13,2019/04/14, 90,Agoda.com,0,"Free Wifi,Restaurant"
Waldhotel Kreuztanne,http://www.tripadvisor.com/Hotel_Review-g1078366-d639392-Reviews-Waldhotel_Kreuztanne-Sayda_Saxony.html,Teplice,,32 ,,2019/04/13,2019/04/14, 110,Booking.com,9,"Free Wifi,Free parking"
