price_per_night,timestamp,Influencer_or_Not,Hotel_ID
566,2019-05-03 12:12:01.176121,Influencer,6
566,2019-05-09 09:12:01.731708,Influencer,6
649,2019-05-06 23:12:01.056466,Influencer,6
565,2019-05-04 23:12:00.789555,Influencer,6
561,2019-05-10 12:12:01.665297,Influencer,6
565,2019-05-04 14:12:01.319405,Influencer,6
566,2019-05-03 16:12:01.434926,Influencer,6
566,2019-05-08 12:12:00.930913,Influencer,6
566,2019-05-09 13:12:01.689869,Influencer,6
566,2019-05-02 12:12:01.786513,Influencer,6
561,2019-05-10 18:12:01.738322,Influencer,6
847,2019-05-02 20:12:00.984919,Influencer,6
649,2019-05-07 23:12:01.137954,Influencer,6
566,2019-05-10 02:12:01.178864,Influencer,6
561,2019-05-10 14:12:01.452748,Influencer,6
566,2019-05-08 21:12:01.731862,Influencer,6
561,2019-05-10 13:12:01.623309,Influencer,6
847,2019-05-02 21:12:01.221838,Influencer,6
565,2019-05-04 21:12:01.057885,Influencer,6
649,2019-05-08 03:12:01.164356,Influencer,6
565,2019-05-05 10:12:01.677412,Influencer,6
561,2019-05-10 17:12:00.856335,Influencer,6
649,2019-05-08 00:12:00.989831,Influencer,6
565,2019-05-07 15:12:01.349782,Influencer,6
649,2019-05-07 00:12:00.925293,Influencer,6
566,2019-05-10 00:12:01.195419,Influencer,6
565,2019-05-07 11:12:01.754798,Influencer,6
561,2019-05-11 07:12:01.527405,Influencer,6
847,2019-05-02 22:12:01.570787,Influencer,6
649,2019-05-08 07:12:01.538512,Influencer,6
565,2019-05-07 12:12:01.284370,Influencer,6
565,2019-05-04 16:12:01.518697,Influencer,6
561,2019-05-11 02:12:01.651692,Influencer,6
566,2019-05-09 08:12:01.493515,Influencer,6
565,2019-05-08 10:12:01.267045,Influencer,6
561,2019-05-11 01:12:01.438687,Influencer,6
649,2019-05-06 13:12:01.703033,Influencer,6
566,2019-05-08 15:12:01.426155,Influencer,6
566,2019-05-09 23:12:01.327708,Influencer,6
561,2019-05-10 15:12:01.170968,Influencer,6
847,2019-05-02 23:12:01.774577,Influencer,6
649,2019-05-06 18:12:01.457570,Influencer,6
566,2019-05-09 05:12:01.396467,Influencer,6
566,2019-05-03 10:12:00.805120,Influencer,6
940,2019-05-04 00:12:01.545606,Influencer,6
566,2019-05-02 16:12:01.114919,Influencer,6
566,2019-05-10 08:12:01.239009,Influencer,6
940,2019-05-04 02:12:01.531178,Influencer,6
565,2019-05-04 20:12:01.706911,Influencer,6
649,2019-05-07 03:12:01.652740,Influencer,6
649,2019-05-07 20:12:01.260408,Influencer,6
565,2019-05-04 18:12:01.412269,Influencer,6
649,2019-05-07 19:12:01.650633,Influencer,6
847,2019-05-03 06:12:01.627326,Influencer,6
565,2019-05-07 14:12:01.649660,Influencer,6
940,2019-05-03 20:12:01.432367,Influencer,6
940,2019-05-04 07:12:01.390240,Influencer,6
565,2019-05-05 03:12:01.469749,Influencer,6
649,2019-05-06 17:12:01.507379,Influencer,6
561,2019-05-10 11:12:01.772799,Influencer,6
649,2019-05-06 15:12:01.695256,Influencer,6
566,2019-05-03 11:12:00.737111,Influencer,6
565,2019-05-04 19:12:01.144122,Influencer,6
566,2019-05-09 21:12:01.655437,Influencer,6
847,2019-05-03 03:12:01.374041,Influencer,6
565,2019-05-05 14:12:01.414999,Influencer,6
561,2019-05-11 04:12:01.659074,Influencer,6
561,2019-05-10 10:12:01.360526,Influencer,6
940,2019-05-04 08:12:01.571783,Influencer,6
566,2019-05-10 04:12:01.090207,Influencer,6
566,2019-05-08 16:12:01.173012,Influencer,6
565,2019-05-05 16:12:00.859118,Influencer,6
649,2019-05-07 02:12:01.598546,Influencer,6
565,2019-05-04 11:12:01.448847,Influencer,6
649,2019-05-07 01:12:01.349458,Influencer,6
940,2019-05-04 04:12:01.218957,Influencer,6
940,2019-05-03 19:12:01.345457,Influencer,6
649,2019-05-07 07:12:01.410084,Influencer,6
566,2019-05-08 14:12:01.497288,Influencer,6
566,2019-05-09 19:12:01.690206,Influencer,6
649,2019-05-06 12:12:00.964227,Influencer,6
566,2019-05-09 20:12:00.988701,Influencer,6
566,2019-05-08 22:12:00.823013,Influencer,6
566,2019-05-09 16:12:01.145138,Influencer,6
940,2019-05-03 22:12:02.104360,Influencer,6
649,2019-05-08 04:12:01.085204,Influencer,6
566,2019-05-02 14:12:01.005284,Influencer,6
566,2019-05-09 17:12:01.439825,Influencer,6
940,2019-05-04 03:12:01.334982,Influencer,6
940,2019-05-03 21:12:01.129597,Influencer,6
566,2019-05-08 23:12:01.372134,Influencer,6
566,2019-05-03 14:12:01.052213,Influencer,6
565,2019-05-05 08:12:01.723761,Influencer,6
565,2019-05-05 11:12:01.010453,Influencer,6
940,2019-05-03 18:12:00.837442,Influencer,6
565,2019-05-05 15:12:01.426829,Influencer,6
649,2019-05-06 21:12:01.174258,Influencer,6
847,2019-05-03 02:12:01.793484,Influencer,6
847,2019-05-03 08:12:01.172939,Influencer,6
