hotel_name,price_per_night,timestamp
Novotel Abu Dhabi Al Bustan, 40,2019-04-27 13:20:01.871791
"Radisson Blu Hotel & Resort, Abu Dhabi Corniche", 60,2019-04-27 13:20:01.871791
"Traders Hotel, Qaryat Al Beri, Abu Dhabi", 50,2019-04-27 13:20:01.871791
"Shangri-La Hotel, Qaryat Al Beri, Abu Dhabi", 110,2019-04-27 13:20:01.871791
Sofitel Abu Dhabi Corniche, 59,2019-04-27 13:20:01.871791
Ibis Abu Dhabi Gate, 43,2019-04-27 13:20:01.871791
Aparthotel Adagio Abu Dhabi Al Bustan, 61,2019-04-27 13:20:01.871791
Southern Sun Abu Dhabi, 62,2019-04-27 13:20:01.871791
Beach Rotana Abu Dhabi, 73,2019-04-27 13:20:01.871791
"The St. Regis Saadiyat Island Resort, Abu Dhabi", 203,2019-04-27 13:20:01.871791
"Radisson Blu Hotel, Abu Dhabi Yas Island", 62,2019-04-27 13:20:01.871791
Khalidiya Palace Rayhaan by Rotana, 70,2019-04-27 13:20:01.871791
Bab Al Qasr Hotel, 81,2019-04-27 13:20:01.871791
Eastern Mangroves Hotel & Spa By Anantara, 100,2019-04-27 13:20:01.871791
Emirates Palace, 292,2019-04-27 13:20:01.871791
Yas Island Rotana, 69,2019-04-27 13:20:01.871791
Al Seef Resort & Spa By Andalus, 74,2019-04-27 13:20:01.871791
The St. Regis Abu Dhabi, 149,2019-04-27 13:20:01.871791
Yas Hotel Abu Dhabi, 87,2019-04-27 13:20:01.871791
Saadiyat Rotana Resort & Villas, 185,2019-04-27 13:20:01.871791
Ramada by Wyndham Abu Dhabi Corniche, 41,2019-04-27 13:20:01.871791
"The Ritz-Carlton Abu Dhabi, Grand Canal", 153,2019-04-27 13:20:01.871791
City Seasons Al Hamra Hotel, 46,2019-04-27 13:20:01.871791
Tryp by Wyndham Abu Dhabi City Centre, 43,2019-04-27 13:20:01.871791
Novotel Abu Dhabi Al Bustan, 40,2019-04-27 13:20:01.871791
Fairmont Bab Al Bahr, 112,2019-04-27 13:20:01.871791
Royal Rose Hotel, 67,2019-04-27 13:20:01.871791
Rosewood Abu Dhabi, 158,2019-04-27 13:20:01.871791
Premier Inn Abu Dhabi International Airport Hotel, 47,2019-04-27 13:20:01.871791
Zaya Nurai Island, 697,2019-04-27 13:20:01.871791
Al Raha Beach Hotel," 1,629",2019-04-27 13:20:01.871791
Jumeirah at Etihad Towers,0,2019-04-27 13:20:01.871791
