hotel_name,price_per_night,timestamp
Ramon's Village Resort, 243,2019-04-19 14:05:02.002268
Island Magic Beach Resort, 128,2019-04-19 14:05:02.002268
SunBreeze Hotel, 194,2019-04-19 14:05:02.002268
"Mahogany Bay Resort & Beach Club, Curio Collection by Hilton", 172,2019-04-19 14:05:02.002268
Radisson Fort George Hotel and Marina, 111,2019-04-19 14:05:02.002268
Belize Ocean Club, 192,2019-04-19 14:05:02.002268
Maya Beach Hotel, 99,2019-04-19 14:05:02.002268
"Sweet Songs Jungle Lodge, a Muy'Ono Resort", 99,2019-04-19 14:05:02.002268
San Ignacio Resort Hotel, 142,2019-04-19 14:05:02.002268
Sapphire Beach Resort, 122,2019-04-19 14:05:02.002268
Hotel del Rio, 59,2019-04-19 14:05:02.002268
Pedro's Hotel, 55,2019-04-19 14:05:02.002268
Ocean Tide Beach Resort, 84,2019-04-19 14:05:02.002268
Robert's Grove Beach Resort, 177,2019-04-19 14:05:02.002268
Sleeping Giant Rainforest Lodge, 131,2019-04-19 14:05:02.002268
The Lodge at Jaguar Reef, 131,2019-04-19 14:05:02.002268
Green Parrot Beach Houses & Resort, 117,2019-04-19 14:05:02.002268
Paradise Vacation Hotel, 80,2019-04-19 14:05:02.002268
Black Orchid Resort, 101,2019-04-19 14:05:02.002268
Costa Blu Beach Resort Trademark Collection by Wyndham, 146,2019-04-19 14:05:02.002268
Pelican Reef Villas Resort, 326,2019-04-19 14:05:02.002268
Laru Beya Resort & Villas, 185,2019-04-19 14:05:02.002268
Chabil Mar, 301,2019-04-19 14:05:02.002268
"Thatch Caye, a Muy'Ono Resort", 120,2019-04-19 14:05:02.002268
Villa Margarita at Jaguar Reef, 131,2019-04-19 14:05:02.002268
Almond Beach Resort at Jaguar Reef, 131,2019-04-19 14:05:02.002268
De Real Macaw, 60,2019-04-19 14:05:02.002268
Las Terrazas Resort, 232,2019-04-19 14:05:02.002268
Belizean Dreams Resort, 474,2019-04-19 14:05:02.002268
The Lodge at Chaa Creek, 414,2019-04-19 14:05:02.002268
