hotel_name,price_per_night,timestamp
Luxury Villa Excelsior Parco, 364,2019-04-25 14:20:00.952815
Hotel Mamela, 647,2019-04-25 14:20:00.952815
Hotel La Palma, 401,2019-04-25 14:20:00.952815
Villa Marina Capri Hotel & Spa, 508,2019-04-25 14:20:00.952815
Casa Gaia, 210,2019-04-25 14:20:00.952815
La Residenza Capri, 405,2019-04-25 14:20:00.952815
Villa Mediterranea Capri, 524,2019-04-25 14:20:00.952815
Suite Garden, 354,2019-04-25 14:20:00.952815
Casa Marta Capri, 244,2019-04-25 14:20:00.952815
Villa da Zara, 404,2019-04-25 14:20:00.952815
Hotel Palatium Mari, 217,2019-04-25 14:20:00.952815
Villa Carolina Capri, 186,2019-04-25 14:20:00.952815
Hotel Diva La Canzone del Mare, 217,2019-04-25 14:20:00.952815
Albergo Pensione Italia, 187,2019-04-25 14:20:00.952815
Casa Boutique, 285,2019-04-25 14:20:00.952815
Villa i Tre Fratelli, 113,2019-04-25 14:20:00.952815
Capri Tiberio Palace, 874,2019-04-25 14:20:00.952815
Punta Tragara," 1,480",2019-04-25 14:20:00.952815
Relais Maresca Small Luxury Hotel,0,2019-04-25 14:20:00.952815
Hotel Gatto Bianco,0,2019-04-25 14:20:00.952815
Casa Morgano,0,2019-04-25 14:20:00.952815
Hotel Villa Sanfelice,0,2019-04-25 14:20:00.952815
Hotel La Floridiana,0,2019-04-25 14:20:00.952815
Hotel Regina Cristina,0,2019-04-25 14:20:00.952815
Hotel Tiempo, 145,2019-04-25 14:20:00.952815
Holiday Inn Naples, 146,2019-04-25 14:20:00.952815
Ramada Naples, 198,2019-04-25 14:20:00.952815
Hotel Magri's, 166,2019-04-25 14:20:00.952815
Buono Hotel,0,2019-04-25 14:20:00.952815
Hotel Joyfull,0,2019-04-25 14:20:00.952815
