hotel_name,price_per_night,timestamp
Travelodge Edinburgh Central Princes Street, 153,2019-04-26 00:20:01.795643
Travelodge Edinburgh Central, 164,2019-04-26 00:20:01.795643
Travelodge Edinburgh Central Waterloo Place Hotel, 222,2019-04-26 00:20:01.795643
The Principal Edinburgh George Street, 354,2019-04-26 00:20:01.795643
"Radisson Blu Hotel, Edinburgh City Centre", 269,2019-04-26 00:20:01.795643
Travelodge Edinburgh Cameron Toll, 142,2019-04-26 00:20:01.795643
Travelodge Edinburgh Airport Ratho Station Hotel, 120,2019-04-26 00:20:01.795643
B+B Edinburgh, 362,2019-04-26 00:20:01.795643
The Balmoral Hotel, 330,2019-04-26 00:20:01.795643
Waldorf Astoria Edinburgh - The Caledonian, 317,2019-04-26 00:20:01.795643
Old Town Chambers, 249,2019-04-26 00:20:01.795643
The Edinburgh Grand, 315,2019-04-26 00:20:01.795643
The Scotsman Hotel, 313,2019-04-26 00:20:01.795643
Leonardo Boutique Hotel Simpson Edinburgh, 184,2019-04-26 00:20:01.795643
Cityroomz Edinburgh, 138,2019-04-26 00:20:01.795643
Courtyard by Marriott Edinburgh, 226,2019-04-26 00:20:01.795643
The Chester Residence, 499,2019-04-26 00:20:01.795643
Best Western Plus Edinburgh City Centre Bruntsfield Hotel,0,2019-04-26 00:20:01.795643
"Ten Hill Place, BW Premier Collection",0,2019-04-26 00:20:01.795643
Apex Grassmarket Hotel,0,2019-04-26 00:20:01.795643
Murrayfield Hotel and House,0,2019-04-26 00:20:01.795643
Novotel Edinburgh Park,0,2019-04-26 00:20:01.795643
Travelodge Edinburgh Central Queen Street,0,2019-04-26 00:20:01.795643
Ibis Edinburgh Centre Royal Mile,0,2019-04-26 00:20:01.795643
Ibis Edinburgh Centre South Bridge,0,2019-04-26 00:20:01.795643
"Sheraton Grand Hotel & Spa, Edinburgh",0,2019-04-26 00:20:01.795643
Best Western Kings Manor Hotel,0,2019-04-26 00:20:01.795643
Aparthotel Adagio Edinburgh Royal Mile,0,2019-04-26 00:20:01.795643
Holiday Inn Express Edinburgh - Leith Waterfront,0,2019-04-26 00:20:01.795643
Apex Waterloo Place Hotel,0,2019-04-26 00:20:01.795643
