hotel_name,price_per_night,timestamp
Burgenstock Hotels & Resorts - Panorama Residence Suites, 416,2019-04-28 20:20:01.699551
Seehotel Hermitage Luzern, 429,2019-04-28 20:20:01.699551
Seehotel Pilatus, 229,2019-04-28 20:20:01.699551
Hotel Balm Meggen, 220,2019-04-28 20:20:01.699551
Seehotel Sternen Horw, 260,2019-04-28 20:20:01.699551
Hotel-Restaurant Felmis, 135,2019-04-28 20:20:01.699551
Boutique Hotel Schluessel, 327,2019-04-28 20:20:01.699551
Krone Buochs - Hotel & Restaurant, 125,2019-04-28 20:20:01.699551
Seerausch Swiss Quality Hotel, 146,2019-04-28 20:20:01.699551
Hotel Bellevue Luzern, 161,2019-04-28 20:20:01.699551
Hotel Beau Rivage, 259,2019-04-28 20:20:01.699551
Seehotel Kastanienbaum, 203,2019-04-28 20:20:01.699551
Hotel Roggerli, 212,2019-04-28 20:20:01.699551
Hotel Winkelried, 175,2019-04-28 20:20:01.699551
Hotel Gerbi, 286,2019-04-28 20:20:01.699551
Hotel Central am See, 174,2019-04-28 20:20:01.699551
Hotel Alexander, 318,2019-04-28 20:20:01.699551
Hotel Friedheim, 239,2019-04-28 20:20:01.699551
Hotel Bergsonne, 144,2019-04-28 20:20:01.699551
Hotel Stanserhof, 162,2019-04-28 20:20:01.699551
Wellness Hotel Rossli Weggis, 299,2019-04-28 20:20:01.699551
Hotel Rigi Kaltbad, 312,2019-04-28 20:20:01.699551
Hotel Roessli, 154,2019-04-28 20:20:01.699551
Hotel Schweizerhof, 148,2019-04-28 20:20:01.699551
Hotel Restaurant Burestadl, 104,2019-04-28 20:20:01.699551
Wellness Hotel Graziella, 144,2019-04-28 20:20:01.699551
Burgenstock Hotels & Resort – Waldhotel & Spa, 585,2019-04-28 20:20:01.699551
Park Hotel Vitznau," 2,019",2019-04-28 20:20:01.699551
Burgenstock Hotels & Resort - Palace Hotel, 471,2019-04-28 20:20:01.699551
Burgenstock Hotels & Resort - Burgenstock Hotel & Alpine Spa," 1,155",2019-04-28 20:20:01.699551
