hotel_name,price_per_night,timestamp
Surf View Raalhugandu, 87,2019-04-23 11:20:01.135433
Somerset Inn, 62,2019-04-23 11:20:01.135433
Hotel Octave, 201,2019-04-23 11:20:01.135433
The Somerset Hotel, 130,2019-04-23 11:20:01.135433
Centara Ras Fushi Resort & Spa Maldives, 370,2019-04-23 11:20:01.135433
Sala Boutique Hotel, 121,2019-04-23 11:20:01.135433
Samann Grand, 152,2019-04-23 11:20:01.135433
Surf View Raalhugandu, 87,2019-04-23 11:20:01.135433
Champa Central Hotel, 93,2019-04-23 11:20:01.135433
The Avenue and Spa, 46,2019-04-23 11:20:01.135433
"Hotel Jen Male, Maldives by Shangri-La", 186,2019-04-23 11:20:01.135433
The Beehive, 110,2019-04-23 11:20:01.135433
Novina, 53,2019-04-23 11:20:01.135433
Paralian Hulhumale, 93,2019-04-23 11:20:01.135433
The Melrose Hotel, 49,2019-04-23 11:20:01.135433
House Clover, 75,2019-04-23 11:20:01.135433
Vinorva Maldives, 84,2019-04-23 11:20:01.135433
Skai Lodge, 76,2019-04-23 11:20:01.135433
City King, 62,2019-04-23 11:20:01.135433
The Park House, 91,2019-04-23 11:20:01.135433
Six in One, 81,2019-04-23 11:20:01.135433
Athiriveli, 51,2019-04-23 11:20:01.135433
LVIS boutique, 110,2019-04-23 11:20:01.135433
Mookai Suites,0,2019-04-23 11:20:01.135433
Marble Hotel, 77,2019-04-23 11:20:01.135433
Coral Hotel & Spa, 43,2019-04-23 11:20:01.135433
Mookai Hotel, 82,2019-04-23 11:20:01.135433
Heritance Aarah," 1,365",2019-04-23 11:20:01.135433
Hotel Unima Grand,0,2019-04-23 11:20:01.135433
Maagiri Hotel,0,2019-04-23 11:20:01.135433
Kaani Lodge,0,2019-04-23 11:20:01.135433
