hotel_name,url,locality,timestamp,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Heritage The Villas,http://www.tripadvisor.com/Hotel_Review-g612353-d1943840-Reviews-Heritage_The_Villas-Bel_Ombre.html,Mauritius,,312 ,4.5,2019/05/18,2019/05/19, 626,Official Site,13,"Free Wifi,Free parking,Visit hotel website"
"Shangri-La’s Le Touessrok Resort & Spa, Mauritius",http://www.tripadvisor.com/Hotel_Review-g488107-d302533-Reviews-Shangri_La_s_Le_Touessrok_Resort_Spa_Mauritius-Trou_d_eau_Douce.html,Mauritius,,1323 ,4.5,2019/05/18,2019/05/19, 302,Booking.com,17,"Free Wifi,Free parking,Visit hotel website"
LUX* Belle Mare,http://www.tripadvisor.com/Hotel_Review-g298342-d316743-Reviews-LUX_Belle_Mare-Belle_Mare.html,Mauritius,,6815 ,5,2019/05/18,2019/05/19, 261,Expedia.ch,10,"Traveler’s Choice,Travelers' Choice® 2019 Winner"
Hilton Mauritius Resort & Spa,http://www.tripadvisor.com/Hotel_Review-g298343-d299624-Reviews-Hilton_Mauritius_Resort_Spa-Flic_En_Flac.html,Mauritius,,3057 ,4.5,2019/05/18,2019/05/19, 245,Hilton,16,"Free Wifi,Free parking,Visit hotel website"
Holiday Inn Mauritius Mon Tresor,http://www.tripadvisor.com/Hotel_Review-g2511661-d5007489-Reviews-Holiday_Inn_Mauritius_Mon_Tresor-Plaine_Magnien.html,Mauritius,,474 ,4.5,2019/05/18,2019/05/19, 112,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
LUX* Le Morne,http://www.tripadvisor.com/Hotel_Review-g488105-d316737-Reviews-LUX_Le_Morne-Le_Morne.html,Mauritius,,5840 ,5,2019/05/18,2019/05/19, 431,Hotels.com,16,"Free Wifi,Free parking"
Mauricia Beachcomber Resort & Spa,http://www.tripadvisor.com/Hotel_Review-g488103-d627320-Reviews-Mauricia_Beachcomber_Resort_Spa-Grand_Baie.html,Mauritius,,3637 ,4.5,2019/05/18,2019/05/19, 208,Trip.com,17,"Free parking,Breakfast included,Visit hotel website"
LUX* Grand Gaube,http://www.tripadvisor.com/Hotel_Review-g488104-d316747-Reviews-LUX_Grand_Gaube-Grand_Gaube.html,Mauritius,,5182 ,5,2019/05/18,2019/05/19, 285,Hotels.com,12,"Free Wifi,Free parking"
The Residence Mauritius,http://www.tripadvisor.com/Hotel_Review-g298342-d301302-Reviews-The_Residence_Mauritius-Belle_Mare.html,Mauritius,,2720 ,4.5,2019/05/18,2019/05/19, 188,Trip.com,15,"Free Wifi,Free parking,Visit hotel website"
Sugar Beach Mauritius,http://www.tripadvisor.com/Hotel_Review-g298343-d305531-Reviews-Sugar_Beach_Mauritius-Flic_En_Flac.html,Mauritius,,4834 ,4.5,2019/05/18,2019/05/19, 409,Hotels.com,13,"Free parking,Pool,Visit hotel website"
Coral Azur Beach Resort,http://www.tripadvisor.com/Hotel_Review-g488106-d307242-Reviews-Coral_Azur_Beach_Resort-Trou_aux_Biches.html,Mauritius,,1263 ,4,2019/05/18,2019/05/19, 78,Booking.com,8,"Spa,Free Internet"
Merville Beach Hotel,http://www.tripadvisor.com/Hotel_Review-g488103-d302263-Reviews-Merville_Beach_Hotel-Grand_Baie.html,Mauritius,,2912 ,4.5,2019/05/18,2019/05/19, 135,Booking.com,13,"Free Wifi,Free parking"
Outrigger Mauritius Beach Resort,http://www.tripadvisor.com/Hotel_Review-g612353-d4884391-Reviews-Outrigger_Mauritius_Beach_Resort-Bel_Ombre.html,Mauritius,,1933 ,4.5,2019/05/18,2019/05/19, 342,ab-in-den-urlaub,16,"Free Wifi,Free parking,Visit hotel website"
"Radisson Blu Poste Lafayette Resort & Spa, Mauritius",http://www.tripadvisor.com/Hotel_Review-g1182893-d3584998-Reviews-Radisson_Blu_Poste_Lafayette_Resort_Spa_Mauritius-Poste_Lafayette.html,Mauritius,,2505 ,4.5,2019/05/18,2019/05/19, 254,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
Heritage Le Telfair Golf & Wellness Resort,http://www.tripadvisor.com/Hotel_Review-g612353-d550442-Reviews-Heritage_Le_Telfair_Golf_Wellness_Resort-Bel_Ombre.html,Mauritius,,2577 ,4.5,2019/05/18,2019/05/19, 337,Official Site,10,"Free Wifi,Breakfast included,Visit hotel website"
Pereybere Hotel & Spa,http://www.tripadvisor.com/Hotel_Review-g1905319-d625720-Reviews-Pereybere_Hotel_Spa-Pereybere.html,Mauritius,,746 ,4.5,2019/05/18,2019/05/19, 111,AMOMA,9,"Free Wifi,Free parking"
Anelia Resort & Spa,http://www.tripadvisor.com/Hotel_Review-g298343-d8622447-Reviews-Anelia_Resort_Spa-Flic_En_Flac.html,Mauritius,,653 ,4.5,2019/05/18,2019/05/19, 153,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
Angsana Balaclava Mauritius,http://www.tripadvisor.com/Hotel_Review-g488101-d2336079-Reviews-Angsana_Balaclava_Mauritius-Balaclava.html,Mauritius,,1530 ,4.5,2019/05/18,2019/05/19, 343,Hotels.com,10,"Free Wifi,Free parking,Visit hotel website"
Shanti Maurice Resort & Spa,http://www.tripadvisor.com/Hotel_Review-g1182899-d630437-Reviews-Shanti_Maurice_Resort_Spa-St_Felix.html,Mauritius,,1472 ,4.5,2019/05/18,2019/05/19, 245,Booking.com,17,"Free Wifi,Free parking,Visit hotel website"
La Pirogue Mauritius,http://www.tripadvisor.com/Hotel_Review-g298343-d316735-Reviews-La_Pirogue_Mauritius-Flic_En_Flac.html,Mauritius,,4205 ,4.5,2019/05/18,2019/05/19, 330,Hotels.com,16,"Free parking,Pool,Visit hotel website"
InterContinental Mauritius Resort Balaclava Fort,http://www.tripadvisor.com/Hotel_Review-g488101-d1197162-Reviews-InterContinental_Mauritius_Resort_Balaclava_Fort-Balaclava.html,Mauritius,,3736 ,4,2019/05/18,2019/05/19, 308,Hotels.com,13,"Free Wifi,Free parking,Visit hotel website"
Victoria Beachcomber Resort & Spa,http://www.tripadvisor.com/Hotel_Review-g298344-d324865-Reviews-Victoria_Beachcomber_Resort_Spa-Pointe_Aux_Piments.html,Mauritius,,3689 ,4.5,2019/05/18,2019/05/19, 244,Booking.com,18,"Free Wifi,Free parking,Visit hotel website"
Sands Suites Resort & Spa,http://www.tripadvisor.com/Hotel_Review-g298343-d501869-Reviews-Sands_Suites_Resort_Spa-Flic_En_Flac.html,Mauritius,,2615 ,4.5,2019/05/18,2019/05/19, 177,Trip.com,12,"Free Wifi,Free parking"
Constance Belle Mare Plage,http://www.tripadvisor.com/Hotel_Review-g298342-d316750-Reviews-Constance_Belle_Mare_Plage-Belle_Mare.html,Mauritius,,4961 ,5,2019/05/18,2019/05/19, 338,Hotels.com,15,"Free Wifi,Free parking,Visit hotel website"
Le Suffren Hotel & Marina,http://www.tripadvisor.com/Hotel_Review-g293817-d572872-Reviews-Le_Suffren_Hotel_Marina-Port_Louis.html,Mauritius,,816 ,4,2019/05/18,2019/05/19, 171,Booking.com,15,"Free Wifi,Free parking"
Maradiva Villas Resort and Spa,http://www.tripadvisor.com/Hotel_Review-g298343-d507657-Reviews-Maradiva_Villas_Resort_and_Spa-Flic_En_Flac.html,Mauritius,,1137 ,4.5,2019/05/18,2019/05/19, 422,Hotels.com,15,"Free parking,Breakfast included,Visit hotel website"
Sofitel Mauritius L'Imperial Resort & Spa,http://www.tripadvisor.com/Hotel_Review-g298343-d305552-Reviews-Sofitel_Mauritius_L_Imperial_Resort_Spa-Flic_En_Flac.html,Mauritius,,3011 ,4.5,2019/05/18,2019/05/19, 291,Booking.com,16,"Free Wifi,Free parking,Visit hotel website"
Solana Beach,http://www.tripadvisor.com/Hotel_Review-g298342-d6420442-Reviews-Solana_Beach-Belle_Mare.html,Mauritius,,1719 ,4.5,2019/05/18,2019/05/19, 83,Agoda.com,16,"Free Wifi,Free parking"
Seapoint Boutique Hotel,http://www.tripadvisor.com/Hotel_Review-g644023-d8709540-Reviews-Seapoint_Boutique_Hotel-Pointe_aux_Canonniers.html,Mauritius,,528 ,5,2019/05/18,2019/05/19, 184,Agoda.com,14,"Free Wifi,Free parking"
