hotel_name,price_per_night,timestamp
LUX* Belle Mare, 261,2019-04-21 14:20:01.107669
Seapoint Boutique Hotel, 184,2019-04-21 14:20:01.107669
Anelia Resort & Spa, 153,2019-04-21 14:20:01.107669
LUX* Le Morne, 431,2019-04-21 14:20:01.107669
"Shangri-La’s Le Touessrok Resort & Spa, Mauritius", 303,2019-04-21 14:20:01.107669
SeaSense Boutique Hotel, 122,2019-04-21 14:20:01.107669
LUX* Grand Gaube, 284,2019-04-21 14:20:01.107669
Merville Beach Hotel, 135,2019-04-21 14:20:01.107669
The Residence Mauritius, 188,2019-04-21 14:20:01.107669
Sands Suites Resort & Spa, 233,2019-04-21 14:20:01.107669
Tropical Attitude, 99,2019-04-21 14:20:01.107669
Zilwa Attitude, 174,2019-04-21 14:20:01.107669
Outrigger Mauritius Beach Resort, 207,2019-04-21 14:20:01.107669
Long Beach Mauritius, 338,2019-04-21 14:20:01.107669
Coral Azur Beach Resort, 78,2019-04-21 14:20:01.107669
Ambre A Sun Resort, 377,2019-04-21 14:20:01.107669
"The Westin Turtle Bay Resort & Spa, Mauritius", 277,2019-04-21 14:20:01.107669
InterContinental Mauritius Resort Balaclava Fort, 451,2019-04-21 14:20:01.107669
The Bay, 162,2019-04-21 14:20:01.107669
Le Suffren Hotel & Marina, 169,2019-04-21 14:20:01.107669
Sugar Beach Mauritius, 409,2019-04-21 14:20:01.107669
Hilton Mauritius Resort & Spa, 245,2019-04-21 14:20:01.107669
Salt of Palmar, 305,2019-04-21 14:20:01.107669
Mauricia Beachcomber Resort & Spa, 191,2019-04-21 14:20:01.107669
La Pirogue Mauritius, 330,2019-04-21 14:20:01.107669
Hotel Riu Le Morne, 205,2019-04-21 14:20:01.107669
Solana Beach, 82,2019-04-21 14:20:01.107669
"Radisson Blu Poste Lafayette Resort & Spa, Mauritius", 254,2019-04-21 14:20:01.107669
Trou Aux Biches Beachcomber Golf Resort & Spa, 500,2019-04-21 14:20:01.107669
Pereybere Hotel & Spa, 110,2019-04-21 14:20:01.107669
