hotel_name,price_per_night,timestamp
Grand Hyatt Bali, 127,2019-04-27 10:20:01.020680
Melia Bali, 99,2019-04-27 10:20:01.020680
Nusa Dua Beach Hotel & Spa, 94,2019-04-27 10:20:01.020680
Novotel Bali Nusa Dua Hotel & Residences, 84,2019-04-27 10:20:01.020680
Ayodya Resort Bali, 84,2019-04-27 10:20:01.020680
Mahogany Hotel, 37,2019-04-27 10:20:01.020680
"The Laguna, a Luxury Collection Resort & Spa, Nusa Dua, Bali", 134,2019-04-27 10:20:01.020680
"The Westin Resort Nusa Dua, Bali", 133,2019-04-27 10:20:01.020680
Hilton Bali Resort, 132,2019-04-27 10:20:01.020680
Sofitel Bali Nusa Dua Beach Resort, 170,2019-04-27 10:20:01.020680
The Ritz-Carlton Bali, 291,2019-04-27 10:20:01.020680
Courtyard Bali Nusa Dua Resort, 112,2019-04-27 10:20:01.020680
Mulia Resort, 199,2019-04-27 10:20:01.020680
Marriott’s Bali Nusa Dua Gardens, 129,2019-04-27 10:20:01.020680
Bali Nusa Dua Hotel, 86,2019-04-27 10:20:01.020680
Tanadewa Luxury Villas & Spa, 119,2019-04-27 10:20:01.020680
INAYA Putri Bali Resort, 117,2019-04-27 10:20:01.020680
The Grand Bali Nusa Dua, 76,2019-04-27 10:20:01.020680
Samabe Bali Suites & Villas, 330,2019-04-27 10:20:01.020680
Amarterra Villas Bali Nusa Dua - MGallery Collection, 264,2019-04-27 10:20:01.020680
The Bale, 235,2019-04-27 10:20:01.020680
The Mulia, 377,2019-04-27 10:20:01.020680
Puri Clinton Home Stay, 21,2019-04-27 10:20:01.020680
Kubu Garden, 33,2019-04-27 10:20:01.020680
Frangipani Homestay, 23,2019-04-27 10:20:01.020680
Vinila Nusa Dua, 279,2019-04-27 10:20:01.020680
Kayumanis Nusa Dua Private Villa & Spa, 313,2019-04-27 10:20:01.020680
The St. Regis Bali Resort, 472,2019-04-27 10:20:01.020680
Mulia Villas, 445,2019-04-27 10:20:01.020680
Awarta Nusa Dua Luxury Villas & Spa, 396,2019-04-27 10:20:01.020680
