hotel_name,price_per_night,timestamp
The Blue House Boutique Bed & Breakfast, 184,2019-04-29 15:20:01.756494
Reggae Hostel Ocho Rios, 50,2019-04-29 15:20:01.756494
The Blue House Boutique Bed & Breakfast, 184,2019-04-29 15:20:01.756494
Chrisanns Beach Resort, 86,2019-04-29 15:20:01.756494
Tina's Guest House, 26,2019-04-29 15:20:01.756494
Ocean Sands, 76,2019-04-29 15:20:01.756494
Columbus Heights, 122,2019-04-29 15:20:01.756494
Whispering Seas Jamaica, 247,2019-04-29 15:20:01.756494
Shaw Park Beach Hotel & Spa, 259,2019-04-29 15:20:01.756494
Sky Castles, 89,2019-04-29 15:20:01.756494
Fisherman's Point Resort, 80,2019-04-29 15:20:01.756494
Executive Mammee Bay Hotel, 74,2019-04-29 15:20:01.756494
Casahun B&B, 55,2019-04-29 15:20:01.756494
Seaview Villa 1, 357,2019-04-29 15:20:01.756494
Wizzy Apartment, 53,2019-04-29 15:20:01.756494
Marine View Hotel, 78,2019-04-29 15:20:01.756494
Executive Shaw Park Guesthouse, 96,2019-04-29 15:20:01.756494
Home From Home JA Community Living, 46,2019-04-29 15:20:01.756494
Jamaica Inn, 423,2019-04-29 15:20:01.756494
Moon Palace Jamaica, 493,2019-04-29 15:20:01.756494
Silver Seas Resort Hotel,0,2019-04-29 15:20:01.756494
Hibiscus Lodge Hotel,0,2019-04-29 15:20:01.756494
Kaz Kreol Beach Lodge,0,2019-04-29 15:20:01.756494
Pineapple Court Hotel,0,2019-04-29 15:20:01.756494
Sand Castles Resort,0,2019-04-29 15:20:01.756494
The Lion House Jamaica,0,2019-04-29 15:20:01.756494
Little Shaw Park Guest House,0,2019-04-29 15:20:01.756494
Casa De Shalom,0,2019-04-29 15:20:01.756494
Turtle Beach Towers,0,2019-04-29 15:20:01.756494
Rita's Home away from Home,0,2019-04-29 15:20:01.756494
Village Hotel,0,2019-04-29 15:20:01.756494
