hotel_name,price_per_night,timestamp
"The Riviera Palm Springs, A Tribute Portfolio Resort", 435,2019-04-24 10:20:01.373095
Ace Hotel & Swim Club, 492,2019-04-24 10:20:01.373095
The Palm Springs Hotel, 407,2019-04-24 10:20:01.373095
7 Springs Inn & Suites, 203,2019-04-24 10:20:01.373095
Hilton Palm Springs, 282,2019-04-24 10:20:01.373095
Kimpton Rowan Palm Springs Hotel, 484,2019-04-24 10:20:01.373095
The Palm Springs Hotel, 407,2019-04-24 10:20:01.373095
Korakia Pensione, 425,2019-04-24 10:20:01.373095
"Triada Palm Springs, Autograph Collection", 334,2019-04-24 10:20:01.373095
Oasis Villa Resort, 254,2019-04-24 10:20:01.373095
A Place in the Sun Garden Hotel, 181,2019-04-24 10:20:01.373095
The Westcott, 285,2019-04-24 10:20:01.373095
The Rossi Hotel, 253,2019-04-24 10:20:01.373095
Palm Mountain Resort & Spa, 195,2019-04-24 10:20:01.373095
Best Western Plus Las Brisas Hotel, 275,2019-04-24 10:20:01.373095
"The Riviera Palm Springs, A Tribute Portfolio Resort", 435,2019-04-24 10:20:01.373095
Palm Canyon Resort & Spa, 234,2019-04-24 10:20:01.373095
Delos Reyes Palm Springs, 71,2019-04-24 10:20:01.373095
Motel 6 Palm Springs Downtown, 133,2019-04-24 10:20:01.373095
Quality Inn Palm Springs Downtown, 138,2019-04-24 10:20:01.373095
Villa Royale, 382,2019-04-24 10:20:01.373095
Ivy Palm Resort, 183,2019-04-24 10:20:01.373095
Days Inn by Wyndham Palm Springs, 103,2019-04-24 10:20:01.373095
Courtyard by Marriott Palm Springs, 377,2019-04-24 10:20:01.373095
Best Western Inn at Palm Springs, 143,2019-04-24 10:20:01.373095
Marquis Villas Resort, 225,2019-04-24 10:20:01.373095
Knights Inn Palm Springs, 97,2019-04-24 10:20:01.373095
L'Horizon Resort & Spa, 695,2019-04-24 10:20:01.373095
The Weekend, 587,2019-04-24 10:20:01.373095
Hotel ZOSO,0,2019-04-24 10:20:01.373095
Vagabond Inn Palm Springs,0,2019-04-24 10:20:01.373095
Infusion Beach Club,0,2019-04-24 10:20:01.373095
