hotel_name,url,price_per_night,timestamp
7 Springs Inn & Suites,http://www.tripadvisor.com/Hotel_Review-g32847-d267325-Reviews-7_Springs_Inn_Suites-Palm_Springs_Greater_Palm_Springs_California.html, 202,2019-05-11 01:12:01.443354
Hilton Palm Springs,http://www.tripadvisor.com/Hotel_Review-g32847-d77242-Reviews-Hilton_Palm_Springs-Palm_Springs_Greater_Palm_Springs_California.html, 237,2019-05-11 01:12:01.443354
The Palm Springs Hotel,http://www.tripadvisor.com/Hotel_Review-g32847-d4550384-Reviews-The_Palm_Springs_Hotel-Palm_Springs_Greater_Palm_Springs_California.html, 415,2019-05-11 01:12:01.443354
A Place in the Sun Garden Hotel,http://www.tripadvisor.com/Hotel_Review-g32847-d119416-Reviews-A_Place_in_the_Sun_Garden_Hotel-Palm_Springs_Greater_Palm_Springs_California.html, 180,2019-05-11 01:12:01.443354
Korakia Pensione,http://www.tripadvisor.com/Hotel_Review-g32847-d113686-Reviews-Korakia_Pensione-Palm_Springs_Greater_Palm_Springs_California.html, 435,2019-05-11 01:12:01.443354
"Triada Palm Springs, Autograph Collection",http://www.tripadvisor.com/Hotel_Review-g32847-d7289359-Reviews-Triada_Palm_Springs_Autograph_Collection-Palm_Springs_Greater_Palm_Springs_California.html, 434,2019-05-11 01:12:01.443354
East Canyon Hotel and Spa,http://www.tripadvisor.com/Hotel_Review-g32847-d119481-Reviews-East_Canyon_Hotel_and_Spa-Palm_Springs_Greater_Palm_Springs_California.html, 253,2019-05-11 01:12:01.443354
Avanti Hotel,http://www.tripadvisor.com/Hotel_Review-g32847-d3167915-Reviews-Avanti_Hotel-Palm_Springs_Greater_Palm_Springs_California.html, 300,2019-05-11 01:12:01.443354
Best Western Plus Las Brisas Hotel,http://www.tripadvisor.com/Hotel_Review-g32847-d77320-Reviews-Best_Western_Plus_Las_Brisas_Hotel-Palm_Springs_Greater_Palm_Springs_California.html, 219,2019-05-11 01:12:01.443354
Delos Reyes Palm Springs,http://www.tripadvisor.com/Hotel_Review-g32847-d280332-Reviews-Delos_Reyes_Palm_Springs-Palm_Springs_Greater_Palm_Springs_California.html, 86,2019-05-11 01:12:01.443354
Palm Canyon Resort & Spa,http://www.tripadvisor.com/Hotel_Review-g32847-d503504-Reviews-Palm_Canyon_Resort_Spa-Palm_Springs_Greater_Palm_Springs_California.html, 304,2019-05-11 01:12:01.443354
Vagabond Inn Palm Springs,http://www.tripadvisor.com/Hotel_Review-g32847-d84679-Reviews-Vagabond_Inn_Palm_Springs-Palm_Springs_Greater_Palm_Springs_California.html, 151,2019-05-11 01:12:01.443354
Palm Mountain Resort & Spa,http://www.tripadvisor.com/Hotel_Review-g32847-d77279-Reviews-Palm_Mountain_Resort_Spa-Palm_Springs_Greater_Palm_Springs_California.html, 218,2019-05-11 01:12:01.443354
Hotel ZOSO,http://www.tripadvisor.com/Hotel_Review-g32847-d575090-Reviews-Hotel_ZOSO-Palm_Springs_Greater_Palm_Springs_California.html, 202,2019-05-11 01:12:01.443354
"The Riviera Palm Springs, A Tribute Portfolio Resort",http://www.tripadvisor.com/Hotel_Review-g32847-d77400-Reviews-The_Riviera_Palm_Springs_A_Tribute_Portfolio_Resort-Palm_Springs_Greater_Palm_Springs_Cal.html, 386,2019-05-11 01:12:01.443354
Ivy Palm Resort,http://www.tripadvisor.com/Hotel_Review-g32847-d2701442-Reviews-Ivy_Palm_Resort-Palm_Springs_Greater_Palm_Springs_California.html, 132,2019-05-11 01:12:01.443354
Renaissance Palm Springs Hotel,http://www.tripadvisor.com/Hotel_Review-g32847-d1600271-Reviews-Renaissance_Palm_Springs_Hotel-Palm_Springs_Greater_Palm_Springs_California.html, 303,2019-05-11 01:12:01.443354
Quality Inn Palm Springs Downtown,http://www.tripadvisor.com/Hotel_Review-g32847-d142262-Reviews-Quality_Inn_Palm_Springs_Downtown-Palm_Springs_Greater_Palm_Springs_California.html, 161,2019-05-11 01:12:01.443354
V Palm Springs,http://www.tripadvisor.com/Hotel_Review-g32847-d77381-Reviews-V_Palm_Springs-Palm_Springs_Greater_Palm_Springs_California.html, 183,2019-05-11 01:12:01.443354
Days Inn by Wyndham Palm Springs,http://www.tripadvisor.com/Hotel_Review-g32847-d77423-Reviews-Days_Inn_by_Wyndham_Palm_Springs-Palm_Springs_Greater_Palm_Springs_California.html, 103,2019-05-11 01:12:01.443354
Motel 6 Palm Springs Downtown,http://www.tripadvisor.com/Hotel_Review-g32847-d244414-Reviews-Motel_6_Palm_Springs_Downtown-Palm_Springs_Greater_Palm_Springs_California.html, 112,2019-05-11 01:12:01.443354
Infusion Beach Club,http://www.tripadvisor.com/Hotel_Review-g32847-d77268-Reviews-Infusion_Beach_Club-Palm_Springs_Greater_Palm_Springs_California.html, 243,2019-05-11 01:12:01.443354
Marquis Villas Resort,http://www.tripadvisor.com/Hotel_Review-g32847-d125773-Reviews-Marquis_Villas_Resort-Palm_Springs_Greater_Palm_Springs_California.html, 181,2019-05-11 01:12:01.443354
Best Western Inn at Palm Springs,http://www.tripadvisor.com/Hotel_Review-g32847-d77326-Reviews-Best_Western_Inn_at_Palm_Springs-Palm_Springs_Greater_Palm_Springs_California.html, 193,2019-05-11 01:12:01.443354
Knights Inn Palm Springs,http://www.tripadvisor.com/Hotel_Review-g32847-d1649493-Reviews-Knights_Inn_Palm_Springs-Palm_Springs_Greater_Palm_Springs_California.html, 106,2019-05-11 01:12:01.443354
All Worlds Resorts,http://www.tripadvisor.com/Hotel_Review-g32847-d119383-Reviews-All_Worlds_Resorts-Palm_Springs_Greater_Palm_Springs_California.html, 170,2019-05-11 01:12:01.443354
Courtyard by Marriott Palm Springs,http://www.tripadvisor.com/Hotel_Review-g32847-d77468-Reviews-Courtyard_by_Marriott_Palm_Springs-Palm_Springs_Greater_Palm_Springs_California.html, 273,2019-05-11 01:12:01.443354
The Weekend,http://www.tripadvisor.com/Hotel_Review-g32847-d15239267-Reviews-The_Weekend-Palm_Springs_Greater_Palm_Springs_California.html, 364,2019-05-11 01:12:01.443354
Kimpton Rowan Palm Springs Hotel,http://www.tripadvisor.com/Hotel_Review-g32847-d12482044-Reviews-Kimpton_Rowan_Palm_Springs_Hotel-Palm_Springs_Greater_Palm_Springs_California.html, 490,2019-05-11 01:12:01.443354
La Serena Villas,http://www.tripadvisor.com/Hotel_Review-g32847-d11797213-Reviews-La_Serena_Villas-Palm_Springs_Greater_Palm_Springs_California.html, 628,2019-05-11 01:12:01.443354
