hotel_name,price_per_night,timestamp
Anse Chastanet, 484,2019-04-27 15:20:01.826216
Windjammer Landing Villa Beach Resort, 179,2019-04-27 15:20:01.826216
St. James's Club Morgan Bay, 416,2019-04-27 15:20:01.826216
Coco Palm Resort, 105,2019-04-27 15:20:01.826216
La Haut Resort, 114,2019-04-27 15:20:01.826216
Hummingbird Beach Resort, 217,2019-04-27 15:20:01.826216
Bay Gardens Beach Resort, 155,2019-04-27 15:20:01.826216
Fond Doux Plantation & Resort, 296,2019-04-27 15:20:01.826216
Villa Beach Cottages, 260,2019-04-27 15:20:01.826216
Anse Chastanet, 484,2019-04-27 15:20:01.826216
"The Harbor Club St. Lucia, Curio Collection by Hilton", 124,2019-04-27 15:20:01.826216
Stonefield Villa Resort, 436,2019-04-27 15:20:01.826216
Boucan by Hotel Chocolat, 250,2019-04-27 15:20:01.826216
Bay Gardens Beach Resort, 155,2019-04-27 15:20:01.826216
Marigot Bay Resort and Marina, 374,2019-04-27 15:20:01.826216
Mystique Royal St Lucia, 258,2019-04-27 15:20:01.826216
Cap Maison, 431,2019-04-27 15:20:01.826216
Marigot Palms Luxury Caribbean Guesthouse and Apartments, 168,2019-04-27 15:20:01.826216
Ti Kaye Resort & Spa, 224,2019-04-27 15:20:01.826216
Bay Gardens Hotel, 113,2019-04-27 15:20:01.826216
Bel Jou Hotel, 226,2019-04-27 15:20:01.826216
Bay Gardens Inn, 96,2019-04-27 15:20:01.826216
Calabash Cove Resort and Spa, 355,2019-04-27 15:20:01.826216
Tet Rouge Resort, 284,2019-04-27 15:20:01.826216
Jade Mountain Resort," 1,305",2019-04-27 15:20:01.826216
"Sugar Beach, A Viceroy Resort", 786,2019-04-27 15:20:01.826216
Ladera Resort, 624,2019-04-27 15:20:01.826216
The Landings Resort & Spa, 569,2019-04-27 15:20:01.826216
Royalton Saint Lucia, 989,2019-04-27 15:20:01.826216
East Winds, 709,2019-04-27 15:20:01.826216
Hideaway at Royalton Saint Lucia, 787,2019-04-27 15:20:01.826216
The Ginger Lily Hotel,0,2019-04-27 15:20:01.826216
