hotel_name,url,locality,timestamp,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Hotel 32 32,http://www.tripadvisor.com/Hotel_Review-g60763-d6733290-Reviews-Hotel_32_32-New_York_City_New_York.html,New York,,759 ,4,2019/05/18,2019/05/19,0,Booking.com,8,"Free Wifi,Visit hotel website"
YOTEL New York,http://www.tripadvisor.com/Hotel_Review-g60763-d2079052-Reviews-YOTEL_New_York-New_York_City_New_York.html,New York,,12423 ,4.5,2019/05/18,2019/05/19,0,Expedia.ch,14,"Free Wifi,Restaurant,Visit hotel website"
Pod 51 Hotel,http://www.tripadvisor.com/Hotel_Review-g60763-d93358-Reviews-Pod_51_Hotel-New_York_City_New_York.html,New York,,5451 ,4,2019/05/18,2019/05/19,0,Expedia.ch,13,"Free Wifi,Bar/Lounge"
Crowne Plaza Times Square Manhattan,http://www.tripadvisor.com/Hotel_Review-g60763-d93454-Reviews-Crowne_Plaza_Times_Square_Manhattan-New_York_City_New_York.html,New York,,11261 ,4,2019/05/18,2019/05/19,0,Booking.com,10,"Pool,Restaurant,Visit hotel website"
Crowne Plaza HY36 Midtown Manhattan,http://www.tripadvisor.com/Hotel_Review-g60763-d11854022-Reviews-Crowne_Plaza_HY36_Midtown_Manhattan-New_York_City_New_York.html,New York,,682 ,4.5,2019/05/18,2019/05/19,0,Booking.com,13,"Free Wifi,Fitness center,Visit hotel website"
The Bentley Hotel,http://www.tripadvisor.com/Hotel_Review-g60763-d99302-Reviews-The_Bentley_Hotel-New_York_City_New_York.html,New York,,4814 ,4,2019/05/18,2019/05/19,0,Booking.com,11,"Room service,Bar/Lounge,Visit hotel website"
Staybridge Suites Times Square - New York City,http://www.tripadvisor.com/Hotel_Review-g60763-d1465162-Reviews-Staybridge_Suites_Times_Square_New_York_City-New_York_City_New_York.html,New York,,6307 ,4.5,2019/05/18,2019/05/19,0,Expedia.ch,10,"Free Wifi,Breakfast included,Visit hotel website"
Hilton Garden Inn Times Square,http://www.tripadvisor.com/Hotel_Review-g60763-d99352-Reviews-Hilton_Garden_Inn_Times_Square-New_York_City_New_York.html,New York,,8284 ,4.5,2019/05/18,2019/05/19, 326,Hotels.com,11,"Free Wifi,Restaurant,Visit hotel website"
Park Central Hotel New York,http://www.tripadvisor.com/Hotel_Review-g60763-d93520-Reviews-Park_Central_Hotel_New_York-New_York_City_New_York.html,New York,,6423 ,4,2019/05/18,2019/05/19, 292,Agoda.com,10,"Bar/Lounge,Fitness center,Visit hotel website"
The Lucerne Hotel,http://www.tripadvisor.com/Hotel_Review-g60763-d99281-Reviews-The_Lucerne_Hotel-New_York_City_New_York.html,New York,,2650 ,4.5,2019/05/18,2019/05/19,0,TUI,11,"Free Wifi,Restaurant"
Hostelling International - New York,http://www.tripadvisor.com/Hotel_Review-g60763-d121994-Reviews-Hostelling_International_New_York-New_York_City_New_York.html,New York,,1944 ,4.5,2019/05/18,2019/05/19, 119,Hostelworld.com,10,"Free Wifi,Restaurant"
Pod 39 Hotel,http://www.tripadvisor.com/Hotel_Review-g60763-d3235844-Reviews-Pod_39_Hotel-New_York_City_New_York.html,New York,,3971 ,4,2019/05/18,2019/05/19,0,Booking.com,10,"Free Wifi,Restaurant"
Hotel 50 Bowery NYC,http://www.tripadvisor.com/Hotel_Review-g60763-d10066892-Reviews-Hotel_50_Bowery_NYC-New_York_City_New_York.html,New York,,1380 ,4.5,2019/05/18,2019/05/19, 414,Hotels.com,13,"Free Wifi,Restaurant,Visit hotel website"
Arthouse Hotel New York City,http://www.tripadvisor.com/Hotel_Review-g60763-d99288-Reviews-Arthouse_Hotel_New_York_City-New_York_City_New_York.html,New York,,6727 ,4,2019/05/18,2019/05/19, 370,Hotels.com,7,"Restaurant,Bar/Lounge,Visit hotel website"
Hilton Garden Inn New York/Central Park South-Midtown West,http://www.tripadvisor.com/Hotel_Review-g60763-d5786212-Reviews-Hilton_Garden_Inn_New_York_Central_Park_South_Midtown_West-New_York_City_New_York.html,New York,,3187 ,4,2019/05/18,2019/05/19, 336,Agoda.com,12,"Free Wifi,Restaurant,Visit hotel website"
Warwick New York,http://www.tripadvisor.com/Hotel_Review-g60763-d112064-Reviews-Warwick_New_York-New_York_City_New_York.html,New York,,4925 ,4.5,2019/05/18,2019/05/19,0,Expedia.ch,11,"Restaurant,Room service,Visit hotel website"
The Roxy Hotel Tribeca,http://www.tripadvisor.com/Hotel_Review-g60763-d208455-Reviews-The_Roxy_Hotel_Tribeca-New_York_City_New_York.html,New York,,1290 ,5,2019/05/18,2019/05/19,0,Booking.com,11,"Free Wifi,Restaurant"
Washington Square Hotel,http://www.tripadvisor.com/Hotel_Review-g60763-d93382-Reviews-Washington_Square_Hotel-New_York_City_New_York.html,New York,,1720 ,4,2019/05/18,2019/05/19, 429,Trip.com,13,"Free Wifi,Breakfast included,Visit hotel website"
Hilton Garden Inn New York/West 35th Street,http://www.tripadvisor.com/Hotel_Review-g60763-d1218792-Reviews-Hilton_Garden_Inn_New_York_West_35th_Street-New_York_City_New_York.html,New York,,5822 ,4.5,2019/05/18,2019/05/19,0,Booking.com,12,"Free Wifi,Restaurant,Visit hotel website"
EVEN Hotel Times Square South,http://www.tripadvisor.com/Hotel_Review-g60763-d7778097-Reviews-EVEN_Hotel_Times_Square_South-New_York_City_New_York.html,New York,,1384 ,4.5,2019/05/18,2019/05/19, 339,Booking.com,12,"Free Wifi,Restaurant,Visit hotel website"
InterContinental New York Times Square,http://www.tripadvisor.com/Hotel_Review-g60763-d1646128-Reviews-InterContinental_New_York_Times_Square-New_York_City_New_York.html,New York,,6714 ,4,2019/05/18,2019/05/19,0,Expedia.ch,10,"Restaurant,Room service,Visit hotel website"
New York Marriott Marquis,http://www.tripadvisor.com/Hotel_Review-g60763-d93507-Reviews-New_York_Marriott_Marquis-New_York_City_New_York.html,New York,,12556 ,4,2019/05/18,2019/05/19, 439,Booking.com,14,"Restaurant,Bar/Lounge,Visit hotel website"
The Westin New York Grand Central,http://www.tripadvisor.com/Hotel_Review-g60763-d93593-Reviews-The_Westin_New_York_Grand_Central-New_York_City_New_York.html,New York,,4740 ,4,2019/05/18,2019/05/19, 216,Trip.com,13,"Restaurant,Room service,Visit hotel website"
Pod Times Square,http://www.tripadvisor.com/Hotel_Review-g60763-d12551350-Reviews-Pod_Times_Square-New_York_City_New_York.html,New York,,748 ,4,2019/05/18,2019/05/19,0,Booking.com,7,"Free Wifi,Bar/Lounge"
Novotel New York Times Square,http://www.tripadvisor.com/Hotel_Review-g60763-d93516-Reviews-Novotel_New_York_Times_Square-New_York_City_New_York.html,New York,,7130 ,4.5,2019/05/18,2019/05/19, 420,Novotel,10,"Restaurant,Room service,Visit hotel website"
Dream Downtown,http://www.tripadvisor.com/Hotel_Review-g60763-d2173604-Reviews-Dream_Downtown-New_York_City_New_York.html,New York,,4054 ,4.5,2019/05/18,2019/05/19, 349,Agoda.com,11,"Free Wifi,Pool,Visit hotel website"
Soho Grand Hotel,http://www.tripadvisor.com/Hotel_Review-g60763-d93561-Reviews-Soho_Grand_Hotel-New_York_City_New_York.html,New York,,3459 ,4,2019/05/18,2019/05/19,0,Expedia.ch,12,"Free Wifi,Restaurant"
The Dominick Hotel,http://www.tripadvisor.com/Hotel_Review-g60763-d1456416-Reviews-The_Dominick_Hotel-New_York_City_New_York.html,New York,,3450 ,4.5,2019/05/18,2019/05/19, 586,Hotels.com,10,"Free Wifi,Pool"
TRYP New York City Times Square South,http://www.tripadvisor.com/Hotel_Review-g60763-d2253206-Reviews-TRYP_New_York_City_Times_Square_South-New_York_City_New_York.html,New York,,4541 ,4,2019/05/18,2019/05/19, 330,Agoda.com,14,"Free Wifi,Restaurant,Visit hotel website"
Stewart Hotel,http://www.tripadvisor.com/Hotel_Review-g60763-d93562-Reviews-Stewart_Hotel-New_York_City_New_York.html,New York,,7015 ,4,2019/05/18,2019/05/19, 305,Booking.com,11,"Free Wifi,Restaurant,Visit hotel website"
Courtyard by Marriott New York Manhattan/Central Park,http://www.tripadvisor.com/Hotel_Review-g60763-d5039852-Reviews-Courtyard_by_Marriott_New_York_Manhattan_Central_Park-New_York_City_New_York.html,New York,,1534 ,4,2019/05/18,2019/05/19, 341,Booking.com,12,"Free Wifi,Restaurant,Visit hotel website"
