platform_name,price_per_night
Booking.com, 341
Booking.com, 341
, 341
, 341
, 341
, 341
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
, 341
, 341
, 341
, 270
, 270
,0
,0
,0
,0
,0
,0
,0
,0
,0
, 300
, 300
,0
,0
,0
, 341
, 341
, 341
,0
, 341
, 341
, 300
,0
,0
,0
, 299
,0
,0
,0
, 270
,0
,0
,0
, 270
,0
,0
,0
, 373
,0
,0
,0
, 300
,0
,0
,0
, 270
,0
,0
, 279
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
, 270
,0
,0
,0
, 341
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
Booking.com,0
Booking.com,0
Booking.com,0
Booking.com,0
,0
,0
,0
,0
,0
,0
