hotel_name,url,locality,timestamp,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Les Jardins de Mademoiselle,http://www.tripadvisor.com/Hotel_Review-g187147-d14195735-Reviews-Les_Jardins_de_Mademoiselle-Paris_Ile_de_France.html,Paris,,64 ,,2019/04/13,2019/04/14, 351,Hotels.com,10,"Free Wifi,Pool,Visit hotel website"
Novotel Paris Centre Gare Montparnasse,http://www.tripadvisor.com/Hotel_Review-g187147-d597573-Reviews-Novotel_Paris_Centre_Gare_Montparnasse-Paris_Ile_de_France.html,Paris,,2245 ,,2019/04/13,2019/04/14, 226,Novotel,14,"Free Wifi,Restaurant,Visit hotel website"
Hotel Darcet,http://www.tripadvisor.com/Hotel_Review-g187147-d274978-Reviews-Hotel_Darcet-Paris_Ile_de_France.html,Paris,,889 ,,2019/04/13,2019/04/14, 206,Booking.com,9,Free Wifi
Fred Hotel,http://www.tripadvisor.com/Hotel_Review-g187147-d529916-Reviews-Fred_Hotel-Paris_Ile_de_France.html,Paris,,888 ,,2019/04/13,2019/04/14, 170,roomsXXL.ch,11,"Free Wifi,Bar/Lounge"
citizenM Paris Gare de Lyon,http://www.tripadvisor.com/Hotel_Review-g187147-d12455412-Reviews-CitizenM_Paris_Gare_de_Lyon-Paris_Ile_de_France.html,Paris,,1648 ,,2019/04/13,2019/04/14, 194,Booking.com,8,"Free Wifi,Restaurant,Visit hotel website"
Ibis Styles Paris Massena Olympiades,http://www.tripadvisor.com/Hotel_Review-g187147-d197566-Reviews-Ibis_Styles_Paris_Massena_Olympiades-Paris_Ile_de_France.html,Paris,,539 ,,2019/04/13,2019/04/14, 153,Booking.com,13,"Free Wifi,Breakfast included"
Novotel Paris Gare de Lyon,http://www.tripadvisor.com/Hotel_Review-g187147-d197486-Reviews-Novotel_Paris_Gare_de_Lyon-Paris_Ile_de_France.html,Paris,,3330 ,,2019/04/13,2019/04/14, 266,Booking.com,14,"Free Wifi,Pool,Visit hotel website"
Novotel Paris Les Halles,http://www.tripadvisor.com/Hotel_Review-g187147-d197424-Reviews-Novotel_Paris_Les_Halles-Paris_Ile_de_France.html,Paris,,4705 ,,2019/04/13,2019/04/14, 327,Booking.com,14,"Free Wifi,Restaurant,Visit hotel website"
Mercure Paris Montmartre Sacre Coeur,http://www.tripadvisor.com/Hotel_Review-g187147-d197567-Reviews-Mercure_Paris_Montmartre_Sacre_Coeur-Paris_Ile_de_France.html,Paris,,2878 ,,2019/04/13,2019/04/14, 204,Booking.com,14,"Free Wifi,Room service,Visit hotel website"
Hotel Marais Home,http://www.tripadvisor.com/Hotel_Review-g187147-d269104-Reviews-Hotel_Marais_Home-Paris_Ile_de_France.html,Paris,,746 ,,2019/04/13,2019/04/14, 293,Expedia.ch,15,"Free Wifi,Fitness center"
Hotel Odessa Montparnasse,http://www.tripadvisor.com/Hotel_Review-g187147-d233780-Reviews-Hotel_Odessa_Montparnasse-Paris_Ile_de_France.html,Paris,,419 ,,2019/04/13,2019/04/14, 129,Expedia.ch,13,"Free Wifi,Room service,Visit hotel website"
Les Piaules,http://www.tripadvisor.com/Hotel_Review-g187147-d8874618-Reviews-Les_Piaules-Paris_Ile_de_France.html,Paris,,321 ,,2019/04/13,2019/04/14, 102,Hostelworld.com,7,"Free Wifi,Restaurant"
Hotel Excelsior Latin,http://www.tripadvisor.com/Hotel_Review-g187147-d230465-Reviews-Hotel_Excelsior_Latin-Paris_Ile_de_France.html,Paris,,1277 ,,2019/04/13,2019/04/14, 172,Hotels.com,9,Free Wifi
Hotel Virgina,http://www.tripadvisor.com/Hotel_Review-g187147-d528643-Reviews-Hotel_Virgina-Paris_Ile_de_France.html,Paris,,381 ,,2019/04/13,2019/04/14, 140,AMOMA,12,"Free Wifi,Bar/Lounge"
Hotel Felicien by Elegancia,http://www.tripadvisor.com/Hotel_Review-g187147-d4107097-Reviews-Hotel_Felicien_by_Elegancia-Paris_Ile_de_France.html,Paris,,986 ,,2019/04/13,2019/04/14, 184,Expedia.ch,14,"Free Wifi,Pool,Visit hotel website"
Novotel Paris Centre Bercy,http://www.tripadvisor.com/Hotel_Review-g187147-d197487-Reviews-Novotel_Paris_Centre_Bercy-Paris_Ile_de_France.html,Paris,,1663 ,,2019/04/13,2019/04/14, 194,Booking.com,13,"Free Wifi,Restaurant,Visit hotel website"
Hotel de la Porte Doree,http://www.tripadvisor.com/Hotel_Review-g187147-d472021-Reviews-Hotel_de_la_Porte_Doree-Paris_Ile_de_France.html,Paris,,838 ,,2019/04/13,2019/04/14, 95,AMOMA,13,"Free Wifi,Visit hotel website"
Libertel Canal Saint-Martin,http://www.tripadvisor.com/Hotel_Review-g187147-d593277-Reviews-Libertel_Canal_Saint_Martin-Paris_Ile_de_France.html,Paris,,1186 ,,2019/04/13,2019/04/14, 151,Booking.com,14,Free Wifi
Hotel Glasgow Monceau by Patrick Hayat,http://www.tripadvisor.com/Hotel_Review-g187147-d650180-Reviews-Hotel_Glasgow_Monceau_by_Patrick_Hayat-Paris_Ile_de_France.html,Paris,,579 ,,2019/04/13,2019/04/14, 141,Booking.com,13,"Free Wifi,Breakfast included"
Chouette Hotel,http://www.tripadvisor.com/Hotel_Review-g187147-d260484-Reviews-Chouette_Hotel-Paris_Ile_de_France.html,Paris,,551 ,,2019/04/13,2019/04/14, 134,Booking.com,13,"Free Wifi,Visit hotel website"
Novotel Suites Paris Expo Porte de Versailles,http://www.tripadvisor.com/Hotel_Review-g187147-d8739068-Reviews-Novotel_Suites_Paris_Expo_Porte_de_Versailles-Paris_Ile_de_France.html,Paris,,390 ,,2019/04/13,2019/04/14, 240,roomsXXL.ch,14,"Free Wifi,Bar/Lounge,Visit hotel website"
Hotel Magda Champs Elysees,http://www.tripadvisor.com/Hotel_Review-g187147-d228809-Reviews-Hotel_Magda_Champs_Elysees-Paris_Ile_de_France.html,Paris,,2022 ,,2019/04/13,2019/04/14, 343,roomsXXL.ch,15,"Free Wifi,Room service"
Hotel Malte - Astotel,http://www.tripadvisor.com/Hotel_Review-g187147-d228694-Reviews-Hotel_Malte_Astotel-Paris_Ile_de_France.html,Paris,,922 ,,2019/04/13,2019/04/14, 242,Hotels.com,14,"Free Wifi,Room service,Visit hotel website"
Citadines Saint-Germain-des-Pres Paris,http://www.tripadvisor.com/Hotel_Review-g187147-d208096-Reviews-Citadines_Saint_Germain_des_Pres_Paris-Paris_Ile_de_France.html,Paris,,2253 ,,2019/04/13,2019/04/14, 299,Expedia.ch,15,"Free Wifi,Fitness center"
Grand Hotel Francais,http://www.tripadvisor.com/Hotel_Review-g187147-d197447-Reviews-Grand_Hotel_Francais-Paris_Ile_de_France.html,Paris,,2216 ,,2019/04/13,2019/04/14, 194,roomsXXL.ch,14,"Free Wifi,Bar/Lounge"
Hotel R de Paris,http://www.tripadvisor.com/Hotel_Review-g187147-d233583-Reviews-Hotel_R_de_Paris-Paris_Ile_de_France.html,Paris,,964 ,,2019/04/13,2019/04/14, 235,ZenHotels.com,9,"Free Wifi,Room service,Visit hotel website"
Hotel Whistler,http://www.tripadvisor.com/Hotel_Review-g187147-d321391-Reviews-Hotel_Whistler-Paris_Ile_de_France.html,Paris,,410 ,,2019/04/13,2019/04/14, 260,roomsXXL.ch,13,"Free Wifi,Room service,Visit hotel website"
Pullman Paris Tour Eiffel,http://www.tripadvisor.com/Hotel_Review-g187147-d197985-Reviews-Pullman_Paris_Tour_Eiffel-Paris_Ile_de_France.html,Paris,,2949 ,,2019/04/13,2019/04/14, 437,Pullman,15,"Free Wifi,Restaurant,Visit hotel website"
Hotel du Printemps,http://www.tripadvisor.com/Hotel_Review-g187147-d501063-Reviews-Hotel_du_Printemps-Paris_Ile_de_France.html,Paris,,1059 ,,2019/04/13,2019/04/14," 1,005",Otel.com,13,"Free Wifi,Bar/Lounge,Visit hotel website"
Hotel Da Vinci & Spa,http://www.tripadvisor.com/Hotel_Review-g187147-d6675948-Reviews-Hotel_Da_Vinci_Spa-Paris_Ile_de_France.html,Paris,,1017 ,,2019/04/13,2019/04/14, 441,Hotels.com,13,"Free Wifi,Pool,Visit hotel website"
Grand Hotel du Palais Royal,http://www.tripadvisor.com/Hotel_Review-g187147-d617625-Reviews-Grand_Hotel_du_Palais_Royal-Paris_Ile_de_France.html,Paris,,1004 ,,2019/04/13,2019/04/14, 570,Booking.com,15,"Free Wifi,Restaurant"
