locality,price_per_night,Datum
Teplice, 35,2019-04-16 22-01
Teplice, 43,2019-04-16 22-01
Teplice, 43,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
Teplice,0,2019-04-16 22-01
,,2019-04-16 22-01
