price_per_night,timestamp
 140,2019-05-06 09:12:01.004298
 119,2019-04-19 02:05:01.163167
 111,2019-05-11 18:12:01.510429
 111,2019-04-21 21:20:01.681148
 128,2019-04-23 06:20:01.869648
 119,2019-04-19 09:05:00.983774
 129,2019-05-05 06:12:00.771565
 129,2019-04-29 17:20:01.389936
 129,2019-04-27 21:20:01.355039
 129,2019-05-07 02:12:01.613608
 140,2019-05-06 17:12:01.513895
 129,2019-05-05 02:12:01.412840
 129,2019-05-04 11:12:01.448593
 128,2019-05-11 12:12:01.347357
 157,2019-04-28 09:20:01.094992
 129,2019-05-05 05:12:01.490937
 129,2019-05-08 07:12:01.539407
 112,2019-04-27 14:20:01.239271
 111,2019-05-05 11:12:01.021744
 128,2019-05-11 16:12:00.898658
 129,2019-04-28 07:20:01.645610
 129,2019-04-26 05:20:02.159670
 129,2019-05-02 04:12:00.861830
 112,2019-05-02 10:12:01.518839
 111,2019-04-22 06:20:01.466140
 129,2019-05-06 02:12:01.478906
 112,2019-05-07 04:12:01.386418
 129,2019-04-30 09:13:01.369944
 153,2019-05-09 21:12:01.646814
 137,2019-05-03 23:12:01.417789
 129,2019-05-02 05:12:01.024599
 129,2019-04-25 19:20:01.125846
 129,2019-05-06 04:12:00.794909
 129,2019-05-10 08:12:01.238189
 129,2019-04-27 18:20:01.884206
 111,2019-05-06 16:12:01.357483
 111,2019-05-11 03:12:01.637545
 128,2019-04-23 02:20:01.121895
 129,2019-04-29 04:20:01.551077
 157,2019-04-30 07:13:01.466702
 129,2019-04-30 02:20:02.057568
 140,2019-05-03 10:12:00.804662
 151,2019-05-02 01:12:01.191907
 129,2019-05-04 03:12:01.336439
 140,2019-04-30 06:13:01.647053
 129,2019-05-08 22:12:00.812008
 129,2019-04-30 00:20:01.244385
 120,2019-04-24 00:20:01.233470
 140,2019-05-02 17:12:01.593326
 129,2019-05-08 02:12:01.351575
 112,2019-04-30 22:12:01.778781
 129,2019-05-05 08:12:01.731433
 111,2019-05-02 08:12:01.665680
 112,2019-05-01 09:12:01.301152
 112,2019-04-29 07:20:01.533411
