price_per_night,timestamp
 302,2019-05-03 19:12:01.349440
 737,2019-05-09 04:12:01.698787
 337,2019-04-26 07:20:01.191154
 338,2019-05-10 03:12:01.337562
 535,2019-04-25 16:20:01.691026
 337,2019-04-26 17:20:01.518100
 337,2019-04-28 00:20:01.272538
 340,2019-04-24 15:20:00.961472
 346,2019-04-19 11:05:01.490346
 306,2019-04-30 19:12:01.613551
 302,2019-05-07 18:12:01.522979
 695,2019-05-05 20:12:01.662736
 351,2019-05-11 23:12:00.950392
 302,2019-04-29 15:20:01.749594
 337,2019-04-28 02:20:01.105446
 562,2019-05-02 07:12:02.124806
 695,2019-05-05 17:12:01.332498
 693,2019-04-28 16:20:01.421895
 693,2019-04-30 10:26:45.353300
 334,2019-04-23 06:20:01.869648
 303,2019-04-22 12:20:01.058066
 337,2019-04-27 01:20:01.038571
 338,2019-05-09 10:12:01.689507
 343,2019-05-08 14:12:01.534864
 338,2019-05-09 13:12:01.692449
 344,2019-05-04 22:12:00.934247
 337,2019-04-28 04:20:01.183943
 345,2019-05-04 01:12:00.837180
 345,2019-04-29 19:20:01.887370
 335,2019-05-10 19:12:01.464486
 697,2019-05-02 08:12:01.665680
 348,2019-04-24 18:20:01.155983
 693,2019-04-30 09:13:01.369944
 537,2019-04-21 11:20:01.175342
 302,2019-04-26 11:20:01.230904
 344,2019-05-04 20:12:01.723453
 464,2019-04-18 16:56:25.485859
 302,2019-04-26 14:20:01.675773
 345,2019-05-04 03:12:01.336439
 538,2019-04-23 07:20:01.920027
 735,2019-05-12 08:12:01.493572
 576,2019-04-20 01:09:31.570786
 302,2019-05-02 16:12:01.127081
 302,2019-04-29 23:20:01.970820
 343,2019-05-06 05:12:01.392267
 337,2019-04-26 03:20:01.482164
 306,2019-04-30 15:12:01.509864
 463,2019-04-19 04:05:01.743335
 577,2019-04-23 17:20:01.621761
 344,2019-05-06 09:12:01.004298
 333,2019-04-21 14:20:01.061579
 397,2019-05-11 07:12:01.486799
 351,2019-05-11 20:12:00.718135
 337,2019-04-27 06:20:01.206904
 337,2019-04-28 20:20:01.736584
 397,2019-05-11 03:12:01.637545
 399,2019-05-11 14:12:01.175648
 333,2019-04-21 07:20:01.570893
 344,2019-05-07 00:12:00.922811
 577,2019-04-23 15:20:01.498959
 338,2019-05-09 06:12:01.117651
 535,2019-04-25 12:20:01.137342
 333,2019-04-21 06:20:01.353826
 536,2019-04-25 03:20:01.760917
 695,2019-05-05 22:12:01.757739
 577,2019-04-23 13:20:01.402832
 337,2019-04-28 17:20:01.877449
 693,2019-04-27 20:20:01.513924
 396,2019-05-11 22:12:00.883617
 346,2019-05-01 00:12:01.756072
 345,2019-05-03 03:12:01.374021
 535,2019-04-25 14:20:00.920720
 344,2019-05-04 23:12:00.790633
 333,2019-04-23 01:20:01.954157
 303,2019-04-22 23:20:01.486930
 537,2019-04-21 20:20:01.500597
 338,2019-05-09 01:12:01.517599
 694,2019-05-07 10:12:01.653838
 338,2019-05-09 03:12:01.061738
 696,2019-05-04 08:12:01.579400
 536,2019-04-25 06:20:01.105964
 345,2019-05-03 22:12:02.103721
 425,2019-04-26 08:20:01.356409
 337,2019-04-27 13:20:01.791607
 344,2019-05-06 23:12:01.058287
 695,2019-05-05 15:12:01.433095
 393,2019-05-04 00:12:01.534224
 534,2019-04-25 22:20:01.026978
 693,2019-04-29 04:20:01.551077
 535,2019-04-25 13:20:01.834388
 302,2019-05-06 11:12:01.462061
 344,2019-05-04 21:12:01.042434
 347,2019-04-30 16:12:01.363416
 450,2019-04-24 06:20:01.152819
 333,2019-04-21 00:20:01.877073
 538,2019-04-23 21:20:01.507421
 695,2019-05-05 03:12:01.464035
 343,2019-05-08 13:12:01.156853
 736,2019-05-08 09:12:00.877334
 736,2019-05-07 22:12:01.192771
 536,2019-04-25 09:20:01.817283
 344,2019-05-05 13:12:01.242875
 534,2019-04-25 21:20:01.533905
 397,2019-05-11 01:12:01.481331
 694,2019-05-01 14:12:01.758065
 358,2019-04-20 15:17:23.850909
 302,2019-04-29 12:20:01.581651
 344,2019-05-08 08:12:00.756792
 341,2019-05-07 17:12:01.586705
 695,2019-05-05 16:12:00.867928
 338,2019-05-10 07:12:01.590183
 344,2019-05-08 07:12:01.539407
 565,2019-05-08 02:12:01.351575
 464,2019-04-18 21:05:01.231515
 577,2019-04-23 16:20:01.692296
 577,2019-04-23 18:20:02.035026
0,2019-05-10 11:12:01.800138
 344,2019-05-07 08:12:01.117059
 302,2019-04-24 19:20:01.061854
 397,2019-05-11 11:12:01.134429
 478,2019-04-22 02:20:01.394275
 302,2019-04-24 17:20:01.332952
 338,2019-05-09 14:12:01.591317
 693,2019-04-27 19:20:00.999313
 338,2019-05-09 11:12:01.126873
 338,2019-05-08 23:12:01.359309
 334,2019-04-18 22:05:01.410261
 344,2019-05-07 01:12:01.333003
 301,2019-04-26 02:20:01.845055
 333,2019-04-22 09:20:01.622582
 345,2019-05-04 07:12:01.398161
 338,2019-05-09 09:12:01.723815
 423,2019-04-27 00:20:01.533646
 399,2019-05-11 15:12:01.126050
 535,2019-04-25 19:20:01.125846
 303,2019-04-22 15:20:01.270214
 302,2019-05-03 18:12:00.819381
 535,2019-04-25 17:20:00.913439
 303,2019-04-20 23:20:01.488323
 537,2019-04-19 18:47:34.766195
 347,2019-04-27 03:20:01.825567
 693,2019-04-29 09:20:01.703995
 303,2019-04-22 22:20:01.573988
 349,2019-04-23 10:20:02.059205
 345,2019-05-04 05:12:01.127764
 343,2019-05-06 02:12:01.478906
 576,2019-04-20 08:36:12.130100
 535,2019-04-25 11:20:01.546036
 599,2019-05-08 05:12:01.374776
 302,2019-04-26 15:20:01.440396
