price_per_night,timestamp,Influencer_or_Not,Hotel_ID
409,2019-04-23 11:20:01.137410,No Influencer,23
411,2019-04-27 21:20:01.355039,No Influencer,23
411,2019-04-28 12:20:01.857206,No Influencer,23
411,2019-04-30 14:12:01.340492,No Influencer,23
411,2019-04-28 20:20:01.736584,No Influencer,23
411,2019-04-24 23:20:01.538001,No Influencer,23
411,2019-04-28 21:20:01.232040,No Influencer,23
411,2019-04-25 15:20:01.999888,No Influencer,23
411,2019-04-30 03:07:01.921252,No Influencer,23
409,2019-04-23 08:57:00.650075,No Influencer,23
409,2019-04-23 22:20:01.807987,No Influencer,23
411,2019-04-28 14:20:01.708604,No Influencer,23
411,2019-04-30 23:12:02.178945,No Influencer,23
411,2019-04-27 15:20:01.869596,No Influencer,23
411,2019-04-29 18:20:01.422488,No Influencer,23
411,2019-04-28 01:20:01.461564,No Influencer,23
411,2019-04-24 09:20:01.376897,No Influencer,23
411,2019-04-26 13:20:01.263294,No Influencer,23
411,2019-04-30 02:20:02.057568,No Influencer,23
411,2019-04-26 05:20:02.159670,No Influencer,23
411,2019-04-27 16:20:01.272795,No Influencer,23
411,2019-04-29 15:20:01.749594,No Influencer,23
411,2019-04-26 01:20:01.650668,No Influencer,23
411,2019-04-27 10:20:00.995652,No Influencer,23
411,2019-04-24 12:20:01.752630,No Influencer,23
411,2019-04-29 03:20:01.018048,No Influencer,23
411,2019-04-30 04:13:02.046272,No Influencer,23
411,2019-04-25 23:20:02.108452,No Influencer,23
409,2019-04-23 17:20:01.621761,No Influencer,23
411,2019-04-25 22:20:01.026978,No Influencer,23
411,2019-04-26 16:20:01.240066,No Influencer,23
411,2019-04-26 09:20:01.831938,No Influencer,23
411,2019-04-28 05:20:01.363352,No Influencer,23
409,2019-04-23 12:20:01.090720,No Influencer,23
411,2019-04-30 02:41:01.609263,No Influencer,23
411,2019-04-28 15:20:01.821202,No Influencer,23
411,2019-04-26 22:20:01.496908,No Influencer,23
411,2019-04-26 02:20:01.845055,No Influencer,23
411,2019-04-29 22:20:01.267835,No Influencer,23
409,2019-04-23 23:20:01.609027,No Influencer,23
410,2019-05-01 02:12:01.900668,No Influencer,23
411,2019-04-25 19:20:01.125846,No Influencer,23
411,2019-04-28 18:20:01.146409,No Influencer,23
411,2019-04-26 15:20:01.440396,No Influencer,23
411,2019-04-27 18:20:01.884206,No Influencer,23
409,2019-04-23 20:20:00.970738,No Influencer,23
411,2019-04-24 15:20:00.961472,No Influencer,23
411,2019-04-29 19:20:01.887370,No Influencer,23
411,2019-04-27 19:20:00.999313,No Influencer,23
411,2019-04-27 13:20:01.791607,No Influencer,23
411,2019-04-25 00:20:01.034622,No Influencer,23
411,2019-04-25 20:20:01.595336,No Influencer,23
411,2019-04-29 09:20:01.703995,No Influencer,23
411,2019-04-30 18:12:01.821418,No Influencer,23
411,2019-04-29 00:20:01.658775,No Influencer,23
411,2019-04-24 17:20:01.332952,No Influencer,23
409,2019-04-23 18:20:02.035026,No Influencer,23
411,2019-04-25 17:20:00.913439,No Influencer,23
411,2019-04-26 20:20:01.435899,No Influencer,23
409,2019-04-24 00:20:01.233470,No Influencer,23
411,2019-04-30 17:12:02.208219,No Influencer,23
411,2019-04-30 12:10:01.625413,No Influencer,23
411,2019-04-29 21:20:01.926694,No Influencer,23
411,2019-04-28 06:20:01.021836,No Influencer,23
411,2019-04-25 12:20:01.137342,No Influencer,23
411,2019-04-25 02:20:01.135567,No Influencer,23
409,2019-04-23 15:20:01.498959,No Influencer,23
411,2019-04-30 05:13:01.044033,No Influencer,23
411,2019-04-29 17:20:01.389936,No Influencer,23
411,2019-04-28 11:20:01.484490,No Influencer,23
411,2019-04-24 11:20:01.308713,No Influencer,23
411,2019-04-25 18:20:01.259476,No Influencer,23
411,2019-04-29 07:20:01.533411,No Influencer,23
411,2019-04-25 21:20:01.533905,No Influencer,23
