hotel_name,url,locality,timestamp,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
"The Riviera Palm Springs, A Tribute Portfolio Resort",http://www.tripadvisor.com/Hotel_Review-g32847-d77400-Reviews-The_Riviera_Palm_Springs_A_Tribute_Portfolio_Resort-Palm_Springs_Greater_Palm_Springs_Cal.html,Palm Springs,,2817 ,,2019/05/18,2019/05/19, 344,Hotels.com,15,"Free Wifi,Pool,Visit hotel website"
7 Springs Inn & Suites,http://www.tripadvisor.com/Hotel_Review-g32847-d267325-Reviews-7_Springs_Inn_Suites-Palm_Springs_Greater_Palm_Springs_California.html,Palm Springs,,968 ,,2019/05/18,2019/05/19, 200,Booking.com,10,"Free Wifi,Free parking"
Ace Hotel & Swim Club,http://www.tripadvisor.com/Hotel_Review-g32847-d77284-Reviews-Ace_Hotel_Swim_Club-Palm_Springs_Greater_Palm_Springs_California.html,Palm Springs,,1006 ,,2019/05/18,2019/05/19, 422,Hotels.com,13,"Free Wifi,Pool,Visit hotel website"
Hilton Palm Springs,http://www.tripadvisor.com/Hotel_Review-g32847-d77242-Reviews-Hilton_Palm_Springs-Palm_Springs_Greater_Palm_Springs_California.html,Palm Springs,,1633 ,,2019/05/18,2019/05/19, 277,Booking.com,15,"Free Wifi,Pool,Visit hotel website"
Ingleside Inn,http://www.tripadvisor.com/Hotel_Review-g32847-d113685-Reviews-Ingleside_Inn-Palm_Springs_Greater_Palm_Springs_California.html,Palm Springs,,153 ,,2019/05/18,2019/05/19, 468,Hotels.com,9,"Free Wifi,Pool"
The Palm Springs Hotel,http://www.tripadvisor.com/Hotel_Review-g32847-d4550384-Reviews-The_Palm_Springs_Hotel-Palm_Springs_Greater_Palm_Springs_California.html,Palm Springs,,457 ,,2019/05/18,2019/05/19, 432,Hotels.com,8,"Free Wifi,Free parking,Visit hotel website"
Hotel California,http://www.tripadvisor.com/Hotel_Review-g32847-d119472-Reviews-Hotel_California-Palm_Springs_Greater_Palm_Springs_California.html,Palm Springs,,1771 ,,2019/05/18,2019/05/19, 194,Hotels.com,7,"Free Wifi,Free parking,Visit hotel website"
Kimpton Rowan Palm Springs Hotel,http://www.tripadvisor.com/Hotel_Review-g32847-d12482044-Reviews-Kimpton_Rowan_Palm_Springs_Hotel-Palm_Springs_Greater_Palm_Springs_California.html,Palm Springs,,379 ,,2019/05/18,2019/05/19, 461,Booking.com,11,"Free Wifi,Pool,Visit hotel website"
Oasis Villa Resort,http://www.tripadvisor.com/Hotel_Review-g32847-d125771-Reviews-Oasis_Villa_Resort-Palm_Springs_Greater_Palm_Springs_California.html,Palm Springs,,230 ,,2019/05/18,2019/05/19, 346,Booking.com,8,"Free Wifi,Free parking"
A Place in the Sun Garden Hotel,http://www.tripadvisor.com/Hotel_Review-g32847-d119416-Reviews-A_Place_in_the_Sun_Garden_Hotel-Palm_Springs_Greater_Palm_Springs_California.html,Palm Springs,,450 ,,2019/05/18,2019/05/19, 211,Hotels.com,8,"Free Wifi,Free parking"
