hotel_name,price_per_night,timestamp
Ramon's Village Resort, 223,2019-04-21 05:20:01.132141
Island Magic Beach Resort, 147,2019-04-21 05:20:01.132141
SunBreeze Hotel, 163,2019-04-21 05:20:01.132141
"Mahogany Bay Resort & Beach Club, Curio Collection by Hilton", 172,2019-04-21 05:20:01.132141
Radisson Fort George Hotel and Marina, 111,2019-04-21 05:20:01.132141
Las Terrazas Resort, 232,2019-04-21 05:20:01.132141
Naia Resort and Spa, 330,2019-04-21 05:20:01.132141
Belize Ocean Club, 192,2019-04-21 05:20:01.132141
Maya Beach Hotel, 99,2019-04-21 05:20:01.132141
"Sweet Songs Jungle Lodge, a Muy'Ono Resort", 99,2019-04-21 05:20:01.132141
San Ignacio Resort Hotel,0,2019-04-21 05:20:01.132141
Ocean Tide Beach Resort, 84,2019-04-21 05:20:01.132141
Hotel del Rio, 59,2019-04-21 05:20:01.132141
Sapphire Beach Resort, 122,2019-04-21 05:20:01.132141
Pedro's Hotel, 55,2019-04-21 05:20:01.132141
Sleeping Giant Rainforest Lodge, 131,2019-04-21 05:20:01.132141
The Lodge at Jaguar Reef, 131,2019-04-21 05:20:01.132141
Belizean Dreams Resort, 474,2019-04-21 05:20:01.132141
Green Parrot Beach Houses & Resort, 117,2019-04-21 05:20:01.132141
Black Orchid Resort, 101,2019-04-21 05:20:01.132141
Robert's Grove Beach Resort, 177,2019-04-21 05:20:01.132141
The Lodge at Chaa Creek, 414,2019-04-21 05:20:01.132141
"Thatch Caye, a Muy'Ono Resort", 120,2019-04-21 05:20:01.132141
Laru Beya Resort & Villas, 185,2019-04-21 05:20:01.132141
Grand Caribe Belize Resort and Condominiums, 303,2019-04-21 05:20:01.132141
Almond Beach Resort at Jaguar Reef, 131,2019-04-21 05:20:01.132141
Villa Margarita at Jaguar Reef, 131,2019-04-21 05:20:01.132141
Mata Rocks Beachfront Hotel, 132,2019-04-21 05:20:01.132141
Caye Casa, 162,2019-04-21 05:20:01.132141
SunBreeze Suites, 174,2019-04-21 05:20:01.132141
