hotel_name,price_per_night,timestamp
Luxury Villa Excelsior Parco, 365,2019-04-24 11:20:01.307963
Villa Marina Capri Hotel & Spa, 438,2019-04-24 11:20:01.307963
Hotel Mamela, 651,2019-04-24 11:20:01.307963
Hotel La Palma, 404,2019-04-24 11:20:01.307963
Villa da Zara, 406,2019-04-24 11:20:01.307963
Casa Gaia, 211,2019-04-24 11:20:01.307963
Villa Carolina Capri, 187,2019-04-24 11:20:01.307963
Albergo Pensione Italia, 187,2019-04-24 11:20:01.307963
Hotel Palatium Mari, 219,2019-04-24 11:20:01.307963
Villa Mediterranea Capri, 527,2019-04-24 11:20:01.307963
Suite Garden, 356,2019-04-24 11:20:01.307963
La Residenza Capri, 325,2019-04-24 11:20:01.307963
Villa i Tre Fratelli, 113,2019-04-24 11:20:01.307963
Capri Tiberio Palace, 879,2019-04-24 11:20:01.307963
Punta Tragara," 1,488",2019-04-24 11:20:01.307963
Hotel Regina Cristina,0,2019-04-24 11:20:01.307963
Hotel Weber Ambassador Capri,0,2019-04-24 11:20:01.307963
Capri Inn,0,2019-04-24 11:20:01.307963
Villa Helios,0,2019-04-24 11:20:01.307963
Relais Maresca Small Luxury Hotel,0,2019-04-24 11:20:01.307963
Grand Hotel Quisisana,0,2019-04-24 11:20:01.307963
Hotel della Piccola Marina,0,2019-04-24 11:20:01.307963
Casa Morgano,0,2019-04-24 11:20:01.307963
Hotel La Floridiana,0,2019-04-24 11:20:01.307963
Hotel La Reginella,0,2019-04-24 11:20:01.307963
La Scalinatella,0,2019-04-24 11:20:01.307963
Hotel Villa Sanfelice,0,2019-04-24 11:20:01.307963
Hotel Canasta,0,2019-04-24 11:20:01.307963
Hotel Gatto Bianco,0,2019-04-24 11:20:01.307963
Hotel 4 Stagioni,0,2019-04-24 11:20:01.307963
