hotel_name,price_per_night,timestamp
Alfiz Hotel, 177,2019-04-19 09:05:00.987038
Hotel Buenos Aires Avenida, 38,2019-04-19 09:05:00.987038
Bourbon St Hostal Boutique, 29,2019-04-19 09:05:00.987038
Hotel Manglar 421, 24,2019-04-19 09:05:00.987038
Hotel Dann Cartagena, 100,2019-04-19 09:05:00.987038
Hotel Almirante, 102,2019-04-19 09:05:00.987038
Hampton by Hilton Cartagena, 91,2019-04-19 09:05:00.987038
Holiday Inn Express Cartagena Bocagrande, 74,2019-04-19 09:05:00.987038
Holiday Inn Cartagena Morros, 102,2019-04-19 09:05:00.987038
Hyatt Regency Cartagena, 130,2019-04-19 09:05:00.987038
Playa Club Hotel, 68,2019-04-19 09:05:00.987038
InterContinental Cartagena De Indias, 139,2019-04-19 09:05:00.987038
Conrad Cartagena by Hilton, 150,2019-04-19 09:05:00.987038
Varanasi Hotel Boutique, 71,2019-04-19 09:05:00.987038
Hotel Las Americas Casa de Playa, 132,2019-04-19 09:05:00.987038
Viajero Cartagena Hostel, 55,2019-04-19 09:05:00.987038
Hotel Las Americas Torre del Mar, 157,2019-04-19 09:05:00.987038
Hotel Casa Lola, 126,2019-04-19 09:05:00.987038
Hotel Casa Gloria, 73,2019-04-19 09:05:00.987038
Hotel Boutique Casa Isabel,0,2019-04-19 09:05:00.987038
Hilton Cartagena, 141,2019-04-19 09:05:00.987038
Bastion Luxury Hotel, 265,2019-04-19 09:05:00.987038
Hotel Casa del Arzobispado, 216,2019-04-19 09:05:00.987038
Hotel Boutique las Carretas, 105,2019-04-19 09:05:00.987038
Hotel Caribe By Faranda Grand, 135,2019-04-19 09:05:00.987038
Allure Chocolat Hotel By Karisma, 154,2019-04-19 09:05:00.987038
Estelar Cartagena de Indias Hotel & Convention Center, 131,2019-04-19 09:05:00.987038
Allure Canela, 102,2019-04-19 09:05:00.987038
Bantu Hotel By Faranda Boutique, 149,2019-04-19 09:05:00.987038
Sofitel Legend Santa Clara, 381,2019-04-19 09:05:00.987038
Hotel San Martin,0,2019-04-19 09:05:00.987038
