hotel_name,price_per_night,timestamp
The Inn on the Mile,0,2019-04-27 15:20:01.826216
The Principal Edinburgh George Street, 354,2019-04-27 15:20:01.826216
Best Western Plus Edinburgh City Centre Bruntsfield Hotel, 173,2019-04-27 15:20:01.826216
Travelodge Edinburgh Central Queen Street, 153,2019-04-27 15:20:01.826216
Ibis Edinburgh Centre Royal Mile, 188,2019-04-27 15:20:01.826216
The Scotsman Hotel, 313,2019-04-27 15:20:01.826216
Ibis Edinburgh Centre South Bridge, 167,2019-04-27 15:20:01.826216
Cityroomz Edinburgh, 138,2019-04-27 15:20:01.826216
Old Town Chambers, 249,2019-04-27 15:20:01.826216
Hilton Edinburgh Carlton, 232,2019-04-27 15:20:01.826216
Murrayfield Hotel and House, 166,2019-04-27 15:20:01.826216
Holiday Inn Express Edinburgh - Leith Waterfront, 150,2019-04-27 15:20:01.826216
Novotel Edinburgh Park, 140,2019-04-27 15:20:01.826216
Tigerlily Hotel, 521,2019-04-27 15:20:01.826216
The Dunstane Houses, 544,2019-04-27 15:20:01.826216
Travelodge Edinburgh Central,0,2019-04-27 15:20:01.826216
Travelodge Edinburgh Cameron Toll,0,2019-04-27 15:20:01.826216
"Ten Hill Place, BW Premier Collection",0,2019-04-27 15:20:01.826216
Brooks Hotel Edinburgh, 124,2019-04-27 15:20:01.826216
B+B Edinburgh,0,2019-04-27 15:20:01.826216
Hotel Indigo Edinburgh - Princes Street,0,2019-04-27 15:20:01.826216
The White Lady, 109,2019-04-27 15:20:01.826216
Radisson Collection Hotel Royal Mile Edinburgh,0,2019-04-27 15:20:01.826216
Best Western Edinburgh South Braid Hills Hotel, 147,2019-04-27 15:20:01.826216
Hotel du Vin & Bistro, 279,2019-04-27 15:20:01.826216
Travelodge Edinburgh Dreghorn,0,2019-04-27 15:20:01.826216
24 Royal Terrace,0,2019-04-27 15:20:01.826216
"The Glasshouse, Autograph Collection",0,2019-04-27 15:20:01.826216
Apex Grassmarket Hotel, 224,2019-04-27 15:20:01.826216
Le Monde Hotel Edinburgh, 297,2019-04-27 15:20:01.826216
The Chester Residence,0,2019-04-27 15:20:01.826216
