hotel_name,price_per_night,timestamp
Burgenstock Hotels & Resorts - Panorama Residence Suites,0,2019-04-27 02:20:01.167065
Seehotel Pilatus, 258,2019-04-27 02:20:01.167065
Hotel Balm Meggen, 220,2019-04-27 02:20:01.167065
Seehotel Sternen Horw, 260,2019-04-27 02:20:01.167065
Hotel-Restaurant Felmis,0,2019-04-27 02:20:01.167065
Burgenstock Hotels & Resort - Palace Hotel, 424,2019-04-27 02:20:01.167065
Boutique Hotel Schluessel, 311,2019-04-27 02:20:01.167065
Seeblick Hohenhotel, 208,2019-04-27 02:20:01.167065
Hotel Seeburg, 201,2019-04-27 02:20:01.167065
Seerausch Swiss Quality Hotel, 125,2019-04-27 02:20:01.167065
Hotel Bellevue Luzern, 167,2019-04-27 02:20:01.167065
Hotel Beau Rivage, 259,2019-04-27 02:20:01.167065
Hotel Roggerli, 212,2019-04-27 02:20:01.167065
Seehotel Kastanienbaum, 203,2019-04-27 02:20:01.167065
Hotel Winkelried, 175,2019-04-27 02:20:01.167065
Hotel Central am See,0,2019-04-27 02:20:01.167065
Hotel Gerbi, 287,2019-04-27 02:20:01.167065
Hotel Alexander, 319,2019-04-27 02:20:01.167065
Hotel Rigi Kaltbad, 312,2019-04-27 02:20:01.167065
Hotel Stanserhof,0,2019-04-27 02:20:01.167065
Wellness Hotel Rossli Weggis, 300,2019-04-27 02:20:01.167065
Gasthaus Tuebli Gersau, 145,2019-04-27 02:20:01.167065
Hotel Bergsonne, 144,2019-04-27 02:20:01.167065
Hotel Roessli,0,2019-04-27 02:20:01.167065
Hotel Schweizerhof,0,2019-04-27 02:20:01.167065
Hotel Restaurant Burestadl,0,2019-04-27 02:20:01.167065
Seehotel Hermitage Luzern, 429,2019-04-27 02:20:01.167065
Burgenstock Hotels & Resort – Waldhotel & Spa, 527,2019-04-27 02:20:01.167065
Park Hotel Vitznau,0,2019-04-27 02:20:01.167065
Burgenstock Hotels & Resort - Burgenstock Hotel & Alpine Spa," 1,155",2019-04-27 02:20:01.167065
