hotel_name,price_per_night,timestamp
Centara Ras Fushi Resort & Spa Maldives, 369,2019-04-21 15:20:01.179085
The Somerset Hotel, 130,2019-04-21 15:20:01.179085
Hotel Octave, 201,2019-04-21 15:20:01.179085
City King, 61,2019-04-21 15:20:01.179085
Novina,0,2019-04-21 15:20:01.179085
Samann Grand, 136,2019-04-21 15:20:01.179085
The Melrose Hotel,0,2019-04-21 15:20:01.179085
"Hotel Jen Male, Maldives by Shangri-La", 185,2019-04-21 15:20:01.179085
The Beehive, 110,2019-04-21 15:20:01.179085
Mookai Suites, 104,2019-04-21 15:20:01.179085
Champa Central Hotel,0,2019-04-21 15:20:01.179085
Heritance Aarah," 1,364",2019-04-21 15:20:01.179085
Somerset Inn,0,2019-04-21 15:20:01.179085
Sala Boutique Hotel,0,2019-04-21 15:20:01.179085
The Avenue and Spa,0,2019-04-21 15:20:01.179085
Vinorva Maldives,0,2019-04-21 15:20:01.179085
Hotel Unima Grand,0,2019-04-21 15:20:01.179085
Six in One,0,2019-04-21 15:20:01.179085
Surf View Raalhugandu,0,2019-04-21 15:20:01.179085
LVIS boutique,0,2019-04-21 15:20:01.179085
Paralian Hulhumale,0,2019-04-21 15:20:01.179085
Athiriveli,0,2019-04-21 15:20:01.179085
Maagiri Hotel,0,2019-04-21 15:20:01.179085
Skai Lodge,0,2019-04-21 15:20:01.179085
House Clover,0,2019-04-21 15:20:01.179085
Mookai Hotel,0,2019-04-21 15:20:01.179085
Coral Hotel & Spa,0,2019-04-21 15:20:01.179085
Moodhu Surf House,0,2019-04-21 15:20:01.179085
Kaani Lodge,0,2019-04-21 15:20:01.179085
Marble Hotel,0,2019-04-21 15:20:01.179085
