hotel_name,url,price_per_night,timestamp
Somerset Inn,http://www.tripadvisor.com/Hotel_Review-g298571-d8128757-Reviews-Somerset_Inn-Male.html, 72,2019-05-08 13:12:01.173390
The Somerset Hotel,http://www.tripadvisor.com/Hotel_Review-g298571-d5937841-Reviews-The_Somerset_Hotel-Male.html, 148,2019-05-08 13:12:01.173390
Sala Boutique Hotel,http://www.tripadvisor.com/Hotel_Review-g298571-d2216798-Reviews-Sala_Boutique_Hotel-Male.html, 122,2019-05-08 13:12:01.173390
Samann Grand,http://www.tripadvisor.com/Hotel_Review-g298571-d15240137-Reviews-Samann_Grand-Male.html, 138,2019-05-08 13:12:01.173390
"Hotel Jen Male, Maldives by Shangri-La",http://www.tripadvisor.com/Hotel_Review-g298571-d1477772-Reviews-Hotel_Jen_Male_Maldives_by_Shangri_La-Male.html, 220,2019-05-08 13:12:01.173390
The Avenue and Spa,http://www.tripadvisor.com/Hotel_Review-g298571-d12520544-Reviews-The_Avenue_and_Spa-Male.html, 54,2019-05-08 13:12:01.173390
Hotel Unima Grand,http://www.tripadvisor.com/Hotel_Review-g298571-d12161850-Reviews-Hotel_Unima_Grand-Male.html, 73,2019-05-08 13:12:01.173390
The Beehive,http://www.tripadvisor.com/Hotel_Review-g298571-d1016311-Reviews-The_Beehive-Male.html, 122,2019-05-08 13:12:01.173390
Paralian Hulhumale,http://www.tripadvisor.com/Hotel_Review-g298571-d14932740-Reviews-Paralian_Hulhumale-Male.html, 93,2019-05-08 13:12:01.173390
The Melrose Hotel,http://www.tripadvisor.com/Hotel_Review-g298571-d7950199-Reviews-The_Melrose_Hotel-Male.html, 62,2019-05-08 13:12:01.173390
Surf View Raalhugandu,http://www.tripadvisor.com/Hotel_Review-g298571-d6610431-Reviews-Surf_View_Raalhugandu-Male.html, 71,2019-05-08 13:12:01.173390
Novina,http://www.tripadvisor.com/Hotel_Review-g298571-d12445621-Reviews-Novina-Male.html, 82,2019-05-08 13:12:01.173390
Mookai Hotel,http://www.tripadvisor.com/Hotel_Review-g298571-d806029-Reviews-Mookai_Hotel-Male.html, 83,2019-05-08 13:12:01.173390
Vinorva Maldives,http://www.tripadvisor.com/Hotel_Review-g298571-d12059585-Reviews-Vinorva_Maldives-Male.html, 55,2019-05-08 13:12:01.173390
Champa Central Hotel,http://www.tripadvisor.com/Hotel_Review-g298571-d584466-Reviews-Champa_Central_Hotel-Male.html, 94,2019-05-08 13:12:01.173390
LVIS boutique,http://www.tripadvisor.com/Hotel_Review-g298571-d7288415-Reviews-LVIS_boutique-Male.html, 110,2019-05-08 13:12:01.173390
Maagiri Hotel,http://www.tripadvisor.com/Hotel_Review-g298571-d1056444-Reviews-Maagiri_Hotel-Male.html, 207,2019-05-08 13:12:01.173390
House Clover,http://www.tripadvisor.com/Hotel_Review-g298571-d1554805-Reviews-House_Clover-Male.html, 92,2019-05-08 13:12:01.173390
City King,http://www.tripadvisor.com/Hotel_Review-g298571-d9558250-Reviews-City_King-Male.html, 62,2019-05-08 13:12:01.173390
Skai Lodge,http://www.tripadvisor.com/Hotel_Review-g298571-d1056462-Reviews-Skai_Lodge-Male.html, 76,2019-05-08 13:12:01.173390
Six in One,http://www.tripadvisor.com/Hotel_Review-g298571-d13799170-Reviews-Six_in_One-Male.html, 82,2019-05-08 13:12:01.173390
Athiriveli,http://www.tripadvisor.com/Hotel_Review-g298571-d13006406-Reviews-Athiriveli-Male.html, 51,2019-05-08 13:12:01.173390
Green Flora,http://www.tripadvisor.com/Hotel_Review-g298571-d13238837-Reviews-Green_Flora-Male.html, 56,2019-05-08 13:12:01.173390
Mookai Suites,http://www.tripadvisor.com/Hotel_Review-g298571-d1762014-Reviews-Mookai_Suites-Male.html, 110,2019-05-08 13:12:01.173390
The Park House,http://www.tripadvisor.com/Hotel_Review-g298571-d8335625-Reviews-The_Park_House-Male.html, 92,2019-05-08 13:12:01.173390
Marble Hotel,http://www.tripadvisor.com/Hotel_Review-g298571-d1056456-Reviews-Marble_Hotel-Male.html, 77,2019-05-08 13:12:01.173390
Heritance Aarah,http://www.tripadvisor.com/Hotel_Review-g298571-d14077311-Reviews-Heritance_Aarah-Male.html," 1,370",2019-05-08 13:12:01.173390
Hotel Octave,http://www.tripadvisor.com/Hotel_Review-g298571-d3204127-Reviews-Hotel_Octave-Male.html,0,2019-05-08 13:12:01.173390
Kaani Lodge,http://www.tripadvisor.com/Hotel_Review-g298571-d1522963-Reviews-Kaani_Lodge-Male.html,0,2019-05-08 13:12:01.173390
Baani Hotel,http://www.tripadvisor.com/Hotel_Review-g298571-d1816075-Reviews-Baani_Hotel-Male.html,0,2019-05-08 13:12:01.173390
