hotel_name,price_per_night,timestamp
Maradiva Villas Resort and Spa, 485,2019-04-23 09:20:01.842252
SeaSense Boutique Hotel, 123,2019-04-23 09:20:01.842252
Tropical Attitude, 99,2019-04-23 09:20:01.842252
Trou Aux Biches Beachcomber Golf Resort & Spa, 337,2019-04-23 09:20:01.842252
"Shangri-La’s Le Touessrok Resort & Spa, Mauritius", 303,2019-04-23 09:20:01.842252
Merville Beach Hotel, 136,2019-04-23 09:20:01.842252
Baystone Boutique Hotel & Spa, 139,2019-04-23 09:20:01.842252
"Radisson Blu Poste Lafayette Resort & Spa, Mauritius", 162,2019-04-23 09:20:01.842252
LUX* Belle Mare, 262,2019-04-23 09:20:01.842252
LUX* Grand Gaube, 285,2019-04-23 09:20:01.842252
Outrigger Mauritius Beach Resort, 208,2019-04-23 09:20:01.842252
Anelia Resort & Spa, 153,2019-04-23 09:20:01.842252
The Residence Mauritius, 188,2019-04-23 09:20:01.842252
Seapoint Boutique Hotel, 185,2019-04-23 09:20:01.842252
Coral Azur Beach Resort, 157,2019-04-23 09:20:01.842252
Hotel Riu Le Morne, 206,2019-04-23 09:20:01.842252
InterContinental Mauritius Resort Balaclava Fort, 285,2019-04-23 09:20:01.842252
Sands Suites Resort & Spa, 234,2019-04-23 09:20:01.842252
La Pirogue Mauritius, 380,2019-04-23 09:20:01.842252
Sugar Beach Mauritius, 410,2019-04-23 09:20:01.842252
"The Westin Turtle Bay Resort & Spa, Mauritius", 278,2019-04-23 09:20:01.842252
Le Suffren Hotel & Marina, 172,2019-04-23 09:20:01.842252
LUX* Le Morne, 432,2019-04-23 09:20:01.842252
Hilton Mauritius Resort & Spa,0,2019-04-23 09:20:01.842252
Ambre A Sun Resort,0,2019-04-23 09:20:01.842252
Salt of Palmar,0,2019-04-23 09:20:01.842252
Coin de Mire Attitude, 70,2019-04-23 09:20:01.842252
Mauricia Beachcomber Resort & Spa, 267,2019-04-23 09:20:01.842252
Pereybere Hotel & Spa,0,2019-04-23 09:20:01.842252
Zilwa Attitude, 175,2019-04-23 09:20:01.842252
Long Beach Mauritius, 339,2019-04-23 09:20:01.842252
Solana Beach, 83,2019-04-23 09:20:01.842252
