hotel_name,url,price_per_night,timestamp
"Shangri-La’s Le Touessrok Resort & Spa, Mauritius",http://www.tripadvisor.com/Hotel_Review-g488107-d302533-Reviews-Shangri_La_s_Le_Touessrok_Resort_Spa_Mauritius-Trou_d_eau_Douce.html, 303,2019-05-08 18:12:01.735409
Seapoint Boutique Hotel,http://www.tripadvisor.com/Hotel_Review-g644023-d8709540-Reviews-Seapoint_Boutique_Hotel-Pointe_aux_Canonniers.html, 217,2019-05-08 18:12:01.735409
The Residence Mauritius,http://www.tripadvisor.com/Hotel_Review-g298342-d301302-Reviews-The_Residence_Mauritius-Belle_Mare.html, 209,2019-05-08 18:12:01.735409
Anelia Resort & Spa,http://www.tripadvisor.com/Hotel_Review-g298343-d8622447-Reviews-Anelia_Resort_Spa-Flic_En_Flac.html, 153,2019-05-08 18:12:01.735409
SeaSense Boutique Hotel,http://www.tripadvisor.com/Hotel_Review-g298342-d13821279-Reviews-SeaSense_Boutique_Hotel-Belle_Mare.html, 122,2019-05-08 18:12:01.735409
LUX* Grand Gaube,http://www.tripadvisor.com/Hotel_Review-g488104-d316747-Reviews-LUX_Grand_Gaube-Grand_Gaube.html, 285,2019-05-08 18:12:01.735409
Trou Aux Biches Beachcomber Golf Resort & Spa,http://www.tripadvisor.com/Hotel_Review-g488106-d472675-Reviews-Trou_Aux_Biches_Beachcomber_Golf_Resort_Spa-Trou_aux_Biches.html, 384,2019-05-08 18:12:01.735409
Outrigger Mauritius Beach Resort,http://www.tripadvisor.com/Hotel_Review-g612353-d4884391-Reviews-Outrigger_Mauritius_Beach_Resort-Bel_Ombre.html, 136,2019-05-08 18:12:01.735409
Merville Beach Hotel,http://www.tripadvisor.com/Hotel_Review-g488103-d302263-Reviews-Merville_Beach_Hotel-Grand_Baie.html, 135,2019-05-08 18:12:01.735409
Coral Azur Beach Resort,http://www.tripadvisor.com/Hotel_Review-g488106-d307242-Reviews-Coral_Azur_Beach_Resort-Trou_aux_Biches.html, 209,2019-05-08 18:12:01.735409
Sugar Beach Mauritius,http://www.tripadvisor.com/Hotel_Review-g298343-d305531-Reviews-Sugar_Beach_Mauritius-Flic_En_Flac.html, 409,2019-05-08 18:12:01.735409
Long Beach Mauritius,http://www.tripadvisor.com/Hotel_Review-g298342-d2100221-Reviews-Long_Beach_Mauritius-Belle_Mare.html, 338,2019-05-08 18:12:01.735409
Hilton Mauritius Resort & Spa,http://www.tripadvisor.com/Hotel_Review-g298343-d299624-Reviews-Hilton_Mauritius_Resort_Spa-Flic_En_Flac.html, 245,2019-05-08 18:12:01.735409
Tropical Attitude,http://www.tripadvisor.com/Hotel_Review-g488107-d316726-Reviews-Tropical_Attitude-Trou_d_eau_Douce.html, 103,2019-05-08 18:12:01.735409
Hotel Riu Le Morne,http://www.tripadvisor.com/Hotel_Review-g488105-d7621190-Reviews-Hotel_Riu_Le_Morne-Le_Morne.html, 262,2019-05-08 18:12:01.735409
The Bay,http://www.tripadvisor.com/Hotel_Review-g951345-d939791-Reviews-The_Bay-Riviere_Noire.html, 146,2019-05-08 18:12:01.735409
Solana Beach,http://www.tripadvisor.com/Hotel_Review-g298342-d6420442-Reviews-Solana_Beach-Belle_Mare.html, 90,2019-05-08 18:12:01.735409
Zilwa Attitude,http://www.tripadvisor.com/Hotel_Review-g3186967-d3600186-Reviews-Zilwa_Attitude-Calodyne.html, 196,2019-05-08 18:12:01.735409
InterContinental Mauritius Resort Balaclava Fort,http://www.tripadvisor.com/Hotel_Review-g488101-d1197162-Reviews-InterContinental_Mauritius_Resort_Balaclava_Fort-Balaclava.html, 265,2019-05-08 18:12:01.735409
Coin de Mire Attitude,http://www.tripadvisor.com/Hotel_Review-g7113249-d505964-Reviews-Coin_de_Mire_Attitude-Bain_Boeuf.html, 116,2019-05-08 18:12:01.735409
Be Cosy Apart Hotel,http://www.tripadvisor.com/Hotel_Review-g488106-d4992807-Reviews-Be_Cosy_Apart_Hotel-Trou_aux_Biches.html, 81,2019-05-08 18:12:01.735409
Mon Choisy Beach R.,http://www.tripadvisor.com/Hotel_Review-g304008-d2356865-Reviews-Mon_Choisy_Beach_R-Mont_Choisy.html, 69,2019-05-08 18:12:01.735409
Mauricia Beachcomber Resort & Spa,http://www.tripadvisor.com/Hotel_Review-g488103-d627320-Reviews-Mauricia_Beachcomber_Resort_Spa-Grand_Baie.html, 206,2019-05-08 18:12:01.735409
Grand Baie Suites,http://www.tripadvisor.com/Hotel_Review-g488103-d489013-Reviews-Grand_Baie_Suites-Grand_Baie.html, 71,2019-05-08 18:12:01.735409
Sofitel Mauritius L'Imperial Resort & Spa,http://www.tripadvisor.com/Hotel_Review-g298343-d305552-Reviews-Sofitel_Mauritius_L_Imperial_Resort_Spa-Flic_En_Flac.html, 239,2019-05-08 18:12:01.735409
LUX* Le Morne,http://www.tripadvisor.com/Hotel_Review-g488105-d316737-Reviews-LUX_Le_Morne-Le_Morne.html, 472,2019-05-08 18:12:01.735409
Constance Prince Maurice,http://www.tripadvisor.com/Hotel_Review-g298345-d304181-Reviews-Constance_Prince_Maurice-Pointe_de_Flacq.html, 645,2019-05-08 18:12:01.735409
Sands Suites Resort & Spa,http://www.tripadvisor.com/Hotel_Review-g298343-d501869-Reviews-Sands_Suites_Resort_Spa-Flic_En_Flac.html,0,2019-05-08 18:12:01.735409
