hotel_name,price_per_night,timestamp
INAYA Putri Bali Resort, 117,2019-04-24 21:20:01.454925
"The Westin Resort Nusa Dua, Bali", 134,2019-04-24 21:20:01.454925
Grand Hyatt Bali, 128,2019-04-24 21:20:01.454925
Ayodya Resort Bali, 98,2019-04-24 21:20:01.454925
Melia Bali, 109,2019-04-24 21:20:01.454925
Sofitel Bali Nusa Dua Beach Resort, 172,2019-04-24 21:20:01.454925
Nusa Dua Beach Hotel & Spa, 118,2019-04-24 21:20:01.454925
"The Laguna, a Luxury Collection Resort & Spa, Nusa Dua, Bali", 135,2019-04-24 21:20:01.454925
The Grand Bali Nusa Dua, 59,2019-04-24 21:20:01.454925
Hilton Bali Resort, 133,2019-04-24 21:20:01.454925
Mahogany Hotel, 37,2019-04-24 21:20:01.454925
Courtyard Bali Nusa Dua Resort, 87,2019-04-24 21:20:01.454925
Bali Nusa Dua Hotel, 81,2019-04-24 21:20:01.454925
The Bale, 236,2019-04-24 21:20:01.454925
Tanadewa Luxury Villas & Spa, 127,2019-04-24 21:20:01.454925
Mulia Resort, 202,2019-04-24 21:20:01.454925
Novotel Bali Nusa Dua Hotel & Residences, 85,2019-04-24 21:20:01.454925
Samabe Bali Suites & Villas, 355,2019-04-24 21:20:01.454925
Amarterra Villas Bali Nusa Dua - MGallery Collection, 267,2019-04-24 21:20:01.454925
Marriott’s Bali Nusa Dua Gardens, 150,2019-04-24 21:20:01.454925
Kayumanis Nusa Dua Private Villa & Spa, 315,2019-04-24 21:20:01.454925
Frangipani Homestay, 26,2019-04-24 21:20:01.454925
Puri Clinton Home Stay, 21,2019-04-24 21:20:01.454925
Kubu Garden, 33,2019-04-24 21:20:01.454925
The Ritz-Carlton Bali, 527,2019-04-24 21:20:01.454925
The St. Regis Bali Resort, 479,2019-04-24 21:20:01.454925
The Mulia, 382,2019-04-24 21:20:01.454925
Mulia Villas, 451,2019-04-24 21:20:01.454925
Awarta Nusa Dua Luxury Villas & Spa, 399,2019-04-24 21:20:01.454925
Aman Villas at Nusa Dua," 2,710",2019-04-24 21:20:01.454925
