hotel_name,price_per_night,timestamp
Whispering Seas Jamaica, 247,2019-04-24 19:20:01.021654
Shaw Park Beach Hotel & Spa, 260,2019-04-24 19:20:01.021654
Sky Castles, 89,2019-04-24 19:20:01.021654
Fisherman's Point Resort, 80,2019-04-24 19:20:01.021654
Ocho Rios Vacation Resort Property Rentals, 92,2019-04-24 19:20:01.021654
Executive Mammee Bay Hotel, 74,2019-04-24 19:20:01.021654
Seaview Villa 1, 357,2019-04-24 19:20:01.021654
Wizzy Apartment, 53,2019-04-24 19:20:01.021654
Marine View Hotel, 78,2019-04-24 19:20:01.021654
Executive Shaw Park Guesthouse, 96,2019-04-24 19:20:01.021654
Home From Home JA Community Living, 46,2019-04-24 19:20:01.021654
Pink Rock Inn, 79,2019-04-24 19:20:01.021654
Slice Of Heaven, 97,2019-04-24 19:20:01.021654
Jamaica Inn,0,2019-04-24 19:20:01.021654
Moon Palace Jamaica,0,2019-04-24 19:20:01.021654
Reggae Hostel Ocho Rios,0,2019-04-24 19:20:01.021654
Silver Seas Resort Hotel,0,2019-04-24 19:20:01.021654
Hibiscus Lodge Hotel,0,2019-04-24 19:20:01.021654
Kaz Kreol Beach Lodge,0,2019-04-24 19:20:01.021654
Chrisanns Beach Resort,0,2019-04-24 19:20:01.021654
Pineapple Court Hotel,0,2019-04-24 19:20:01.021654
Sand Castles Resort,0,2019-04-24 19:20:01.021654
The Lion House Jamaica,0,2019-04-24 19:20:01.021654
Ocean Sands,0,2019-04-24 19:20:01.021654
Little Shaw Park Guest House,0,2019-04-24 19:20:01.021654
Columbus Heights,0,2019-04-24 19:20:01.021654
Casa De Shalom,0,2019-04-24 19:20:01.021654
Turtle Beach Towers,0,2019-04-24 19:20:01.021654
Rita's Home away from Home,0,2019-04-24 19:20:01.021654
Couples Tower Isle,0,2019-04-24 19:20:01.021654
