hotel_name,price_per_night,timestamp
7 Springs Inn & Suites, 203,2019-04-29 05:20:01.096495
Ace Hotel & Swim Club, 342,2019-04-29 05:20:01.096495
Hilton Palm Springs, 282,2019-04-29 05:20:01.096495
Kimpton Rowan Palm Springs Hotel, 483,2019-04-29 05:20:01.096495
The Palm Springs Hotel, 386,2019-04-29 05:20:01.096495
Little Paradise Hotel, 261,2019-04-29 05:20:01.096495
Oasis Villa Resort, 184,2019-04-29 05:20:01.096495
A Place in the Sun Garden Hotel, 181,2019-04-29 05:20:01.096495
Korakia Pensione, 424,2019-04-29 05:20:01.096495
"Triada Palm Springs, Autograph Collection", 459,2019-04-29 05:20:01.096495
East Canyon Hotel and Spa, 254,2019-04-29 05:20:01.096495
The Westcott, 336,2019-04-29 05:20:01.096495
The Rossi Hotel, 254,2019-04-29 05:20:01.096495
Best Western Plus Las Brisas Hotel, 275,2019-04-29 05:20:01.096495
Hotel ZOSO, 248,2019-04-29 05:20:01.096495
Palm Mountain Resort & Spa, 195,2019-04-29 05:20:01.096495
Villa Royale, 386,2019-04-29 05:20:01.096495
Courtyard by Marriott Palm Springs, 386,2019-04-29 05:20:01.096495
Knights Inn Palm Springs, 97,2019-04-29 05:20:01.096495
Desert Isle of Palm Springs, 346,2019-04-29 05:20:01.096495
L'Horizon Resort & Spa, 699,2019-04-29 05:20:01.096495
El Mirasol Villas,0,2019-04-29 05:20:01.096495
La Maison Hotel,0,2019-04-29 05:20:01.096495
Avanti Hotel,0,2019-04-29 05:20:01.096495
Palm Springs Rendezvous,0,2019-04-29 05:20:01.096495
Old Ranch Inn,0,2019-04-29 05:20:01.096495
Caliente Tropics Resort,0,2019-04-29 05:20:01.096495
The Three Fifty Hotel,0,2019-04-29 05:20:01.096495
Renaissance Palm Springs Hotel,0,2019-04-29 05:20:01.096495
V Palm Springs,0,2019-04-29 05:20:01.096495
