hotel_name,price_per_night,timestamp
Anse Chastanet, 484,2019-04-30 09:33:19.906318
Windjammer Landing Villa Beach Resort, 161,2019-04-30 09:33:19.906318
St. James's Club Morgan Bay, 416,2019-04-30 09:33:19.906318
Coco Palm Resort, 105,2019-04-30 09:33:19.906318
La Haut Resort, 104,2019-04-30 09:33:19.906318
The Landings Resort & Spa, 455,2019-04-30 09:33:19.906318
Villa Beach Cottages, 220,2019-04-30 09:33:19.906318
Hummingbird Beach Resort, 217,2019-04-30 09:33:19.906318
Fond Doux Plantation & Resort, 337,2019-04-30 09:33:19.906318
Villa Beach Cottages, 220,2019-04-30 09:33:19.906318
Anse Chastanet, 484,2019-04-30 09:33:19.906318
Boucan by Hotel Chocolat, 250,2019-04-30 09:33:19.906318
"The Harbor Club St. Lucia, Curio Collection by Hilton", 141,2019-04-30 09:33:19.906318
Royalton Saint Lucia, 514,2019-04-30 09:33:19.906318
Bay Gardens Beach Resort, 156,2019-04-30 09:33:19.906318
Mystique Royal St Lucia, 234,2019-04-30 09:33:19.906318
Stonefield Villa Resort, 436,2019-04-30 09:33:19.906318
Marigot Bay Resort and Marina, 374,2019-04-30 09:33:19.906318
Bay Gardens Hotel, 113,2019-04-30 09:33:19.906318
Marigot Palms Luxury Caribbean Guesthouse and Apartments, 168,2019-04-30 09:33:19.906318
Ti Kaye Resort & Spa, 224,2019-04-30 09:33:19.906318
Cap Maison, 431,2019-04-30 09:33:19.906318
Bel Jou Hotel, 226,2019-04-30 09:33:19.906318
Bay Gardens Inn, 107,2019-04-30 09:33:19.906318
Calabash Cove Resort and Spa, 355,2019-04-30 09:33:19.906318
Tet Rouge Resort, 284,2019-04-30 09:33:19.906318
The Ginger Lily Hotel, 107,2019-04-30 09:33:19.906318
Hideaway at Royalton Saint Lucia, 405,2019-04-30 09:33:19.906318
Jade Mountain Resort," 1,305",2019-04-30 09:33:19.906318
"Sugar Beach, A Viceroy Resort", 786,2019-04-30 09:33:19.906318
Ladera Resort, 624,2019-04-30 09:33:19.906318
East Winds, 709,2019-04-30 09:33:19.906318
