hotel_name,url,price_per_night,timestamp
Hotel San Luca,http://www.tripadvisor.com/Hotel_Review-g187870-d1436873-Reviews-Hotel_San_Luca-Venice_Veneto.html, 340,2019-05-11 16:12:00.900563
Hotel Antiche Figure,http://www.tripadvisor.com/Hotel_Review-g187870-d289202-Reviews-Hotel_Antiche_Figure-Venice_Veneto.html, 326,2019-05-11 16:12:00.900563
Arlecchino Hotel,http://www.tripadvisor.com/Hotel_Review-g187870-d202687-Reviews-Arlecchino_Hotel-Venice_Veneto.html, 206,2019-05-11 16:12:00.900563
Hilton Molino Stucky Venice Hotel,http://www.tripadvisor.com/Hotel_Review-g187870-d613798-Reviews-Hilton_Molino_Stucky_Venice_Hotel-Venice_Veneto.html, 431,2019-05-11 16:12:00.900563
Hotel Rialto,http://www.tripadvisor.com/Hotel_Review-g187870-d205795-Reviews-Hotel_Rialto-Venice_Veneto.html, 604,2019-05-11 16:12:00.900563
Hotel Moresco,http://www.tripadvisor.com/Hotel_Review-g187870-d3348175-Reviews-Hotel_Moresco-Venice_Veneto.html, 426,2019-05-11 16:12:00.900563
Charming House IQs,http://www.tripadvisor.com/Hotel_Review-g187870-d1161312-Reviews-Charming_House_IQs-Venice_Veneto.html, 498,2019-05-11 16:12:00.900563
Albergo Marin,http://www.tripadvisor.com/Hotel_Review-g187870-d260782-Reviews-Albergo_Marin-Venice_Veneto.html, 239,2019-05-11 16:12:00.900563
Hotel Montecarlo,http://www.tripadvisor.com/Hotel_Review-g187870-d202708-Reviews-Hotel_Montecarlo-Venice_Veneto.html, 306,2019-05-11 16:12:00.900563
Hotel San Cassiano - Residenza d'Epoca Ca' Favaretto,http://www.tripadvisor.com/Hotel_Review-g187870-d202690-Reviews-Hotel_San_Cassiano_Residenza_d_Epoca_Ca_Favaretto-Venice_Veneto.html, 320,2019-05-11 16:12:00.900563
Starhotels Splendid Venice,http://www.tripadvisor.com/Hotel_Review-g187870-d202694-Reviews-Starhotels_Splendid_Venice-Venice_Veneto.html, 429,2019-05-11 16:12:00.900563
NH Venezia Rio Novo,http://www.tripadvisor.com/Hotel_Review-g187870-d12995350-Reviews-NH_Venezia_Rio_Novo-Venice_Veneto.html, 260,2019-05-11 16:12:00.900563
HOTEL OLIMPIA Venice,http://www.tripadvisor.com/Hotel_Review-g187870-d228969-Reviews-HOTEL_OLIMPIA_Venice-Venice_Veneto.html, 252,2019-05-11 16:12:00.900563
Hotel Ai Cavalieri di Venezia,http://www.tripadvisor.com/Hotel_Review-g187870-d7623031-Reviews-Hotel_Ai_Cavalieri_di_Venezia-Venice_Veneto.html, 523,2019-05-11 16:12:00.900563
Palazzo Veneziano,http://www.tripadvisor.com/Hotel_Review-g187870-d12263777-Reviews-Palazzo_Veneziano-Venice_Veneto.html, 585,2019-05-11 16:12:00.900563
Hotel Paganelli,http://www.tripadvisor.com/Hotel_Review-g187870-d235889-Reviews-Hotel_Paganelli-Venice_Veneto.html, 340,2019-05-11 16:12:00.900563
Hotel Giorgione,http://www.tripadvisor.com/Hotel_Review-g187870-d232953-Reviews-Hotel_Giorgione-Venice_Veneto.html, 271,2019-05-11 16:12:00.900563
Santa Chiara Hotel,http://www.tripadvisor.com/Hotel_Review-g187870-d229024-Reviews-Santa_Chiara_Hotel-Venice_Veneto.html, 206,2019-05-11 16:12:00.900563
Hotel Gardena,http://www.tripadvisor.com/Hotel_Review-g187870-d202692-Reviews-Hotel_Gardena-Venice_Veneto.html, 232,2019-05-11 16:12:00.900563
Hotel Violino d'Oro,http://www.tripadvisor.com/Hotel_Review-g187870-d238969-Reviews-Hotel_Violino_d_Oro-Venice_Veneto.html, 300,2019-05-11 16:12:00.900563
Hotel Bisanzio,http://www.tripadvisor.com/Hotel_Review-g187870-d202733-Reviews-Hotel_Bisanzio-Venice_Veneto.html, 343,2019-05-11 16:12:00.900563
Venice Times Hotel,http://www.tripadvisor.com/Hotel_Review-g187870-d239006-Reviews-Venice_Times_Hotel-Venice_Veneto.html, 362,2019-05-11 16:12:00.900563
Hotel Al Duca di Venezia,http://www.tripadvisor.com/Hotel_Review-g187870-d1722910-Reviews-Hotel_Al_Duca_di_Venezia-Venice_Veneto.html, 186,2019-05-11 16:12:00.900563
Hotel Palazzo Stern,http://www.tripadvisor.com/Hotel_Review-g187870-d651332-Reviews-Hotel_Palazzo_Stern-Venice_Veneto.html, 484,2019-05-11 16:12:00.900563
San Clemente Palace Kempinski,http://www.tripadvisor.com/Hotel_Review-g187870-d275960-Reviews-San_Clemente_Palace_Kempinski-Venice_Veneto.html, 609,2019-05-11 16:12:00.900563
Ca' Pisani Hotel,http://www.tripadvisor.com/Hotel_Review-g187870-d241742-Reviews-Ca_Pisani_Hotel-Venice_Veneto.html, 421,2019-05-11 16:12:00.900563
Foscari Palace,http://www.tripadvisor.com/Hotel_Review-g187870-d305352-Reviews-Foscari_Palace-Venice_Veneto.html, 248,2019-05-11 16:12:00.900563
Liassidi Palace Hotel,http://www.tripadvisor.com/Hotel_Review-g187870-d279286-Reviews-Liassidi_Palace_Hotel-Venice_Veneto.html, 397,2019-05-11 16:12:00.900563
Combo Venezia,http://www.tripadvisor.com/Hotel_Review-g187870-d6575857-Reviews-Combo_Venezia-Venice_Veneto.html, 144,2019-05-11 16:12:00.900563
AC Hotel Venezia,http://www.tripadvisor.com/Hotel_Review-g187870-d13451299-Reviews-AC_Hotel_Venezia-Venice_Veneto.html, 394,2019-05-11 16:12:00.900563
Veneziacentopercento Rooms & Apartments,http://www.tripadvisor.com/Hotel_Review-g187870-d1466198-Reviews-Veneziacentopercento_Rooms_Apartments-Venice_Veneto.html, 131,2019-05-11 16:12:00.900563
"Hotel Danieli, a Luxury Collection Hotel, Venice",http://www.tripadvisor.com/Hotel_Review-g187870-d194256-Reviews-Hotel_Danieli_a_Luxury_Collection_Hotel_Venice-Venice_Veneto.html," 1,529",2019-05-11 16:12:00.900563
