price_per_night,timestamp
 112,2019-04-23 05:20:01.985324
 117,2019-04-19 07:05:01.367552
 117,2019-04-26 19:20:01.839619
 112,2019-04-19 11:05:01.490346
 137,2019-04-20 16:02:01.541428
 117,2019-04-19 19:04:02.236624
 112,2019-04-25 12:20:01.137342
 112,2019-04-23 12:20:01.090720
 113,2019-04-24 15:20:00.961472
 117,2019-04-25 15:20:01.999888
 112,2019-04-22 21:20:01.477512
 117,2019-04-21 12:20:01.351961
 112,2019-04-23 20:20:00.970738
 117,2019-04-26 20:20:01.435899
 117,2019-04-18 17:05:01.571343
 112,2019-04-27 06:20:01.206904
 112,2019-04-27 02:20:01.152441
 112,2019-04-22 23:20:01.486930
 112,2019-04-27 08:20:00.961811
 112,2019-04-23 21:20:01.507421
 112,2019-04-19 06:05:01.349313
 112,2019-04-25 14:20:00.920720
 112,2019-04-23 08:20:01.335539
 112,2019-04-23 17:20:01.621761
 117,2019-04-26 03:20:01.482164
 112,2019-04-20 22:20:01.604477
 112,2019-04-18 19:05:00.983505
 113,2019-04-24 08:20:01.591799
 113,2019-04-25 04:20:01.778594
 112,2019-04-18 16:56:25.485859
 112,2019-04-22 19:20:01.748194
 112,2019-04-23 04:20:01.485014
 117,2019-04-23 08:57:00.650075
 137,2019-04-20 23:20:01.488323
 117,2019-04-25 07:20:01.053067
 112,2019-04-24 03:20:01.751988
 112,2019-04-25 19:20:01.125846
 113,2019-04-24 19:20:01.061854
 112,2019-04-23 18:20:02.035026
 137,2019-04-21 06:20:01.353826
 112,2019-04-27 11:20:01.150147
 112,2019-04-18 21:05:01.231515
 117,2019-04-26 16:20:01.240066
 112,2019-04-27 13:20:01.791607
 137,2019-04-21 11:20:01.175342
 117,2019-04-24 23:20:01.538001
 130,2019-04-21 20:20:01.500597
 137,2019-04-21 14:20:01.061579
 117,2019-04-25 20:20:01.595336
 98,2019-04-23 14:20:01.159459
 130,2019-04-19 10:05:01.563152
 113,2019-04-24 18:20:01.155983
 137,2019-04-20 16:20:01.301616
 117,2019-04-19 15:05:01.364146
 117,2019-04-26 18:20:01.843524
 112,2019-04-18 23:05:01.476369
 112,2019-04-25 18:20:01.259476
