hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Best Western Plus Gateway Inn & Suites,http://www.tripadvisor.com/Hotel_Review-g29144-d235488-Reviews-Best_Western_Plus_Gateway_Inn_Suites-Aurora_Colorado.html,Aurora,640 ,,2019/04/02,2019/04/04,CHF 102,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
Denver Airport Marriott at Gateway Park,http://www.tripadvisor.com/Hotel_Review-g29144-d120045-Reviews-Denver_Airport_Marriott_at_Gateway_Park-Aurora_Colorado.html,Aurora,671 ,,2019/04/02,2019/04/04,CHF 244,Booking.com,11,"Free Wifi,Pool,Visit hotel website"
Cambria Hotel Denver International Airport,http://www.tripadvisor.com/Hotel_Review-g29144-d1382240-Reviews-Cambria_Hotel_Denver_International_Airport-Aurora_Colorado.html,Aurora,403 ,,2019/04/02,2019/04/04,,TripAdvisor,11,"Free Wifi,Free parking"
Hilton Garden Inn Denver Airport,http://www.tripadvisor.com/Hotel_Review-g29144-d119943-Reviews-Hilton_Garden_Inn_Denver_Airport-Aurora_Colorado.html,Aurora,997 ,,2019/04/02,2019/04/04,CHF 161,Booking.com,13,"Free Wifi,Free parking,Visit hotel website"
Woolley's Classic Suites - Denver Airport,http://www.tripadvisor.com/Hotel_Review-g29144-d6582181-Reviews-Woolley_s_Classic_Suites_Denver_Airport-Aurora_Colorado.html,Aurora,1205 ,,2019/04/02,2019/04/04,CHF 229,Booking.com,8,"Free Wifi,Free parking,Visit hotel website"
Hyatt Place Denver Airport,http://www.tripadvisor.com/Hotel_Review-g29144-d85377-Reviews-Hyatt_Place_Denver_Airport-Aurora_Colorado.html,Aurora,1019 ,,2019/04/02,2019/04/04,CHF 188,Booking.com,11,"Free Wifi,Free parking"
Residence Inn Denver Airport,http://www.tripadvisor.com/Hotel_Review-g29144-d601511-Reviews-Residence_Inn_Denver_Airport-Aurora_Colorado.html,Aurora,281 ,,2019/04/02,2019/04/04,,TripAdvisor,11,"Free Wifi,Free parking,Visit hotel website"
Hyatt Regency Aurora - Denver Conference Center,http://www.tripadvisor.com/Hotel_Review-g29144-d8678201-Reviews-Hyatt_Regency_Aurora_Denver_Conference_Center-Aurora_Colorado.html,Aurora,538 ,,2019/04/02,2019/04/04,CHF 189,Booking.com,10,"Free Wifi,Pool"
SpringHill Suites Denver at Anschutz Medical Campus,http://www.tripadvisor.com/Hotel_Review-g29144-d2038685-Reviews-SpringHill_Suites_Denver_at_Anschutz_Medical_Campus-Aurora_Colorado.html,Aurora,278 ,,2019/04/02,2019/04/04,CHF 186,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
DoubleTree Denver Aurora,http://www.tripadvisor.com/Hotel_Review-g29144-d83002-Reviews-DoubleTree_Denver_Aurora-Aurora_Colorado.html,Aurora,1191 ,,2019/04/02,2019/04/04,CHF 178,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
Aloft Denver Airport at Gateway Park,http://www.tripadvisor.com/Hotel_Review-g29144-d1174686-Reviews-Aloft_Denver_Airport_at_Gateway_Park-Aurora_Colorado.html,Aurora,714 ,,2019/04/02,2019/04/04,CHF 181,Booking.com,13,"Free Wifi,Free parking,Visit hotel website"
Fairfield Inn & Suites Denver Aurora/Parker,http://www.tripadvisor.com/Hotel_Review-g29144-d2324883-Reviews-Fairfield_Inn_Suites_Denver_Aurora_Parker-Aurora_Colorado.html,Aurora,202 ,,2019/04/02,2019/04/04,CHF 124,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
Comfort Inn Denver Southeast Area,http://www.tripadvisor.com/Hotel_Review-g29144-d85374-Reviews-Comfort_Inn_Denver_Southeast_Area-Aurora_Colorado.html,Aurora,184 ,,2019/04/02,2019/04/04,CHF 101,Booking.com,10,"Free Wifi,Free parking"
WoodSpring Suites Aurora Denver Airport,http://www.tripadvisor.com/Hotel_Review-g29144-d8445792-Reviews-WoodSpring_Suites_Aurora_Denver_Airport-Aurora_Colorado.html,Aurora,112 ,,2019/04/02,2019/04/04,,TripAdvisor,6,"Free Wifi,Free parking"
Gaylord Rockies Resort & Convention Center,http://www.tripadvisor.com/Hotel_Review-g29144-d14919431-Reviews-Gaylord_Rockies_Resort_Convention_Center-Aurora_Colorado.html,Aurora,127 ,,2019/04/02,2019/04/04,,TripAdvisor,7,"Pool,Restaurant,Visit hotel website"
Fairfield Inn & Suites Denver Aurora/Medical Center,http://www.tripadvisor.com/Hotel_Review-g29144-d120075-Reviews-Fairfield_Inn_Suites_Denver_Aurora_Medical_Center-Aurora_Colorado.html,Aurora,151 ,,2019/04/02,2019/04/04,CHF 116,Booking.com,10,"Free Wifi,Free parking,Visit hotel website"
WoodSpring Suites Denver Aurora,http://www.tripadvisor.com/Hotel_Review-g29144-d1156926-Reviews-WoodSpring_Suites_Denver_Aurora-Aurora_Colorado.html,Aurora,88 ,,2019/04/02,2019/04/04,,TripAdvisor,6,"Free parking,Free Internet"
Comfort Suites Denver near Anschutz Medical Campus,http://www.tripadvisor.com/Hotel_Review-g29144-d12896985-Reviews-Comfort_Suites_Denver_near_Anschutz_Medical_Campus-Aurora_Colorado.html,Aurora,33 ,,2019/04/02,2019/04/04,CHF 109,Booking.com,8,"Free Wifi,Free parking,Visit hotel website"
Kiwi House,http://www.tripadvisor.com/Hotel_Review-g29144-d12680723-Reviews-Kiwi_House-Aurora_Colorado.html,Aurora,1 review,,2019/04/02,2019/04/04,CHF 58,Booking.com,0,
La Quinta Inn & Suites Denver - Aurora Medical Ctr.,http://www.tripadvisor.com/Hotel_Review-g29144-d120068-Reviews-La_Quinta_Inn_Suites_Denver_Aurora_Medical_Ctr-Aurora_Colorado.html,Aurora,180 ,,2019/04/02,2019/04/04,CHF 80,Booking.com,10,"Free Wifi,Free parking"
Red Lion Inn,http://www.tripadvisor.com/Hotel_Review-g29144-d1117951-Reviews-Red_Lion_Inn-Aurora_Colorado.html,Aurora,78 ,,2019/04/02,2019/04/04,CHF 114,Booking.com,9,"Free Wifi,Free parking"
La Quinta Inn Denver Aurora,http://www.tripadvisor.com/Hotel_Review-g29144-d85369-Reviews-La_Quinta_Inn_Denver_Aurora-Aurora_Colorado.html,Aurora,436 ,,2019/04/02,2019/04/04,CHF 69,Booking.com,9,"Free Wifi,Free parking"
HomeTowne Studios Denver - Airport / Aurora,http://www.tripadvisor.com/Hotel_Review-g29144-d85371-Reviews-HomeTowne_Studios_Denver_Airport_Aurora-Aurora_Colorado.html,Aurora,127 ,,2019/04/02,2019/04/04,CHF 60,Booking.com,8,"Free Wifi,Free parking,Visit hotel website"
Econo Lodge Denver International Airport,http://www.tripadvisor.com/Hotel_Review-g29144-d85362-Reviews-Econo_Lodge_Denver_International_Airport-Aurora_Colorado.html,Aurora,333 ,,2019/04/02,2019/04/04,CHF 76,Booking.com,11,"Free Wifi,Free parking"
Motel 6 Denver East - Aurora,http://www.tripadvisor.com/Hotel_Review-g29144-d119936-Reviews-Motel_6_Denver_East_Aurora-Aurora_Colorado.html,Aurora,83 ,,2019/04/02,2019/04/04,CHF 61,Booking.com,8,"Free parking,Pool"
Radisson Hotel Denver-Aurora,http://www.tripadvisor.com/Hotel_Review-g29144-d6579110-Reviews-Radisson_Hotel_Denver_Aurora-Aurora_Colorado.html,Aurora,821 ,,2019/04/02,2019/04/04,CHF 76,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
Extended Stay America - Denver - Aurora South,http://www.tripadvisor.com/Hotel_Review-g29144-d119984-Reviews-Extended_Stay_America_Denver_Aurora_South-Aurora_Colorado.html,Aurora,158 ,,2019/04/02,2019/04/04,CHF 68,Booking.com,8,"Free Wifi,Free parking,Visit hotel website"
Extended Stay America - Denver - Aurora North,http://www.tripadvisor.com/Hotel_Review-g29144-d225473-Reviews-Extended_Stay_America_Denver_Aurora_North-Aurora_Colorado.html,Aurora,70 ,,2019/04/02,2019/04/04,CHF 68,Booking.com,8,"Free Wifi,Free parking,Visit hotel website"
Quality Inn & Suites Denver Airport Gateway Park,http://www.tripadvisor.com/Hotel_Review-g29144-d85641-Reviews-Quality_Inn_Suites_Denver_Airport_Gateway_Park-Aurora_Colorado.html,Aurora,276 ,,2019/04/02,2019/04/04,CHF 89,Booking.com,10,"Free Wifi,Free parking"
Knights Inn Aurora,http://www.tripadvisor.com/Hotel_Review-g29144-d85376-Reviews-Knights_Inn_Aurora-Aurora_Colorado.html,Aurora,258 ,,2019/04/02,2019/04/04,CHF 50,Booking.com,9,"Free Wifi,Free parking"
