hotel_name,url,locality,timestamp,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Quality Inn & Suites Birmingham Highway 280,http://www.tripadvisor.com/Hotel_Review-g30375-d72328-Reviews-Quality_Inn_Suites_Birmingham_Highway_280-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.313194,44 ,,2019/04/02,2019/04/04,CHF 63,Booking.com,10,"Free Wifi,Free parking"
Hampton Inn & Suites Birmingham Downtown - The Tutwiler,http://www.tripadvisor.com/Hotel_Review-g30375-d1035861-Reviews-Hampton_Inn_Suites_Birmingham_Downtown_The_Tutwiler-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.314260,1306 ,,2019/04/02,2019/04/04,CHF 119,Booking.com,11,"Free Wifi,Breakfast included,Visit hotel website"
Drury Inn & Suites Birmingham Grandview,http://www.tripadvisor.com/Hotel_Review-g30375-d224905-Reviews-Drury_Inn_Suites_Birmingham_Grandview-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.315295,758 ,,2019/04/02,2019/04/04,CHF 100,Hotels.com,9,"Free Wifi,Free parking,Visit hotel website"
"Redmont Hotel Birmingham, Curio Collection by Hilton",http://www.tripadvisor.com/Hotel_Review-g30375-d72334-Reviews-Redmont_Hotel_Birmingham_Curio_Collection_by_Hilton-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.316342,671 ,,2019/04/02,2019/04/04,CHF 134,Booking.com,11,"Free Wifi,Restaurant,Visit hotel website"
Best Western Plus Carlton Suites,http://www.tripadvisor.com/Hotel_Review-g30375-d224902-Reviews-Best_Western_Plus_Carlton_Suites-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.317393,980 ,,2019/04/02,2019/04/04,CHF 86,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
"Elyton Hotel, Autograph Collection",http://www.tripadvisor.com/Hotel_Review-g30375-d10796555-Reviews-Elyton_Hotel_Autograph_Collection-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.318775,136 ,,2019/04/02,2019/04/04,CHF 209,Booking.com,8,"Free Wifi,Restaurant,Visit hotel website"
Drury Inn & Suites Birmingham Lakeshore Drive,http://www.tripadvisor.com/Hotel_Review-g30375-d320129-Reviews-Drury_Inn_Suites_Birmingham_Lakeshore_Drive-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.319830,536 ,,2019/04/02,2019/04/04,CHF 125,Hotels.com,8,"Free Wifi,Free parking,Visit hotel website"
Renaissance Birmingham Ross Bridge Golf Resort & Spa,http://www.tripadvisor.com/Hotel_Review-g30375-d550881-Reviews-Renaissance_Birmingham_Ross_Bridge_Golf_Resort_Spa-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.320774,803 ,,2019/04/02,2019/04/04,CHF 179,Booking.com,8,"Free parking,Pool,Visit hotel website"
Embassy Suites by Hilton Birmingham-Hoover,http://www.tripadvisor.com/Hotel_Review-g30375-d1484277-Reviews-Embassy_Suites_by_Hilton_Birmingham_Hoover-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.321504,982 ,,2019/04/02,2019/04/04,CHF 129,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
The Westin Birmingham,http://www.tripadvisor.com/Hotel_Review-g30375-d3359527-Reviews-The_Westin_Birmingham-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.322218,512 ,,2019/04/02,2019/04/04,CHF 202,Booking.com,10,"Pool,Restaurant,Visit hotel website"
Hampton Inn & Suites Birmingham/280 East-Eagle Point,http://www.tripadvisor.com/Hotel_Review-g30375-d2018754-Reviews-Hampton_Inn_Suites_Birmingham_280_East_Eagle_Point-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.323031,673 ,,2019/04/02,2019/04/04,CHF 153,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
Hilton Garden Inn Birmingham SE/Liberty Park,http://www.tripadvisor.com/Hotel_Review-g30375-d623984-Reviews-Hilton_Garden_Inn_Birmingham_SE_Liberty_Park-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.323771,791 ,,2019/04/02,2019/04/04,CHF 152,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
Homewood Suites by Hilton Birmingham Downtown Near UAB,http://www.tripadvisor.com/Hotel_Review-g30375-d10243110-Reviews-Homewood_Suites_by_Hilton_Birmingham_Downtown_Near_UAB-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.324489,217 ,,2019/04/02,2019/04/04,CHF 138,Booking.com,13,"Free Wifi,Breakfast included,Visit hotel website"
Courtyard Birmingham Downtown at UAB,http://www.tripadvisor.com/Hotel_Review-g30375-d567665-Reviews-Courtyard_Birmingham_Downtown_at_UAB-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.325220,336 ,,2019/04/02,2019/04/04,CHF 244,Booking.com,10,"Free Wifi,Restaurant,Visit hotel website"
Hilton Garden Inn Birmingham / Lakeshore Drive,http://www.tripadvisor.com/Hotel_Review-g30375-d287366-Reviews-Hilton_Garden_Inn_Birmingham_Lakeshore_Drive-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.325947,497 ,,2019/04/02,2019/04/04,CHF 152,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
Hampton Inn Birmingham I-65/Lakeshore Drive,http://www.tripadvisor.com/Hotel_Review-g30375-d590341-Reviews-Hampton_Inn_Birmingham_I_65_Lakeshore_Drive-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.326698,502 ,,2019/04/02,2019/04/04,CHF 128,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
Residence Inn Birmingham Downtown at UAB,http://www.tripadvisor.com/Hotel_Review-g30375-d1485623-Reviews-Residence_Inn_Birmingham_Downtown_at_UAB-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.327413,344 ,,2019/04/02,2019/04/04,CHF 210,Booking.com,10,"Free Wifi,Breakfast included,Visit hotel website"
Hampton Inn Birmingham / Trussville,http://www.tripadvisor.com/Hotel_Review-g30375-d73379-Reviews-Hampton_Inn_Birmingham_Trussville-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.328150,461 ,,2019/04/02,2019/04/04,CHF 133,Booking.com,10,"Free Wifi,Free parking,Visit hotel website"
Homewood Suites Birmingham South Inverness,http://www.tripadvisor.com/Hotel_Review-g30375-d518372-Reviews-Homewood_Suites_Birmingham_South_Inverness-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.328910,605 ,,2019/04/02,2019/04/04,CHF 167,Booking.com,10,"Free Wifi,Free parking,Visit hotel website"
Hilton Garden Inn Birmingham/Trussville,http://www.tripadvisor.com/Hotel_Review-g30375-d1486172-Reviews-Hilton_Garden_Inn_Birmingham_Trussville-Birmingham_Alabama.html,Birmingham,2019-03-20 16:52:33.329642,412 ,,2019/04/02,2019/04/04,CHF 167,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
