hotel_name,url,locality,timestamp,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Crowne Plaza Cleveland at Playhouse Square,http://www.tripadvisor.com/Hotel_Review-g50207-d95218-Reviews-Crowne_Plaza_Cleveland_at_Playhouse_Square-Cleveland_Ohio.html,Cleveland,2019-03-20 16:51:09.679358,159 ,4.5,2019/04/02,2019/04/04,CHF 189,Booking.com,13,"Free Wifi,Pool,Visit hotel website"
Holiday Inn Express Cleveland Downtown,http://www.tripadvisor.com/Hotel_Review-g50207-d122215-Reviews-Holiday_Inn_Express_Cleveland_Downtown-Cleveland_Ohio.html,Cleveland,2019-03-20 16:51:09.680184,1176 ,4,2019/04/02,2019/04/04,CHF 162,Booking.com,11,"Free Wifi,Breakfast included,Visit hotel website"
Comfort Inn Downtown,http://www.tripadvisor.com/Hotel_Review-g50207-d101729-Reviews-Comfort_Inn_Downtown-Cleveland_Ohio.html,Cleveland,2019-03-20 16:51:09.680974,790 ,4,2019/04/02,2019/04/04,CHF 107,Booking.com,13,"Free Wifi,Breakfast included"
InterContinental Cleveland,http://www.tripadvisor.com/Hotel_Review-g50207-d278080-Reviews-InterContinental_Cleveland-Cleveland_Ohio.html,Cleveland,2019-03-20 16:51:09.682027,1087 ,4.5,2019/04/02,2019/04/04,CHF 252,Booking.com,11,"Free Wifi,Restaurant,Visit hotel website"
Hyatt Regency Cleveland at The Arcade,http://www.tripadvisor.com/Hotel_Review-g50207-d95198-Reviews-Hyatt_Regency_Cleveland_at_The_Arcade-Cleveland_Ohio.html,Cleveland,2019-03-20 16:51:09.682883,1962 ,4,2019/04/02,2019/04/04,CHF 289,Booking.com,12,"Free Wifi,Restaurant"
Crowne Plaza Cleveland at Playhouse Square,http://www.tripadvisor.com/Hotel_Review-g50207-d95218-Reviews-Crowne_Plaza_Cleveland_at_Playhouse_Square-Cleveland_Ohio.html,Cleveland,2019-03-20 16:51:09.683967,159 ,4.5,2019/04/02,2019/04/04,CHF 176,CrownePlaza.com,11,"Free Wifi,Pool,Visit hotel website"
InterContinental Suites Hotel Cleveland,http://www.tripadvisor.com/Hotel_Review-g50207-d248599-Reviews-InterContinental_Suites_Hotel_Cleveland-Cleveland_Ohio.html,Cleveland,2019-03-20 16:51:09.685377,793 ,4,2019/04/02,2019/04/04,CHF 198,Booking.com,11,"Free Wifi,Restaurant,Visit hotel website"
Hilton Garden Inn Cleveland Downtown,http://www.tripadvisor.com/Hotel_Review-g50207-d240589-Reviews-Hilton_Garden_Inn_Cleveland_Downtown-Cleveland_Ohio.html,Cleveland,2019-03-20 16:51:09.686382,1773 ,4,2019/04/02,2019/04/04,CHF 161,Booking.com,12,"Free Wifi,Pool,Visit hotel website"
DoubleTree by Hilton The Tudor Arms Hotel,http://www.tripadvisor.com/Hotel_Review-g50207-d2142718-Reviews-DoubleTree_by_Hilton_The_Tudor_Arms_Hotel-Cleveland_Ohio.html,Cleveland,2019-03-20 16:51:09.687319,1622 ,4,2019/04/02,2019/04/04,CHF 122,Booking.com,11,"Free Wifi,Restaurant,Visit hotel website"
Cleveland Airport Marriott,http://www.tripadvisor.com/Hotel_Review-g50207-d95182-Reviews-Cleveland_Airport_Marriott-Cleveland_Ohio.html,Cleveland,2019-03-20 16:51:09.688240,786 ,4,2019/04/02,2019/04/04,CHF 189,Booking.com,13,"Pool,Restaurant,Visit hotel website"
