hotel_name,url,locality,timestamp,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Home2 Suites by Hilton Fort Worth Southwest Cityview,http://www.tripadvisor.com/Hotel_Review-g55857-d12080746-Reviews-Home2_Suites_by_Hilton_Fort_Worth_Southwest_Cityview-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.133284,114 ,,2019/04/02,2019/04/04,CHF 172,Home2.com,9,"Free Wifi,Free parking,Visit hotel website"
La Quinta Inn & Suites Fort Worth North,http://www.tripadvisor.com/Hotel_Review-g55857-d109101-Reviews-La_Quinta_Inn_Suites_Fort_Worth_North-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.134061,552 ,,2019/04/02,2019/04/04,CHF 89,Booking.com,9,"Free Wifi,Free parking"
Best Western Fort Worth Inn & Suites,http://www.tripadvisor.com/Hotel_Review-g55857-d249793-Reviews-Best_Western_Fort_Worth_Inn_Suites-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.134761,745 ,,2019/04/02,2019/04/04,CHF 67,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
Stockyards Hotel,http://www.tripadvisor.com/Hotel_Review-g55857-d114952-Reviews-Stockyards_Hotel-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.135479,391 ,,2019/04/02,2019/04/04,CHF 169,Booking.com,9,"Free Wifi,Restaurant"
The Worthington Renaissance Fort Worth Hotel,http://www.tripadvisor.com/Hotel_Review-g55857-d98856-Reviews-The_Worthington_Renaissance_Fort_Worth_Hotel-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.136181,1026 ,,2019/04/02,2019/04/04,CHF 369,roomsXXL.ch,11,"Pool,Restaurant,Visit hotel website"
La Quinta Inn & Suites Fort Worth City View,http://www.tripadvisor.com/Hotel_Review-g55857-d109100-Reviews-La_Quinta_Inn_Suites_Fort_Worth_City_View-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.136865,389 ,,2019/04/02,2019/04/04,CHF 109,Booking.com,9,"Free Wifi,Free parking"
Hyatt Place Ft. Worth Historic Stockyards,http://www.tripadvisor.com/Hotel_Review-g55857-d574782-Reviews-Hyatt_Place_Ft_Worth_Historic_Stockyards-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.137573,1023 ,,2019/04/02,2019/04/04,CHF 152,Booking.com,13,"Free Wifi,Free parking"
Radisson Fort Worth North at Fossil Creek,http://www.tripadvisor.com/Hotel_Review-g55857-d109138-Reviews-Radisson_Fort_Worth_North_at_Fossil_Creek-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.138266,1165 ,,2019/04/02,2019/04/04,CHF 162,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
Hampton Inn & Suites Fort Worth-West/I-30,http://www.tripadvisor.com/Hotel_Review-g55857-d676564-Reviews-Hampton_Inn_Suites_Fort_Worth_West_I_30-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.139031,563 ,,2019/04/02,2019/04/04,CHF 83,Booking.com,13,"Free Wifi,Free parking,Visit hotel website"
Fairfield Inn & Suites Fort Worth I-30 West Near NAS JRB,http://www.tripadvisor.com/Hotel_Review-g55857-d225118-Reviews-Fairfield_Inn_Suites_Fort_Worth_I_30_West_Near_NAS_JRB-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.139745,201 ,,2019/04/02,2019/04/04,CHF 78,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
The Ashton Hotel,http://www.tripadvisor.com/Hotel_Review-g55857-d189078-Reviews-The_Ashton_Hotel-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.140454,468 ,,2019/04/02,2019/04/04,CHF 249,Booking.com,8,"Free Wifi,Restaurant"
Hilton Fort Worth,http://www.tripadvisor.com/Hotel_Review-g55857-d98849-Reviews-Hilton_Fort_Worth-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.141172,1531 ,,2019/04/02,2019/04/04,CHF 345,Booking.com,12,"Free Wifi,Restaurant,Visit hotel website"
Hampton Inn & Suites Fort Worth Fossil Creek,http://www.tripadvisor.com/Hotel_Review-g55857-d1137002-Reviews-Hampton_Inn_Suites_Fort_Worth_Fossil_Creek-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.141906,563 ,,2019/04/02,2019/04/04,CHF 133,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
Homewood Suites Fort Worth West at Cityview,http://www.tripadvisor.com/Hotel_Review-g55857-d2151620-Reviews-Homewood_Suites_Fort_Worth_West_at_Cityview-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.142629,528 ,,2019/04/02,2019/04/04,CHF 143,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
Embassy Suites by Hilton Fort Worth Downtown,http://www.tripadvisor.com/Hotel_Review-g55857-d647565-Reviews-Embassy_Suites_by_Hilton_Fort_Worth_Downtown-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.143428,1613 ,,2019/04/02,2019/04/04,CHF 241,Booking.com,11,"Free Wifi,Breakfast included,Visit hotel website"
Homewood Suites by Hilton Fort Worth - Medical Center,http://www.tripadvisor.com/Hotel_Review-g55857-d4191825-Reviews-Homewood_Suites_by_Hilton_Fort_Worth_Medical_Center-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.144151,622 ,,2019/04/02,2019/04/04,CHF 138,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
"La Quinta Inn & Suites Ft. Worth - Forest Hill, TX",http://www.tripadvisor.com/Hotel_Review-g55857-d1526953-Reviews-La_Quinta_Inn_Suites_Ft_Worth_Forest_Hill_TX-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.144887,381 ,,2019/04/02,2019/04/04,CHF 95,Booking.com,9,"Free Wifi,Free parking"
Hampton Inn Fort Worth Southwest Cityview,http://www.tripadvisor.com/Hotel_Review-g55857-d224283-Reviews-Hampton_Inn_Fort_Worth_Southwest_Cityview-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.145611,483 ,,2019/04/02,2019/04/04,CHF 107,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
Hilton Garden Inn Fort Worth Medical Center,http://www.tripadvisor.com/Hotel_Review-g55857-d2533205-Reviews-Hilton_Garden_Inn_Fort_Worth_Medical_Center-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.146352,947 ,,2019/04/02,2019/04/04,CHF 275,roomsXXL.ch,11,"Free Wifi,Free parking,Visit hotel website"
DFW Airport Marriott South,http://www.tripadvisor.com/Hotel_Review-g55857-d223889-Reviews-DFW_Airport_Marriott_South-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.147072,448 ,,2019/04/02,2019/04/04,CHF 260,Hotels.com,10,"Free parking,Pool,Visit hotel website"
Rosen House Inn,http://www.tripadvisor.com/Hotel_Review-g55857-d2555728-Reviews-Rosen_House_Inn-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.147805,130 ,,2019/04/02,2019/04/04,CHF 109,ebookers.ch,7,"Free Wifi,Free parking"
Texas White House Bed and Breakfast,http://www.tripadvisor.com/Hotel_Review-g55857-d82094-Reviews-Texas_White_House_Bed_and_Breakfast-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.148592,205 ,,2019/04/02,2019/04/04,CHF 145,Booking.com,9,"Free Wifi,Free parking"
Hampton Inn & Suites Dallas / Ft. Worth Airport South,http://www.tripadvisor.com/Hotel_Review-g55857-d7398001-Reviews-Hampton_Inn_Suites_Dallas_Ft_Worth_Airport_South-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.149457,487 ,,2019/04/02,2019/04/04,CHF 162,ebookers.ch,11,"Free Wifi,Free parking,Visit hotel website"
Holiday Inn Dallas DFW Airport - South,http://www.tripadvisor.com/Hotel_Review-g55857-d1027025-Reviews-Holiday_Inn_Dallas_DFW_Airport_South-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.150315,570 ,,2019/04/02,2019/04/04,CHF 167,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
SpringHill Suites Fort Worth Fossil Creek,http://www.tripadvisor.com/Hotel_Review-g55857-d9778909-Reviews-SpringHill_Suites_Fort_Worth_Fossil_Creek-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.151027,97 ,,2019/04/02,2019/04/04,CHF 168,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
Lockheart Gables Romantic Bed & Breakfast,http://www.tripadvisor.com/Hotel_Review-g55857-d226485-Reviews-Lockheart_Gables_Romantic_Bed_Breakfast-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.152203,221 ,,2019/04/02,2019/04/04,CHF 206,Booking.com,8,"Free Wifi,Free parking"
Hampton Inn and Suites North Fort Worth - Alliance Airport,http://www.tripadvisor.com/Hotel_Review-g55857-d224285-Reviews-Hampton_Inn_and_Suites_North_Fort_Worth_Alliance_Airport-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.153330,335 ,,2019/04/02,2019/04/04,CHF 110,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
Homewood Suites by Hilton Ft. Worth-North at Fossil Creek,http://www.tripadvisor.com/Hotel_Review-g55857-d224286-Reviews-Homewood_Suites_by_Hilton_Ft_Worth_North_at_Fossil_Creek-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.154274,398 ,,2019/04/02,2019/04/04,CHF 197,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
La Quinta Inn & Suites Fort Worth Eastchase,http://www.tripadvisor.com/Hotel_Review-g55857-d1236214-Reviews-La_Quinta_Inn_Suites_Fort_Worth_Eastchase-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.155072,442 ,,2019/04/02,2019/04/04,CHF 94,Booking.com,8,"Free Wifi,Free parking"
Staybridge Suites West Fort Worth,http://www.tripadvisor.com/Hotel_Review-g55857-d1465151-Reviews-Staybridge_Suites_West_Fort_Worth-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.155833,250 ,,2019/04/02,2019/04/04,CHF 125,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
Azalea Plantation,http://www.tripadvisor.com/Hotel_Review-g55857-d226484-Reviews-Azalea_Plantation-Fort_Worth_Texas.html,Fort Worth,2019-03-20 16:50:25.156599,175 ,,2019/04/02,2019/04/04,CHF 189,Hotels.com,5,"Free Wifi,Free parking,Visit hotel website"
