hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Holiday Inn Express & Suites Jacksonville Airport,http://www.tripadvisor.com/Hotel_Review-g60805-d261234-Reviews-Holiday_Inn_Express_Suites_Jacksonville_Airport-Jacksonville_Florida.html,Jacksonville,470 ,,2019/04/02,2019/04/04,CHF 164,HIExpress.com,11,"Free Wifi,Free parking,Visit hotel website"
Hyatt Regency Jacksonville Riverfront,http://www.tripadvisor.com/Hotel_Review-g60805-d120123-Reviews-Hyatt_Regency_Jacksonville_Riverfront-Jacksonville_Florida.html,Jacksonville,3652 ,,2019/04/02,2019/04/04,CHF 189,Booking.com,10,"Free Wifi,Pool"
Omni Jacksonville Hotel,http://www.tripadvisor.com/Hotel_Review-g60805-d84655-Reviews-Omni_Jacksonville_Hotel-Jacksonville_Florida.html,Jacksonville,2385 ,,2019/04/02,2019/04/04,CHF 163,Hotels.com,11,"Pool,Restaurant,Visit hotel website"
Crowne Plaza Jacksonville Airport Hotel,http://www.tripadvisor.com/Hotel_Review-g60805-d88398-Reviews-Crowne_Plaza_Jacksonville_Airport_Hotel-Jacksonville_Florida.html,Jacksonville,920 ,,2019/04/02,2019/04/04,CHF 119,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
Hampton Inn & Suites Jacksonville-Airport,http://www.tripadvisor.com/Hotel_Review-g60805-d610906-Reviews-Hampton_Inn_Suites_Jacksonville_Airport-Jacksonville_Florida.html,Jacksonville,911 ,,2019/04/02,2019/04/04,CHF 134,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
"Country Inn & Suites by Radisson, Jacksonville, FL",http://www.tripadvisor.com/Hotel_Review-g60805-d120177-Reviews-Country_Inn_Suites_by_Radisson_Jacksonville_FL-Jacksonville_Florida.html,Jacksonville,486 ,,2019/04/02,2019/04/04,CHF 110,Booking.com,10,"Free Wifi,Free parking,Visit hotel website"
Hotel Indigo Jacksonville Deerwood Park,http://www.tripadvisor.com/Hotel_Review-g60805-d1214730-Reviews-Hotel_Indigo_Jacksonville_Deerwood_Park-Jacksonville_Florida.html,Jacksonville,647 ,,2019/04/02,2019/04/04,CHF 195,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
Homewood Suites by Hilton Jacksonville Deerwood Park,http://www.tripadvisor.com/Hotel_Review-g60805-d816772-Reviews-Homewood_Suites_by_Hilton_Jacksonville_Deerwood_Park-Jacksonville_Florida.html,Jacksonville,944 ,,2019/04/02,2019/04/04,CHF 175,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
Hilton Garden Inn Jacksonville Downtown/Southbank,http://www.tripadvisor.com/Hotel_Review-g60805-d1450903-Reviews-Hilton_Garden_Inn_Jacksonville_Downtown_Southbank-Jacksonville_Florida.html,Jacksonville,780 ,,2019/04/02,2019/04/04,CHF 185,Booking.com,10,"Free Wifi,Pool,Visit hotel website"
Sheraton Jacksonville Hotel,http://www.tripadvisor.com/Hotel_Review-g60805-d1127473-Reviews-Sheraton_Jacksonville_Hotel-Jacksonville_Florida.html,Jacksonville,150 ,,2019/04/02,2019/04/04,CHF 284,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
Holiday Inn Jacksonville E 295 Baymeadows,http://www.tripadvisor.com/Hotel_Review-g60805-d813034-Reviews-Holiday_Inn_Jacksonville_E_295_Baymeadows-Jacksonville_Florida.html,Jacksonville,288 ,,2019/04/02,2019/04/04,CHF 160,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
Hampton Inn & Suites Jacksonville South - Bartram Park,http://www.tripadvisor.com/Hotel_Review-g60805-d1201207-Reviews-Hampton_Inn_Suites_Jacksonville_South_Bartram_Park-Jacksonville_Florida.html,Jacksonville,841 ,,2019/04/02,2019/04/04,CHF 137,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
Hampton Inn Jacksonville I-10 West,http://www.tripadvisor.com/Hotel_Review-g60805-d514468-Reviews-Hampton_Inn_Jacksonville_I_10_West-Jacksonville_Florida.html,Jacksonville,530 ,,2019/04/02,2019/04/04,CHF 141,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
Aloft Jacksonville Tapestry Park,http://www.tripadvisor.com/Hotel_Review-g60805-d1946045-Reviews-Aloft_Jacksonville_Tapestry_Park-Jacksonville_Florida.html,Jacksonville,581 ,,2019/04/02,2019/04/04,CHF 197,Booking.com,9,"Free Wifi,Free parking,Visit hotel website"
Hampton Inn & Suites Beach Boulevard/Mayo Clinic Area,http://www.tripadvisor.com/Hotel_Review-g60805-d1503358-Reviews-Hampton_Inn_Suites_Beach_Boulevard_Mayo_Clinic_Area-Jacksonville_Florida.html,Jacksonville,653 ,,2019/04/02,2019/04/04,CHF 166,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
Homewood Suites by Hilton Jacksonville Downtown/Southbank,http://www.tripadvisor.com/Hotel_Review-g60805-d1450901-Reviews-Homewood_Suites_by_Hilton_Jacksonville_Downtown_Southbank-Jacksonville_Florida.html,Jacksonville,584 ,,2019/04/02,2019/04/04,CHF 198,Booking.com,11,"Free Wifi,Breakfast included,Visit hotel website"
Hilton Garden Inn Jacksonville Airport,http://www.tripadvisor.com/Hotel_Review-g60805-d224590-Reviews-Hilton_Garden_Inn_Jacksonville_Airport-Jacksonville_Florida.html,Jacksonville,728 ,,2019/04/02,2019/04/04,CHF 152,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
Holiday Inn Express & Suites Jacksonville Airport,http://www.tripadvisor.com/Hotel_Review-g60805-d261234-Reviews-Holiday_Inn_Express_Suites_Jacksonville_Airport-Jacksonville_Florida.html,Jacksonville,470 ,,2019/04/02,2019/04/04,CHF 165,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
Hampton Inn Jacksonville-I-295 East/Baymeadows,http://www.tripadvisor.com/Hotel_Review-g60805-d656530-Reviews-Hampton_Inn_Jacksonville_I_295_East_Baymeadows-Jacksonville_Florida.html,Jacksonville,746 ,,2019/04/02,2019/04/04,CHF 177,Booking.com,10,"Free Wifi,Free parking,Visit hotel website"
Hampton Inn & Suites Jacksonville Deerwood Park,http://www.tripadvisor.com/Hotel_Review-g60805-d472259-Reviews-Hampton_Inn_Suites_Jacksonville_Deerwood_Park-Jacksonville_Florida.html,Jacksonville,1019 ,,2019/04/02,2019/04/04,CHF 161,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
Hyatt Place Jacksonville St Johns Town Center,http://www.tripadvisor.com/Hotel_Review-g60805-d15005890-Reviews-Hyatt_Place_Jacksonville_St_Johns_Town_Center-Jacksonville_Florida.html,Jacksonville,69 ,,2019/04/02,2019/04/04,CHF 229,Booking.com,7,"Free Wifi,Free parking,Visit hotel website"
Courtyard Jacksonville Flagler Center,http://www.tripadvisor.com/Hotel_Review-g60805-d781648-Reviews-Courtyard_Jacksonville_Flagler_Center-Jacksonville_Florida.html,Jacksonville,307 ,,2019/04/02,2019/04/04,CHF 166,Courtyard,10,"Free Wifi,Free parking,Visit hotel website"
