hotel_name,url,locality,timestamp,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
SpringHill Suites by Marriott Modesto,http://www.tripadvisor.com/Hotel_Review-g32724-d627939-Reviews-SpringHill_Suites_by_Marriott_Modesto-Modesto_California.html,Modesto,2019-03-20 17:26:52.676863,207 ,,2019/04/02,2019/04/04, 197,Booking.com,9,"Free Wifi,Free parking,Visit hotel website"
Holiday Inn Express & Suites Modesto-Salida,http://www.tripadvisor.com/Hotel_Review-g32724-d655862-Reviews-Holiday_Inn_Express_Suites_Modesto_Salida-Modesto_California.html,Modesto,2019-03-20 17:26:52.677773,392 ,,2019/04/02,2019/04/04, 171,Booking.com,9,"Free Wifi,Free parking,Visit hotel website"
Best Western Palm Court Inn,http://www.tripadvisor.com/Hotel_Review-g32724-d78284-Reviews-Best_Western_Palm_Court_Inn-Modesto_California.html,Modesto,2019-03-20 17:26:52.678861,347 ,,2019/04/02,2019/04/04, 105,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
Baymont by Wyndham Modesto Salida,http://www.tripadvisor.com/Hotel_Review-g32724-d223309-Reviews-Baymont_by_Wyndham_Modesto_Salida-Modesto_California.html,Modesto,2019-03-20 17:26:52.679864,350 ,,2019/04/02,2019/04/04, 87,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
DoubleTree by Hilton Modesto,http://www.tripadvisor.com/Hotel_Review-g32724-d78287-Reviews-DoubleTree_by_Hilton_Modesto-Modesto_California.html,Modesto,2019-03-20 17:26:52.680901,1114 ,,2019/04/02,2019/04/04, 163,Booking.com,10,"Pool,Restaurant,Visit hotel website"
Red Lion Inn & Suites Modesto,http://www.tripadvisor.com/Hotel_Review-g32724-d14773957-Reviews-Red_Lion_Inn_Suites_Modesto-Modesto_California.html,Modesto,2019-03-20 17:26:52.681995,8 ,,2019/04/02,2019/04/04, 99,Booking.com,6,"Free Wifi,Free parking"
Comfort Inn,http://www.tripadvisor.com/Hotel_Review-g32724-d78291-Reviews-Comfort_Inn-Modesto_California.html,Modesto,2019-03-20 17:26:52.682692,100 ,,2019/04/02,2019/04/04, 109,Booking.com,9,"Free Wifi,Free parking"
Modesto Hotel,http://www.tripadvisor.com/Hotel_Review-g32724-d78263-Reviews-Modesto_Hotel-Modesto_California.html,Modesto,2019-03-20 17:26:52.683324,364 ,,2019/04/02,2019/04/04, 99,Booking.com,10,"Free Wifi,Free parking"
Best Western Town House Lodge,http://www.tripadvisor.com/Hotel_Review-g32724-d78269-Reviews-Best_Western_Town_House_Lodge-Modesto_California.html,Modesto,2019-03-20 17:26:52.683996,267 ,,2019/04/02,2019/04/04, 102,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
Days Inn by Wyndham Modesto,http://www.tripadvisor.com/Hotel_Review-g32724-d78271-Reviews-Days_Inn_by_Wyndham_Modesto-Modesto_California.html,Modesto,2019-03-20 17:26:52.684635,448 ,,2019/04/02,2019/04/04, 95,Booking.com,12,"Free Wifi,Free parking,Visit hotel website"
Motel 6 Modesto Downtown,http://www.tripadvisor.com/Hotel_Review-g32724-d4023395-Reviews-Motel_6_Modesto_Downtown-Modesto_California.html,Modesto,2019-03-20 17:26:52.685355,50 ,,2019/04/02,2019/04/04, 55,Booking.com,8,"Free Wifi,Free parking"
