hotel_name,url,locality,timestamp,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Holiday Inn Express Montgomery - East I-85,http://www.tripadvisor.com/Hotel_Review-g30712-d1551503-Reviews-Holiday_Inn_Express_Montgomery_East_I_85-Montgomery_Alabama.html,Montgomery,2019-03-20 17:26:54.464962,182 ,,2019/04/02,2019/04/04, 119,Booking.com,9,"Free Wifi,Free parking,Visit hotel website"
Drury Inn & Suites Montgomery,http://www.tripadvisor.com/Hotel_Review-g30712-d518282-Reviews-Drury_Inn_Suites_Montgomery-Montgomery_Alabama.html,Montgomery,2019-03-20 17:26:54.465725,620 ,,2019/04/02,2019/04/04, 180,Hotels.com,7,"Free Wifi,Free parking,Visit hotel website"
Homewood Suites by Hilton Montgomery,http://www.tripadvisor.com/Hotel_Review-g30712-d444359-Reviews-Homewood_Suites_by_Hilton_Montgomery-Montgomery_Alabama.html,Montgomery,2019-03-20 17:26:54.466475,827 ,,2019/04/02,2019/04/04, 187,Booking.com,9,"Free Wifi,Free parking,Visit hotel website"
Hampton Inn & Suites Montgomery-East Chase,http://www.tripadvisor.com/Hotel_Review-g30712-d503076-Reviews-Hampton_Inn_Suites_Montgomery_East_Chase-Montgomery_Alabama.html,Montgomery,2019-03-20 17:26:54.467204,1025 ,,2019/04/02,2019/04/04, 177,Booking.com,9,"Free Wifi,Free parking,Visit hotel website"
Hampton Inn Montgomery-South-Airport,http://www.tripadvisor.com/Hotel_Review-g30616-d647811-Reviews-Hampton_Inn_Montgomery_South_Airport-Hope_Hull_Montgomery_Alabama.html,Montgomery,2019-03-20 17:26:54.467950,408 ,,2019/04/02,2019/04/04, 148,Booking.com,9,"Free Wifi,Free parking,Visit hotel website"
Homewood Suites by Hilton Montgomery EastChase,http://www.tripadvisor.com/Hotel_Review-g30712-d672954-Reviews-Homewood_Suites_by_Hilton_Montgomery_EastChase-Montgomery_Alabama.html,Montgomery,2019-03-20 17:26:54.468737,482 ,,2019/04/02,2019/04/04, 170,Booking.com,9,"Free Wifi,Free parking,Visit hotel website"
Fairfield Inn & Suites Montgomery Airport South,http://www.tripadvisor.com/Hotel_Review-g30616-d2622316-Reviews-Fairfield_Inn_Suites_Montgomery_Airport_South-Hope_Hull_Montgomery_Alabama.html,Montgomery,2019-03-20 17:26:54.469522,177 ,,2019/04/02,2019/04/04, 119,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
Hilton Garden Inn Montgomery - EastChase,http://www.tripadvisor.com/Hotel_Review-g30712-d9719119-Reviews-Hilton_Garden_Inn_Montgomery_EastChase-Montgomery_Alabama.html,Montgomery,2019-03-20 17:26:54.470406,357 ,,2019/04/02,2019/04/04, 181,Booking.com,11,"Free Wifi,Free parking,Visit hotel website"
Holiday Inn Montgomery Airport South,http://www.tripadvisor.com/Hotel_Review-g30712-d1887121-Reviews-Holiday_Inn_Montgomery_Airport_South-Montgomery_Alabama.html,Montgomery,2019-03-20 17:26:54.471167,256 ,,2019/04/02,2019/04/04, 117,Booking.com,9,"Free Wifi,Free parking,Visit hotel website"
Microtel Inn & Suites by Wyndham Montgomery,http://www.tripadvisor.com/Hotel_Review-g30712-d1672181-Reviews-Microtel_Inn_Suites_by_Wyndham_Montgomery-Montgomery_Alabama.html,Montgomery,2019-03-20 17:26:54.472499,387 ,,2019/04/02,2019/04/04, 55,Booking.com,9,"Free Wifi,Free parking,Visit hotel website"
Red Roof Inn Montgomery - Midtown,http://www.tripadvisor.com/Hotel_Review-g30712-d72824-Reviews-Red_Roof_Inn_Montgomery_Midtown-Montgomery_Alabama.html,Montgomery,2019-03-20 17:26:54.473493,144 ,,2019/04/02,2019/04/04, 60,Expedia.ch,9,"Free Wifi,Free parking"
Best Western Montgomery I-85 North,http://www.tripadvisor.com/Hotel_Review-g30712-d227091-Reviews-Best_Western_Montgomery_I_85_North-Montgomery_Alabama.html,Montgomery,2019-03-20 17:26:54.474460,79 ,,2019/04/02,2019/04/04, 97,Booking.com,8,"Free Wifi,Free parking,Visit hotel website"
